candidate_id,forecast_origin,latest_usable_inner_origin,model_name,parameters_json,selection_end_origin,selection_metric,selection_score,selection_seasons,selection_source,selection_start_origin
0,2014,2012,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2012.0,rmse,,1,fixed_default_insufficient_prior,2012.0
0,2015,2013,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2013.0,rmse,,2,fixed_default_insufficient_prior,2012.0
0,2016,2014,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2014.0,rmse,4.2407800331464545,3,strict_prior_season_mean,2012.0
0,2017,2015,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2015.0,rmse,4.1108239081564815,4,strict_prior_season_mean,2012.0
0,2018,2016,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2016.0,rmse,4.0174632624547355,5,strict_prior_season_mean,2012.0
0,2019,2017,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2017.0,rmse,4.007668293562254,6,strict_prior_season_mean,2012.0
0,2020,2018,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2018.0,rmse,3.9277326160874866,7,strict_prior_season_mean,2012.0
0,2021,2019,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2019.0,rmse,3.9120410358638615,8,strict_prior_season_mean,2012.0
0,2022,2020,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2020.0,rmse,3.8557586497605048,9,strict_prior_season_mean,2012.0
0,2023,2021,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2021.0,rmse,3.7959647566757644,10,strict_prior_season_mean,2012.0
0,2024,2022,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2022.0,rmse,3.7825830916179153,11,strict_prior_season_mean,2012.0
0,2025,2023,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2023.0,rmse,3.765371509298182,12,strict_prior_season_mean,2012.0
0,2026,2024,next_residual_lightgbm,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",2024.0,rmse,3.7343556124917496,13,strict_prior_season_mean,2012.0
1,2011,2009,next_participation_logistic,"{""C"": 1.0}",,brier,,0,fixed_default_insufficient_prior,
1,2012,2010,next_participation_logistic,"{""C"": 1.0}",,brier,,0,fixed_default_insufficient_prior,
1,2013,2011,next_participation_logistic,"{""C"": 1.0}",,brier,,0,fixed_default_insufficient_prior,
1,2014,2012,next_participation_logistic,"{""C"": 1.0}",2012.0,brier,,1,fixed_default_insufficient_prior,2012.0
1,2015,2013,next_participation_logistic,"{""C"": 1.0}",2013.0,brier,,2,fixed_default_insufficient_prior,2012.0
0,2016,2014,next_participation_logistic,"{""C"": 0.1}",2014.0,brier,0.18324802000448726,3,strict_prior_season_mean,2012.0
0,2017,2015,next_participation_logistic,"{""C"": 0.1}",2015.0,brier,0.18702736361811012,4,strict_prior_season_mean,2012.0
0,2018,2016,next_participation_logistic,"{""C"": 0.1}",2016.0,brier,0.18849301782951033,5,strict_prior_season_mean,2012.0
0,2019,2017,next_participation_logistic,"{""C"": 0.1}",2017.0,brier,0.18966374920566556,6,strict_prior_season_mean,2012.0
