experiment,method,max_position_ppg_relative_delta,worst_ppg_position
2026-08-20_template_overall_log_adp__results_phase_b_dk,add_log_adp,0.001003931538189562,WR
2026-08-20_template_overall_log_adp__results_phase_b_dk,production,0.0,QB
2026-08-20_template_overall_log_adp__results_phase_b_dk,replace_adp_rank_with_log_adp,0.0006889482716099238,QB
2026-08-20_template_overall_log_adp__results_phase_b_beta,add_log_adp,0.00019578769702577326,RB
2026-08-20_template_overall_log_adp__results_phase_b_beta,production,0.0,QB
2026-08-20_template_overall_log_adp__results_phase_b_beta,replace_adp_rank_with_log_adp,0.0005472219426199132,TE
