mode,root_seed,aj_available,gain,se,lcb80,buy_ev,pass_ev,paired_n,buy_completion,pass_completion,path_mean_sd,season_mean_sd,runtime_seconds,scenario,construction_root,tape_root,validation_root
nested,3962081362,True,30.610508695561837,10.006746408812328,22.188618438925875,1595.782576540683,1565.1720678451213,47,97.91666666666667,97.91666666666667,34.52518785248708,71.76447936882505,0.3756558999994013,all_varied,3962081362,3962081362,3962081362
nested,930607203,True,-23.655693372090656,11.003621011947073,-32.91657446193439,1581.705513517062,1605.3612068891525,48,100.0,100.0,28.18180975936902,79.33923884470089,0.37166110000180197,all_varied,930607203,930607203,930607203
nested,380545036,True,-5.4900470733642575,12.779165067296471,-16.245263741334206,1607.5818255106608,1613.071872584025,45,93.75,97.91666666666667,34.30515295169598,90.2417730934294,0.36360549999881187,all_varied,380545036,380545036,380545036
nested,2127541646,True,-4.495954004923503,9.865302431924794,-12.79880200724992,1590.1514770083957,1594.6474310133192,45,93.75,93.75,23.251577798554532,75.31047595405703,0.37288750000152504,all_varied,2127541646,2127541646,2127541646
nested,3864801349,True,-10.525911500718859,12.323299715283731,-20.897462208784695,1601.3338665856256,1611.8597780863445,45,93.75,97.91666666666667,39.43861754017496,83.36965893884535,0.3550348999997368,all_varied,3864801349,3864801349,3864801349
nested,1257527979,True,-5.02460374223425,11.784910931680763,-14.943035018102336,1570.6695887788812,1575.6941925211156,47,97.91666666666667,97.91666666666667,34.46195136072506,85.49485913752343,0.3716376999982458,all_varied,1257527979,1257527979,1257527979
nested,131091672,True,-2.614834109942118,12.919162477233376,-13.48787557076018,1599.2398186524708,1601.854652762413,48,100.0,100.0,36.09322696361459,92.80103251109524,0.3639422000014747,all_varied,131091672,131091672,131091672
nested,3626839450,True,12.302716533342997,11.248447075875069,2.8357846295653815,1596.12100537618,1583.818288842837,48,100.0,100.0,35.433089704060514,82.64518055703434,0.3794748999971489,all_varied,3626839450,3626839450,3626839450
nested,2111099095,True,28.35466416676839,12.835768752835506,17.551808635150305,1631.6321872472763,1603.277523080508,48,100.0,100.0,23.589030443884866,96.02076396860626,0.3655470999983663,all_varied,2111099095,2111099095,2111099095
nested,201017185,True,-11.438778089440387,12.120237714972903,-21.639427506312842,1597.522853353749,1608.9616314431896,46,97.91666666666667,97.91666666666667,41.13692319170588,81.17783928424822,0.37778309999703197,all_varied,201017185,201017185,201017185
