mode,root_seed,gain_off,gain_on,lcb80_off,lcb80_on,buy_ev_off,buy_ev_on,pass_ev_off,pass_ev_on,delta_gain,delta_buy_ev,delta_pass_ev
current,131091672,-15.514125018649631,-14.12728500366211,-26.255102161513804,-24.19707029636403,1564.586765967475,1586.8279128281968,1580.1008909861246,1600.9551978318589,-1.3868400149875217,-22.241146860721756,-20.8543068457343
current,201017185,33.155622888118664,-20.20231556362576,23.131742499514974,-31.330317536192588,1622.0501921227637,1598.0398445129395,1588.8945692346451,1618.2421600765651,53.357938451744424,24.010347609824294,-29.34759084192001
current,269504634,9.143431124479875,11.26300706254675,-0.7181211029563492,1.4724873086594936,1596.101588000422,1601.7210564714796,1586.958156875942,1590.458049408933,-2.119575938066875,-5.619468471057644,-3.499892532990998
current,380545036,-51.34606651637865,-15.981544494628906,-62.97588646050648,-26.748763393052933,1574.6155604901521,1576.562833910403,1625.9616270065308,1592.544378405032,-35.36452202174974,-1.9472734202508946,33.41724860149884
current,715424688,3.0152202606201173,18.962624715722125,-6.2596888351847575,8.916286583625459,1616.269784757826,1600.818500145622,1613.254564497206,1581.8558754298997,-15.947404455102008,15.451284612204063,31.39868906730635
current,930607203,-40.81938680013021,-13.794197163683302,-51.40572060929866,-24.019277680708075,1579.2976019541422,1627.3218951935464,1620.1169887542724,1641.1160923572297,-27.02518963644691,-48.02429323940419,-20.999103602957348
current,1257527979,-16.99158047520837,-12.70850121974945,-29.0084794565443,-23.783820481520664,1576.7338796216388,1610.5942891041439,1593.7254600968472,1623.3027903238933,-4.283079255458919,-33.86040948250502,-29.577330227046104
current,1416456620,-45.782416343688965,-16.835976711539335,-56.85241112598446,-26.734324744929765,1569.3471401387994,1569.4293981152912,1615.1295564824884,1586.2653748268306,-28.94643963214963,-0.08225797649174638,28.86418165565783
current,1579642955,15.937353524294766,0.5647145907084147,5.155182963493781,-9.692940784090567,1594.2417000857267,1592.3417615890503,1578.3043465614319,1591.7770469983418,15.372638933586352,1.899938496676441,-13.472700436909918
current,2111099095,-8.256329957828966,2.8747173392254375,-19.233632107108185,-8.573351689598764,1626.526550071184,1613.9761011289513,1634.782880029013,1611.101383789726,-11.131047297054403,12.550448942232606,23.68149623928707
current,2127541646,-13.461547161670442,9.79143355613531,-23.82866720870128,0.07520655587897807,1575.5341856124553,1575.478733284529,1588.9957327741258,1565.6872997283936,-23.25298071780575,0.055452327926332146,23.308433045732272
current,2540684655,-10.2282457554594,16.030999053608287,-19.967936758251785,6.2899385449918235,1588.9576181046507,1611.6610968763177,1599.18586386011,1595.6300978227096,-26.259244809067688,-22.70347877166705,3.555766037400417
current,3626839450,4.560277275417162,-26.188215458646734,-4.768434444255869,-36.61227626942393,1590.8485947899196,1601.0758142268403,1586.2883175145025,1627.2640296854872,30.748492734063895,-10.227219436920677,-40.97571217098471
current,3864801349,-4.524780435765043,12.959565411443295,-13.43777533402871,3.61262122036522,1590.3195354786326,1595.8985550921896,1594.8443159143976,1582.9389896807463,-17.48434584720834,-5.579019613556966,11.905326233651294
current,3962081362,-9.344339414076371,17.43648370107015,-18.988538429686173,6.369814931452041,1572.2394512349908,1612.6787993907928,1581.5837906490672,1595.2423156897228,-26.780823115146518,-40.43934815580201,-13.658525040655604
current,4069557385,0.9453607518622216,17.648404479026794,-8.425596244359001,8.423782579781765,1602.63499738815,1606.2206344604492,1601.6896366362876,1588.5722299814224,-16.703043727164573,-3.585637072299278,13.117406654865135
nested,131091672,-2.718284090360006,-2.614834109942118,-13.49721027686325,-13.48787557076018,1598.4756540060043,1599.2398186524708,1601.1939380963643,1601.854652762413,-0.10344998041788767,-0.7641646464664973,-0.6607146660487615
nested,201017185,-11.272032986516537,-11.438778089440387,-21.489364787242522,-21.639427506312842,1597.3648282755976,1597.522853353749,1608.636861262114,1608.9616314431896,0.1667451029238496,-0.15802507815146782,-0.3247701810755643
nested,269504634,-28.75500996907552,-29.92001136144002,-39.301403335664205,-40.69632461612214,1605.9884850184123,1606.4496683677037,1634.7434949874878,1636.3696797291439,1.165001392364502,-0.461183349291332,-1.6261847416560613
nested,380545036,-6.870065472342751,-5.4900470733642575,-17.6644591510231,-16.245263741334206,1608.8154421719637,1607.5818255106608,1615.6855076443064,1613.071872584025,-1.3800183989784935,1.2336166613029036,2.6136350602814673
nested,715424688,-26.087459280135782,-25.707582352009226,-36.84180784831563,-36.43379894994347,1593.78037371534,1593.8533802844108,1619.8678329954755,1619.56096263642,-0.3798769281265564,-0.07300656907091252,0.3068703590554378
nested,930607203,-23.630667138606945,-23.655693372090656,-32.70570422123065,-32.91657446193439,1582.185999241281,1581.705513517062,1605.816666379888,1605.3612068891525,0.025026233483711025,0.4804857242190792,0.45545949073539305
nested,1257527979,-3.855467086142682,-5.02460374223425,-13.699203107341818,-14.943035018102336,1570.770916106853,1570.6695887788812,1574.6263831929957,1575.6941925211156,1.1691366560915681,0.10132732797183053,-1.0678093281198926
nested,1416456620,-33.508307581362516,-33.19636017343272,-43.51918522271163,-43.19977782726487,1584.8066259881725,1584.8066259881725,1618.314933569535,1618.0029861616051,-0.31194740792979303,0.0,0.3119474079298925
nested,1579642955,0.19114620127576462,0.01584588720443401,-9.56822691387883,-9.608844552096402,1588.112809363832,1587.5832450542043,1587.9216631625561,1587.567399167,0.17530031407133062,0.5295643096276308,0.35426399555603894
nested,2111099095,27.687357266743977,28.35466416676839,16.91216586459898,17.551808635150305,1630.7116432189941,1631.6321872472763,1603.0242859522502,1603.277523080508,-0.6673069000244141,-0.9205440282821655,-0.25323712825775146
nested,2127541646,-4.253975929097926,-4.495954004923503,-12.574348136407993,-12.79880200724992,1590.2545474032138,1590.1514770083957,1594.5085233323118,1594.6474310133192,0.2419780758255765,0.10307039481813263,-0.1389076810073675
