mode,root_seed,aj_available,gain,se,lcb80,buy_ev,pass_ev,paired_n,buy_completion,pass_completion,path_mean_sd,season_mean_sd,runtime_seconds
current,3962081362,True,17.43648370107015,13.149227144183431,6.369814931452041,1612.6787993907928,1595.2423156897228,48,100.0,100.0,29.89857412462972,100.20178675758949,0.4350118000002112
current,3962081362,False,-9.344339414076371,11.459072835731003,-18.988538429686173,1572.2394512349908,1581.5837906490672,44,93.75,95.83333333333333,31.333283070759148,86.1537934216474,0.3556601000018418
nested,3962081362,True,30.610508695561837,10.006746408812328,22.188618438925875,1595.782576540683,1565.1720678451213,47,97.91666666666667,97.91666666666667,34.52518785248708,71.76447936882505,0.3973318999996991
nested,3962081362,False,30.483863627656977,10.043971918349788,22.030643591763717,1595.715374682812,1565.231511055155,47,97.91666666666667,97.91666666666667,34.76738012736778,71.79116176528352,0.4036956999989343
current,930607203,True,-13.794197163683302,12.149266331621037,-24.019277680708075,1627.3218951935464,1641.1160923572297,47,97.91666666666667,97.91666666666667,35.461529078800474,87.12981668728862,0.41279949999807286
current,930607203,False,-40.81938680013021,12.57850133393919,-51.40572060929866,1579.2976019541422,1620.1169887542724,45,93.75,97.91666666666667,31.958242462228707,100.4404105047543,0.43534360000194283
nested,930607203,True,-23.655693372090656,11.003621011947073,-32.91657446193439,1581.705513517062,1605.3612068891525,48,100.0,100.0,28.18180975936902,79.33923884470089,0.39151700000002165
nested,930607203,False,-23.630667138606945,10.782804331228274,-32.70570422123065,1582.185999241281,1605.816666379888,47,97.91666666666667,97.91666666666667,28.257699772039455,79.75725486184209,0.38520340000104625
current,380545036,True,-15.981544494628906,12.7934259128827,-26.748763393052933,1576.562833910403,1592.544378405032,46,95.83333333333333,95.83333333333333,29.059011697570945,96.61828144373797,0.40777730000263546
current,380545036,False,-51.34606651637865,13.818353767948603,-62.97588646050648,1574.6155604901521,1625.9616270065308,46,95.83333333333333,95.83333333333333,43.737204870575766,95.01610887714368,0.40914100000009057
nested,380545036,True,-5.4900470733642575,12.779165067296471,-16.245263741334206,1607.5818255106608,1613.071872584025,45,93.75,97.91666666666667,34.30515295169598,90.2417730934294,0.38451809999969555
nested,380545036,False,-6.870065472342751,12.825714523450374,-17.6644591510231,1608.8154421719637,1615.6855076443064,44,91.66666666666667,97.91666666666667,34.52733249234755,90.79469529409377,0.38771839999753865
current,2127541646,True,9.79143355613531,11.544655259003232,0.07520655587897807,1575.478733284529,1565.6872997283936,43,91.66666666666667,95.83333333333333,31.453245327864686,84.74769324426416,0.3981826999988698
current,2127541646,False,-13.461547161670442,12.318035279385185,-23.82866720870128,1575.5341856124553,1588.9957327741258,47,97.91666666666667,100.0,33.220801416196394,90.38706689898619,0.424590899998293
nested,2127541646,True,-4.495954004923503,9.865302431924794,-12.79880200724992,1590.1514770083957,1594.6474310133192,45,93.75,93.75,23.251577798554532,75.31047595405703,0.3840374999999767
nested,2127541646,False,-4.253975929097926,9.886124393496813,-12.574348136407993,1590.2545474032138,1594.5085233323118,47,97.91666666666667,97.91666666666667,22.943672007255213,73.88126218811819,0.38457779999953345
current,3864801349,True,12.959565411443295,11.105879721448707,3.61262122036522,1595.8985550921896,1582.9389896807463,46,95.83333333333333,97.91666666666667,29.72109662154916,82.3412139937742,0.40464300000166986
current,3864801349,False,-4.524780435765043,10.590268570608117,-13.43777533402871,1590.3195354786326,1594.8443159143976,47,97.91666666666667,100.0,34.53116027411685,70.7572613776997,0.4272320000018226
nested,3864801349,True,-10.525911500718859,12.323299715283731,-20.897462208784695,1601.3338665856256,1611.8597780863445,45,93.75,97.91666666666667,39.43861754017496,83.36965893884535,0.3739110000024084
nested,3864801349,False,-13.2087170144786,12.414616033107432,-23.657121474596558,1601.1171569409578,1614.3258739554365,46,95.83333333333333,100.0,44.59653675871488,83.64265659021497,0.39404300000023795
current,1257527979,True,-12.70850121974945,13.159505511467943,-23.783820481520664,1610.5942891041439,1623.3027903238933,48,100.0,100.0,33.42271016097866,94.33911423914343,0.42513920000055805
current,1257527979,False,-16.99158047520837,14.27827448022061,-29.0084794565443,1576.7338796216388,1593.7254600968472,43,91.66666666666667,93.75,36.41917848810243,104.38269714498735,0.38832150000234833
nested,1257527979,True,-5.02460374223425,11.784910931680763,-14.943035018102336,1570.6695887788812,1575.6941925211156,47,97.91666666666667,97.91666666666667,34.46195136072506,85.49485913752343,0.3873523000002024
nested,1257527979,False,-3.855467086142682,11.696159303645134,-13.699203107341818,1570.770916106853,1574.6263831929957,47,97.91666666666667,97.91666666666667,33.13044733232906,84.74903993190904,0.41764920000059647
current,131091672,True,-14.12728500366211,11.964747193880676,-24.19707029636403,1586.8279128281968,1600.9551978318589,46,95.83333333333333,97.91666666666667,37.084890445363584,86.3238118736585,0.42418219999672147
current,131091672,False,-15.514125018649631,12.762245906351202,-26.255102161513804,1564.586765967475,1580.1008909861246,45,93.75,97.91666666666667,37.779777674361966,95.38520327966683,0.4000445000019681
nested,131091672,True,-2.614834109942118,12.919162477233376,-13.48787557076018,1599.2398186524708,1601.854652762413,48,100.0,100.0,36.09322696361459,92.80103251109524,0.4005657000016072
nested,131091672,False,-2.718284090360006,12.807336312967923,-13.49721027686325,1598.4756540060043,1601.1939380963643,48,100.0,100.0,35.63531511127313,92.29067529732549,0.40929809999943245
current,3626839450,True,-26.188215458646734,12.385691324022542,-36.61227626942393,1601.0758142268403,1627.2640296854872,47,97.91666666666667,97.91666666666667,47.7678730079836,86.38103969148013,0.45774100000198814
current,3626839450,False,4.560277275417162,11.084216209790807,-4.768434444255869,1590.8485947899196,1586.2883175145025,46,95.83333333333333,95.83333333333333,32.88506305721004,77.5880293803033,0.42907719999857363
nested,3626839450,True,12.302716533342997,11.248447075875069,2.8357846295653815,1596.12100537618,1583.818288842837,48,100.0,100.0,35.433089704060514,82.64518055703434,0.39983349999965867
nested,3626839450,False,11.911990284919739,11.257396224912483,2.4375265872898257,1595.8313269217808,1583.919336636861,48,100.0,100.0,34.45482241459135,83.0730662672766,0.405829299998004
current,2111099095,True,2.8747173392254375,13.602400429257221,-8.573351689598764,1613.9761011289513,1611.101383789726,46,95.83333333333333,97.91666666666667,33.18634059990844,99.00248868166861,0.4159127000020817
current,2111099095,False,-8.256329957828966,13.043043249607122,-19.233632107108185,1626.526550071184,1634.782880029013,43,89.58333333333333,97.91666666666667,32.419129781876315,90.77184630290873,0.42055320000145
nested,2111099095,True,28.35466416676839,12.835768752835506,17.551808635150305,1631.6321872472763,1603.277523080508,48,100.0,100.0,23.589030443884866,96.02076396860626,0.3834199999982957
nested,2111099095,False,27.687357266743977,12.802898705871925,16.91216586459898,1630.7116432189941,1603.0242859522502,48,100.0,100.0,23.38059167041369,95.82077667587241,0.37817770000037854
current,201017185,True,-20.20231556362576,13.222102210189481,-31.330317536192588,1598.0398445129395,1618.2421600765651,45,95.83333333333333,95.83333333333333,33.39102743038746,95.00486611679642,0.4189939999996568
current,201017185,False,33.155622888118664,11.910203769514645,23.131742499514974,1622.0501921227637,1588.8945692346451,47,97.91666666666667,100.0,32.51409438882696,86.6095123321803,0.42487200000323355
nested,201017185,True,-11.438778089440387,12.120237714972903,-21.639427506312842,1597.522853353749,1608.9616314431896,46,97.91666666666667,97.91666666666667,41.13692319170588,81.17783928424822,0.39333629999964614
nested,201017185,False,-11.272032986516537,12.140059439031253,-21.489364787242522,1597.3648282755976,1608.636861262114,46,97.91666666666667,97.91666666666667,41.19266281800721,81.15263828410407,0.3953278999979375
current,1416456620,True,-16.835976711539335,11.761048365390229,-26.734324744929765,1569.4293981152912,1586.2653748268306,43,91.66666666666667,91.66666666666667,32.31622546345421,87.34733879955857,0.4041923000004317
current,1416456620,False,-45.782416343688965,13.153179055737837,-56.85241112598446,1569.3471401387994,1615.1295564824884,44,91.66666666666667,95.83333333333333,32.29023381783721,94.69816693734413,0.4224428000015905
