root_seed,gain_delta_off_minus_on,lcb_delta_off_minus_on
131091672,-0.6522965033849104,-0.3974762664227782
201017185,0.8347051938374843,0.8440107207231122
269504634,-0.8736718387314717,-0.9219969931108665
380545036,-0.5381476481755563,-0.6173671088388062
715424688,1.0166802839799356,1.1421671456186662
930607203,0.27340466687173626,0.44912043117829725
1257527979,-0.05740320682525635,-0.5473149142425555
1416456620,-0.33248551686605055,-0.33064267052343865
1579642955,1.7109043995539324,1.7223008184939452
2111099095,0.07311185201009174,0.05508787064762899
2127541646,-0.44409382343292236,-0.422890679856458
2540684655,-0.42456964796240015,-0.3493578713503709
3626839450,2.335918238668725,2.053126320277535
3864801349,0.7989404526623822,0.8124955806463738
3962081362,1.6883361736933384,0.8461065823692486
4069557385,0.46208937962849816,0.48316774253540373
