study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w050,production,core_strict,development_2017_2022,ppg_crps,504,6,0.00024936509387673254,-0.0006801990187249789,0.001228031328577956,0.3044,0.000485949354486664
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w050,production,core_strict,development_2017_2022,contribution_crps,504,6,-0.014634390148015144,-0.02012210096806515,-0.00917108984620047,1.0,0.0028496577836672216
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w050,production,core_strict,development_2017_2022,played_crps,504,6,-0.0007687656753517601,-0.002212592497695025,0.000998911727960122,0.8104,0.0008498601441979839
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w100,production,core_strict,development_2017_2022,ppg_crps,504,6,0.00017788386711845017,-0.0011087175423785212,0.0017091704304520135,0.4162,0.0007272726403152681
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w100,production,core_strict,development_2017_2022,contribution_crps,504,6,-0.020936932205000085,-0.028813452407388584,-0.014223691657080895,1.0,0.0038102659159676617
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_dual_role_w100,production,core_strict,development_2017_2022,played_crps,504,6,-0.00012719750454606252,-0.0017015181939748693,0.0018184561916095752,0.5618,0.0008908220098646744
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_passing_down_w050,production,core_strict,development_2017_2022,ppg_crps,504,6,0.0005113325570345145,-0.00046580797909582904,0.0014623244714929743,0.163,0.0004965720384368914
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_passing_down_w050,production,core_strict,development_2017_2022,contribution_crps,504,6,-0.0022569339414507056,-0.013216170222674385,0.009892979509309036,0.6568,0.005947444844510274
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_passing_down_w050,production,core_strict,development_2017_2022,played_crps,504,6,-0.000661564975932711,-0.002068137493887317,0.000781941752490997,0.8288,0.0007093579133054512
2026-07-31_template_fastr_rb_roles,results_dk,2026-07-31_template_fastr_rb_roles__results_dk,dk,fresh_expanded,rb_scoring_role_w050,production,core_strict,development_2017_2022,ppg_crps,504,6,0.0003898828366140346,-0.0009183081042051042,0.001601757615426736,0.2878,0.0006617246496522986
