league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
beta,rb_dual_role_w050,core_broad,development_2017_2022,936,-0.00047683688186195283,-0.0002491129008963533,-0.0002632675679364871,0.0005558099195344113,0.0015863916467638572,-0.0003890009492943519,0.0010683760683761756
beta,rb_dual_role_w050,core_broad,temporal_2023_2025,468,-9.743309430332303e-05,-4.908724201979631e-05,-0.00011925217550123879,-0.0004968720025771978,-0.0031952239331369744,-0.00035956201229832285,0.00213675213675224
beta,rb_dual_role_w050,core_main,development_2017_2022,720,-0.00027073036111779913,-0.0001400827805239091,-0.00029948545733649024,0.0007581495251776094,0.0014662432552519644,-0.0004277959797598374,0.0
beta,rb_dual_role_w050,core_main,temporal_2023_2025,360,-0.000127794973364459,-6.347692951247375e-05,-0.00023850636839428674,-0.0005885403598160366,0.0027553197510542665,0.00033401646297383236,0.002777777777777768
beta,rb_dual_role_w050,core_main_qb1,development_2017_2022,718,-0.00027148448468650166,-0.0001405237577515317,-0.0003002002108019042,0.0007606230384740176,0.001470327498302837,-0.00042898761201541624,0.0
beta,rb_dual_role_w050,core_main_qb1,temporal_2023_2025,358,-0.00012850891176241497,-6.464992708676842e-05,-0.00023929088337981685,-0.0005937616206612706,0.002770712598825543,0.00033588247673344007,0.0027932960893853886
beta,rb_dual_role_w050,core_strict,development_2017_2022,504,-0.00020256991985334594,-0.00010517814457200458,-0.0005114440520643804,0.0006469732072285073,0.00024450622799647437,-0.0002475051177750903,-0.001984126984126977
beta,rb_dual_role_w050,core_strict,temporal_2023_2025,252,0.00010137891271622124,5.429592932104654e-05,7.092770896233169e-05,-0.0008993538267491052,-0.004713366328695814,0.00036417355430221066,0.0
beta,rb_dual_role_w050,depth_main,development_2017_2022,1039,-0.00014926802655490512,-9.030476678650867e-05,1.6597258837514062e-05,-0.0004517034909257145,0.0015092871859342383,0.00035553753971634405,0.0019249278152069227
beta,rb_dual_role_w050,depth_main,temporal_2023_2025,528,0.0005622514889700447,0.0003056409339636801,0.0002629824323567842,-0.0002286689828986388,-0.0003338505180802715,-8.342280222889409e-05,-0.0018939393939394478
dk,rb_dual_role_w050,core_broad,development_2017_2022,936,0.00039446508684903847,0.00016284792462539777,-0.00017215753262156408,-0.00015160346357900867,0.0030960690627618165,-0.0005187733256781929,0.0010683760683760646
dk,rb_dual_role_w050,core_broad,temporal_2023_2025,468,0.0005303175790758452,0.00022324902902348676,-0.0003590297232911599,-0.0008292277372482504,-0.0012198646951897558,9.728504791008119e-05,-0.002136752136752129
dk,rb_dual_role_w050,core_main,development_2017_2022,720,0.00036731088367769615,0.0001469450873776701,-0.0001821744142983528,-3.99653981578707e-05,0.002799146252927709,-0.0005052368179865596,0.0
dk,rb_dual_role_w050,core_main,temporal_2023_2025,360,0.0007563475178731238,0.00030943094856450415,-0.00039166252063216334,-0.0008745241498664402,0.0012305960420805756,0.00014092655394040698,-0.002777777777777879
dk,rb_dual_role_w050,core_main_qb1,development_2017_2022,718,0.00036833403377123375,0.00014758547924054177,-0.00018243834794151592,-4.009693534123837e-05,0.0028069433176991093,-0.0005066441628834434,0.0
dk,rb_dual_role_w050,core_main_qb1,temporal_2023_2025,358,0.0007605729230011349,0.00031415901117615164,-0.00039260676745367373,-0.0008824129314961571,0.001237470880304549,0.00014171385312443385,-0.0027932960893854997
dk,rb_dual_role_w050,core_strict,development_2017_2022,504,0.0002493650938766301,9.450114975684265e-05,-0.00042578145616867236,-0.0005679947632022397,0.0016410481388954706,-0.0003814173594778175,0.0
