league,scope,period,method,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_delta,contribution_crps_relative_delta,played_crps_delta,played_crps_relative_delta
dk,rb_core_strict,all_2017_2025,rb_dual_role_w050,216,0.0022754089165806235,0.0009107095310150193,-0.039595098647353666,-0.0011152382717378728,-0.0034735808095784915,-0.0024377169852021208
dk,rb_core_strict,all_2017_2025,rb_dual_role_w100,216,0.002035146799881815,0.0008145470355509499,-0.03154225738454386,-0.0008884213908784133,-0.00051411093720799,-0.0003607968354887303
dk,rb_core_strict,all_2017_2025,rb_passing_down_w050,216,0.0017677454981743779,0.0007075223542745146,-0.024585181868680195,-0.0006924679234110442,-0.003896069800643831,-0.0027342146474246265
dk,rb_core_strict,all_2017_2025,rb_scoring_role_w050,216,0.003451429447622001,0.0013813999192278104,0.024219382632367115,0.0006821647969623701,0.000525995646960542,0.0003691373809995291
dk,rb_core_strict,development_2017_2022,rb_dual_role_w050,144,0.0008727778285684273,0.00034853277020441276,-0.05122036551806275,-0.0014866301198034337,-0.0026906798637311713,-0.0017805812263314014
dk,rb_core_strict,development_2017_2022,rb_dual_role_w100,144,0.0006225935349144507,0.0002486248416633252,-0.07327926271750584,-0.002126871958272436,-0.00044519126591135993,-0.0002946092624743768
dk,rb_core_strict,development_2017_2022,rb_passing_down_w050,144,0.0017896639496206568,0.0007146796282844203,-0.00789926879507874,-0.00022926995534711114,-0.002315477415764766,-0.0015322876838970156
dk,rb_core_strict,development_2017_2022,rb_scoring_role_w050,144,0.0013645899281486962,0.0005449317022989675,-0.00833374124395192,-0.0002418801704868745,0.0005302142739782578,0.0003508739909583447
dk,rb_core_strict,recent_2020_2025,rb_dual_role_w050,144,0.004727883647151376,0.0020472353309473057,-0.04309277901492692,-0.001276678905729134,-0.006597818488828899,-0.004746612151428242
dk,rb_core_strict,recent_2020_2025,rb_dual_role_w100,144,0.0049923864306280485,0.0021617684886727773,-0.01618646831153825,-0.0004795449057587442,-0.0025021646711320678,-0.001800110938635191
dk,rb_core_strict,recent_2020_2025,rb_passing_down_w050,144,0.003640474286168871,0.0015763728839943703,-0.053872104952169764,-0.0015960302763448064,-0.007513114354907868,-0.00540509563160263
