challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,season_wins,season_count,bootstrap_95_low,bootstrap_95_high
separate_projection_core,pooled_projection_core,3.175172597674694,3.1326400202596614,0.04253257741503269,0.042953776849957985,1,9,0.01916539324397605,0.06929679456497376
role_group_projection_core,pooled_projection_core,3.145804177564313,3.1326400202596614,0.013164157304651702,0.013400449319716352,3,9,-0.00943470589732904,0.04083048501396943
qb_skill_projection_core,pooled_projection_core,3.138438712073654,3.1326400202596614,0.005798691813992729,0.0059864226770449174,2,9,-0.01780389039936771,0.028754332766571227
separate_full,pooled_full,3.1389262803181937,3.1229683424927983,0.01595793782539534,0.015882928430263385,4,9,-0.014705241256534793,0.04493603569504239
role_group_full,pooled_full,3.1231273964302737,3.1229683424927983,0.0001590539374753952,0.0001615621433142225,4,9,-0.02810115131685626,0.02819915911314297
qb_skill_full,pooled_full,3.1237171338718532,3.1229683424927983,0.000748791379054925,0.0008250311635514448,5,9,-0.010846125288137559,0.013837601261229052
role_group_projection_core,separate_projection_core,3.145804177564313,3.175172597674694,-0.02936842011038099,-0.029553327530241633,9,9,-0.04122888303493764,-0.01880310970279736
role_group_full,separate_full,3.1231273964302737,3.1389262803181937,-0.015798883887919946,-0.015721366286949163,8,9,-0.02300648629205683,-0.008597817617804081
qb_skill_projection_core,role_group_projection_core,3.138438712073654,3.145804177564313,-0.007365465490658973,-0.007414026642671434,7,9,-0.02378004504770968,0.011649830014142696
qb_skill_full,role_group_full,3.1237171338718532,3.1231273964302737,0.0005897374415795298,0.0006634690202372222,4,9,-0.021280638541797823,0.023131263661365815
