matcher,season,player,pos,pool_raw_residual_mean,pool_residual_sd,model_residual_sd,pool_zero_active_probability,pool_expected_active_games
production_hybrid,2017,Aaron Rodgers,QB,-0.08117616163543329,3.466466775640704,0.0,0.0,13.961733706109989
production_hybrid,2017,Alex Smith,QB,-0.1609236520379376,4.136770542596295,0.0,0.0,11.869668600940422
production_hybrid,2017,Andrew Luck,QB,-0.7842976973462628,3.083356165196502,0.0,0.0,13.422111691378653
production_hybrid,2017,Andy Dalton,QB,-0.7122528903306896,3.115635548511335,0.0,0.0,13.024966422987763
production_hybrid,2017,Ben Roethlisberger,QB,0.03907081645783084,3.453136036821597,0.0,0.0,14.069098051718093
production_hybrid,2017,Blake Bortles,QB,-0.2309663692849109,3.685462615109818,0.0,0.0,11.947186079417499
production_hybrid,2017,Brian Hoyer,QB,-0.043352408034340234,3.421935596378609,0.0,0.0,11.365052644818771
production_hybrid,2017,Cam Newton,QB,-1.203390130516282,3.7727318039191498,0.0,0.0,13.394738448625105
production_hybrid,2017,Carson Palmer,QB,0.5814834225980423,3.9468210365981324,0.0,0.0,13.094216981809392
production_hybrid,2017,Carson Wentz,QB,0.041600446158143095,3.361294424011256,0.0,0.0,13.315145999658315
production_hybrid,2017,Case Keenum,QB,0.20085669302869416,3.74255146336879,0.0,0.0,11.516492227149271
production_hybrid,2017,Cj Beathard,QB,5.856432992422393,6.784714587420099,0.0,0.2299255705560834,6.309372895671529
production_hybrid,2017,Dak Prescott,QB,-0.5299785772428496,3.606604511079737,0.0,0.0,13.621801454238616
production_hybrid,2017,Derek Anderson,QB,4.770504131287096,6.664912343558665,0.0,0.2983066088184558,5.538065277533184
production_hybrid,2017,Derek Carr,QB,-0.39256592298304205,3.379856044885612,0.0,0.0,13.385635183271253
production_hybrid,2017,Deshaun Watson,QB,0.9832399433435045,4.096833307511766,0.0,0.0,11.092833978582476
production_hybrid,2017,Deshone Kizer,QB,0.8096879687269891,3.6136965148567493,0.0,0.0,12.456447401100089
production_hybrid,2017,Drew Brees,QB,0.42007441970093407,4.361330936212489,0.0,0.0,14.00012436423345
production_hybrid,2017,Eli Manning,QB,0.2524761357927602,3.77267150264179,0.0,0.0,13.379362793227887
production_hybrid,2017,Jameis Winston,QB,-0.8725814344193418,3.519990179593208,0.0,0.0,13.555177795875112
production_hybrid,2017,Jared Goff,QB,0.7376290240725194,3.7548025951109247,0.0,0.0,11.710805110430048
production_hybrid,2017,Jay Cutler,QB,-0.2992718021811035,4.278515379805427,0.0,0.008229001909158587,11.133043858686554
production_hybrid,2017,Jimmy Garoppolo,QB,4.766460232768244,6.968024949287336,0.0,0.24241560336899204,6.292654502749127
production_hybrid,2017,Joe Flacco,QB,-0.22271529579179436,3.650735539114819,0.0,0.0,12.759684418542045
production_hybrid,2017,Josh Mccown,QB,0.8182588628837781,4.494900092459764,0.0,0.011502965884450732,11.169125376692241
production_hybrid,2017,Kirk Cousins,QB,-0.8222556871673323,3.1004682951769826,0.0,0.0,13.477293757839877
production_hybrid,2017,Marcus Mariota,QB,-0.9073907509635379,3.5936520359220396,0.0,0.0,13.553525189679199
production_hybrid,2017,Matt Moore,QB,4.9300770190084116,6.910128466585697,0.0,0.2954019400321085,5.617426024827371
