study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,development_2017_2022,ppg_crps,504,6,0.0015396918548111942,-0.0005226533559215469,0.003313005472122881,0.0692,0.0010066692335480836
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,development_2017_2022,contribution_crps,504,6,0.02018373240243625,-0.00010818654002987462,0.04401304338899009,0.028,0.011494522228596038
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,development_2017_2022,played_crps,504,6,0.00014428302592214137,-0.0024554834475889343,0.0029522093734682896,0.4822,0.0013984911769451313
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,development_2017_2022,ppg_crps,504,6,0.00149991876739272,-0.0022965504904891958,0.004430746930572038,0.1888,0.00175052654600454
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,development_2017_2022,contribution_crps,504,6,0.022570876774314477,-0.014933358147307929,0.06016986322220441,0.1178,0.019022256618590798
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,development_2017_2022,played_crps,504,6,-0.0008674007744867565,-0.0023704836375287495,0.0006595287951701988,0.8572,0.0007887343621530065
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_w100,production,core_strict,development_2017_2022,ppg_crps,504,6,0.0020188454501407827,-0.00016315320047709136,0.003990526464697349,0.0328,0.0010913067319677468
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_w100,production,core_strict,development_2017_2022,contribution_crps,504,6,0.019806923873498465,-0.0036451953936139578,0.04240735006160487,0.0604,0.012236598109803511
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_w100,production,core_strict,development_2017_2022,played_crps,504,6,-0.0013304646558115539,-0.0031555447309282295,0.0010756565930073402,0.8982,0.0011137742900176632
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_depth_w100,production,core_strict,development_2017_2022,ppg_crps,504,6,0.00026687891292678437,-0.0025429513173127237,0.003160635895040314,0.437,0.0014241642462964913
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_depth_w100,production,core_strict,development_2017_2022,contribution_crps,504,6,-0.010615781301982496,-0.03769380946845992,0.017823162377360504,0.7598,0.014586691511069618
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_depth_w100,production,core_strict,development_2017_2022,played_crps,504,6,-0.0016144449222742854,-0.0034682330455848543,0.0004112959890635217,0.941,0.0010305665089485722
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.0025772053486001864,-0.0059880866582723265,0.001948331406901509,0.8598,0.0018996514235819688
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.04106287731845799,-0.04259528556974815,-0.03885199553635401,1.0,0.0009127863349466967
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w100,production,core_strict,temporal_2023_2025,played_crps,252,3,-0.0006168990915815434,-0.00585659497534042,0.004678705010308341,0.642,0.0024686745787789836
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.004066180564563842,-0.007150998651357497,-0.00021351210591001392,1.0,0.0016601068781355957
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.03287149017766916,-0.05345622782269724,-0.017827620455685915,1.0,0.008698680284481891
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_disp_w150,production,core_strict,temporal_2023_2025,played_crps,252,3,0.001364145435867869,-0.0058472631814299675,0.00947212910897725,0.375,0.0036486337744990518
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_w100,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.0034345246889354174,-0.004771703058531953,-0.0013810867999219298,1.0,0.0008588787511567755
2026-07-31_template_fastr_receiver_profiles,results_dk,2026-07-31_template_fastr_receiver_profiles__results_dk,dk,fresh_expanded,usage_air_value_w100,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.026837969737476822,-0.04538488644727218,-0.0174308881288288,1.0,0.007602847279346381
