experiment,league,candidate_method,baseline_method,tier,period,metric,n,player_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w100,production,core_main,development_2017_2022,ppg_crps,720,287,0.0010882746025091972,-0.0007995794616807539,0.0029829057801361485,0.133
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w100,production,core_main,development_2017_2022,contribution_crps,720,287,0.004704311950123417,-0.02161133736073853,0.031165772788678898,0.3694
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w150,production,core_main,development_2017_2022,ppg_crps,720,287,0.0012232685489362927,-0.001133455126901005,0.0035354828963191113,0.1608
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w150,production,core_main,development_2017_2022,contribution_crps,720,287,0.00590500231863828,-0.02672076321795723,0.037800764408262216,0.3604
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_w100,production,core_main,development_2017_2022,ppg_crps,720,287,0.0013563042943259063,-0.000673554561339956,0.003413679946643041,0.1026
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_w100,production,core_main,development_2017_2022,contribution_crps,720,287,0.007887620345200748,-0.01894570899305701,0.03530447190470228,0.28
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_depth_w100,production,core_main,development_2017_2022,ppg_crps,720,287,0.0001572636755895751,-0.0018454860636884026,0.0022117159016323746,0.4422
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_depth_w100,production,core_main,development_2017_2022,contribution_crps,720,287,-0.016129066930913264,-0.048991865804067315,0.016977288230276798,0.8394
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w100,production,core_main,temporal_2023_2025,ppg_crps,360,180,-0.003346065968048706,-0.005849621005019038,-0.00098117931441073,0.9966
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w100,production,core_main,temporal_2023_2025,contribution_crps,360,180,-0.031398913155978835,-0.06959649197950021,0.006128488654005616,0.9502
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w150,production,core_main,temporal_2023_2025,ppg_crps,360,180,-0.004425214251552223,-0.007706665723403272,-0.0012459545199636026,0.997
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_disp_w150,production,core_main,temporal_2023_2025,contribution_crps,360,180,-0.024777782858500727,-0.0757556911333772,0.02622769675153873,0.8316
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_w100,production,core_main,temporal_2023_2025,ppg_crps,360,180,-0.004327500134067451,-0.007060011584617457,-0.0016851065406555824,0.9994
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_air_value_w100,production,core_main,temporal_2023_2025,contribution_crps,360,180,-0.02273723475972938,-0.0636567287809224,0.019101240768412096,0.8476
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_depth_w100,production,core_main,temporal_2023_2025,ppg_crps,360,180,-0.0039387757729471016,-0.007481524717492796,-0.0006256534497782373,0.9908
2026-07-31_template_fastr_receiver_profiles__results_dk,dk,usage_depth_w100,production,core_main,temporal_2023_2025,contribution_crps,360,180,-0.021921759676886764,-0.06532015383632878,0.020784326698400336,0.8462
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w100,production,core_main,development_2017_2022,ppg_crps,720,287,-4.7306794716446016e-05,-0.0013836380931938667,0.0012757460716697618,0.535
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w100,production,core_main,development_2017_2022,contribution_crps,720,287,-0.007602123460924758,-0.02900938642690162,0.014062429387738893,0.7574
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w150,production,core_main,development_2017_2022,ppg_crps,720,287,7.567283122820965e-05,-0.0015138137290830304,0.0017347032593073132,0.4526
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w150,production,core_main,development_2017_2022,contribution_crps,720,287,0.0014686498702547457,-0.024237392369793127,0.027478852869212228,0.4586
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_w100,production,core_main,development_2017_2022,ppg_crps,720,287,-0.000544712950748485,-0.0019804330630811716,0.0008810793774969027,0.7818
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_w100,production,core_main,development_2017_2022,contribution_crps,720,287,-0.011291887295061592,-0.035464011348517656,0.01252812701830415,0.824
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_depth_w100,production,core_main,development_2017_2022,ppg_crps,720,287,0.000244794099972875,-0.001335559573503741,0.001867640916606947,0.378
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_depth_w100,production,core_main,development_2017_2022,contribution_crps,720,287,-0.008596467674947242,-0.036195574442576456,0.017255895877546796,0.7388
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w100,production,core_main,temporal_2023_2025,ppg_crps,360,179,-0.00041346513615566656,-0.0024379340464095,0.0015612504409239366,0.651
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w100,production,core_main,temporal_2023_2025,contribution_crps,360,179,0.011631891870932814,-0.01920447380513851,0.04064767895211669,0.226
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w150,production,core_main,temporal_2023_2025,ppg_crps,360,179,0.0006552568119963588,-0.0018701814780166266,0.0031651884063197532,0.3132
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_disp_w150,production,core_main,temporal_2023_2025,contribution_crps,360,179,0.02005313388912489,-0.018882638339590294,0.06043087039736151,0.1608
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_w100,production,core_main,temporal_2023_2025,ppg_crps,360,179,0.00025777106516337915,-0.0018439680913704562,0.002347471500299562,0.4046
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_air_value_w100,production,core_main,temporal_2023_2025,contribution_crps,360,179,0.01689543533343726,-0.01601426418306407,0.04882046124128842,0.1512
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_depth_w100,production,core_main,temporal_2023_2025,ppg_crps,360,179,0.000836223221874349,-0.0014725080784271885,0.003083327462516171,0.2294
2026-07-31_template_fastr_receiver_profiles__results_beta,beta,usage_depth_w100,production,core_main,temporal_2023_2025,contribution_crps,360,179,0.026322522002058927,-0.011425695949010599,0.06658857538287362,0.0874
