experiment,method,max_position_ppg_relative_delta,worst_ppg_position
2026-07-31_template_fastr_receiver_profiles__results_dk,production,0.0,QB
2026-07-31_template_fastr_receiver_profiles__results_dk,usage_air_value_disp_w100,0.001207514314082614,WR
2026-07-31_template_fastr_receiver_profiles__results_dk,usage_air_value_disp_w150,0.0012571324295416186,WR
2026-07-31_template_fastr_receiver_profiles__results_dk,usage_air_value_w100,0.0012581850599768796,WR
2026-07-31_template_fastr_receiver_profiles__results_dk,usage_depth_w100,0.0005384269940527098,WR
2026-07-31_template_fastr_receiver_profiles__results_beta,production,0.0,QB
2026-07-31_template_fastr_receiver_profiles__results_beta,usage_air_value_disp_w100,0.00017190891422580457,WR
2026-07-31_template_fastr_receiver_profiles__results_beta,usage_air_value_disp_w150,0.00027549633428436415,WR
2026-07-31_template_fastr_receiver_profiles__results_beta,usage_air_value_w100,0.0,QB
2026-07-31_template_fastr_receiver_profiles__results_beta,usage_depth_w100,0.0006796907373811667,WR
