league,scope,period,method,n,ppg_crps_delta,ppg_crps_relative_delta
dk,wr_core_main,all_2017_2025,usage_air_value_disp_w100,432,0.000388066653019159,0.0001485641594349829
dk,wr_core_main,all_2017_2025,usage_air_value_disp_w150,432,-8.736834400657756e-05,-3.3447358817273454e-05
dk,wr_core_main,all_2017_2025,usage_air_value_w100,432,-0.0002389016539687816,-9.145909119823159e-05
dk,wr_core_main,all_2017_2025,usage_depth_w100,432,-0.0017127123267139943,-0.0006556803198433103
dk,wr_core_main,development_2017_2022,usage_air_value_disp_w100,288,0.0032004320191920677,0.001207514314082614
dk,wr_core_main,development_2017_2022,usage_air_value_disp_w150,288,0.0033319413550199073,0.0012571324295416186
dk,wr_core_main,development_2017_2022,usage_air_value_w100,288,0.0033347312781777383,0.0012581850599766575
dk,wr_core_main,development_2017_2022,usage_depth_w100,288,0.0014270629935122514,0.0005384269940527098
dk,wr_core_main,recent_2020_2025,usage_air_value_disp_w100,288,-0.0005176431599500653,-0.0001992135819909313
dk,wr_core_main,recent_2020_2025,usage_air_value_disp_w150,288,-0.0007607112248186887,-0.00029275767494252314
dk,wr_core_main,recent_2020_2025,usage_air_value_w100,288,-0.002110593771553315,-0.0008122563531980376
dk,wr_core_main,recent_2020_2025,usage_depth_w100,288,-0.0018013589638758987,-0.0006932481667097923
dk,wr_core_main,temporal_2023_2025,usage_air_value_disp_w100,144,-0.0052366640793275465,-0.002065350126587484
dk,wr_core_main,temporal_2023_2025,usage_air_value_disp_w150,144,-0.006925987742061324,-0.002731622545024237
dk,wr_core_main,temporal_2023_2025,usage_air_value_w100,144,-0.00738616751826493,-0.002913118311152707
dk,wr_core_main,temporal_2023_2025,usage_depth_w100,144,-0.007992262967167818,-0.003152163492045168
dk,te_core_main,all_2017_2025,usage_air_value_disp_w100,162,-0.003633770548117532,-0.00165349471354026
dk,te_core_main,all_2017_2025,usage_air_value_disp_w150,162,-0.004164078090824752,-0.0018948034882154685
dk,te_core_main,all_2017_2025,usage_air_value_w100,162,-0.00295157680144964,-0.0013430723192837668
dk,te_core_main,all_2017_2025,usage_depth_w100,162,-0.00348665251046798,-0.0015865507790516764
dk,te_core_main,development_2017_2022,usage_air_value_disp_w100,108,-0.001279321367784192,-0.0005814725335016036
dk,te_core_main,development_2017_2022,usage_air_value_disp_w150,108,-0.0007300532871448162,-0.00033182118673003025
dk,te_core_main,development_2017_2022,usage_air_value_w100,108,0.00014941188703065933,6.79101519560632e-05
dk,te_core_main,development_2017_2022,usage_depth_w100,108,-0.002757076812103243,-0.001253136607707095
dk,te_core_main,recent_2020_2025,usage_air_value_disp_w100,108,-0.0037319724654771846,-0.0017558112949065396
dk,te_core_main,recent_2020_2025,usage_air_value_disp_w150,108,-0.005082155268122168,-0.002391042727346804
dk,te_core_main,recent_2020_2025,usage_air_value_w100,108,-0.0035378869606232932,-0.0016644983163804916
dk,te_core_main,recent_2020_2025,usage_depth_w100,108,-0.002385090672603507,-0.0011221329152539816
dk,te_core_main,temporal_2023_2025,usage_air_value_disp_w100,54,-0.008342668908783768,-0.003804902537546284
dk,te_core_main,temporal_2023_2025,usage_air_value_disp_w150,54,-0.011032127698183736,-0.005031503842752083
dk,te_core_main,temporal_2023_2025,usage_air_value_w100,54,-0.00915355417841024,-0.004174728962853869
dk,te_core_main,temporal_2023_2025,usage_depth_w100,54,-0.004945803907199231,-0.0022556692639325027
dk,wr_all_saved,all_2017_2025,usage_air_value_disp_w100,1077,-9.843779739115988e-05,-4.5534266055469175e-05
dk,wr_all_saved,all_2017_2025,usage_air_value_disp_w150,1077,-0.0005567505203960543,-0.00025753548935580906
dk,wr_all_saved,all_2017_2025,usage_air_value_w100,1077,-0.00045786117340052,-0.00021179235048551792
dk,wr_all_saved,all_2017_2025,usage_depth_w100,1077,-0.0016878834380444907,-0.0007807624263792556
dk,wr_all_saved,development_2017_2022,usage_air_value_disp_w100,717,0.0013029865713320987,0.0005932354694071496
dk,wr_all_saved,development_2017_2022,usage_air_value_disp_w150,717,0.0006827391168635621,0.00031084361833522145
dk,wr_all_saved,development_2017_2022,usage_air_value_w100,717,0.0010424007835840854,0.00047459362342294753
dk,wr_all_saved,development_2017_2022,usage_depth_w100,717,-0.00017147516586479838,-7.807075894072923e-05
dk,wr_all_saved,recent_2020_2025,usage_air_value_disp_w100,718,-0.0008498482630283632,-0.00040334653870643944
dk,wr_all_saved,recent_2020_2025,usage_air_value_disp_w150,718,-0.0009733163564420444,-0.000461945738452596
dk,wr_all_saved,recent_2020_2025,usage_air_value_w100,718,-0.0015624609151685398,-0.0007415596753138631
dk,wr_all_saved,recent_2020_2025,usage_depth_w100,718,-0.0018591230099929135,-0.000882358491194779
dk,wr_all_saved,temporal_2023_2025,usage_air_value_disp_w100,360,-0.0028896079984326306,-0.001380609836758584
