method,selection_bucket_from_prior_v1_optimizer,player_origins,selected_slots,mean_residual,positive_residual_rate,selection_weighted_mean_residual
v1,core_>50%,3,1842,12.316378757790284,1.0,12.421477644007528
v1,frequent_25-50%,50,17103,2.3837173620266254,0.6,2.5121546601290894
v1,never,41,0,-0.2735851427118818,0.3170731707317073,
v1,occasional_5-25%,221,26674,-0.1175771755521752,0.4343891402714932,0.5096635181246396
v1,rare_0-5%,203,4301,-1.5760310810891354,0.32019704433497537,-1.9029510893288075
v2,core_>50%,3,1842,11.98286782010331,1.0,12.1282425886319
v2,frequent_25-50%,50,17103,2.14766688563803,0.52,2.2895930902139487
v2,never,41,0,-0.9992639918788777,0.21951219512195122,
v2,occasional_5-25%,221,26674,0.4551587217193283,0.45701357466063347,0.9499866091741419
v2,rare_0-5%,203,4301,-1.4962037507864117,0.26108374384236455,-1.845797489294812
