period,chance_level,rosters,mean_point_spend_v1,mean_point_spend_v2,mean_point_spend_shift_v2_minus_v1,mean_actual_minus_point_v1,mean_actual_minus_point_v2,actual_minus_point_gap_change_v2_minus_v1,point_v1_at_or_below_cap_rate,point_v2_at_or_below_cap_rate
all_years,all,4000,304.3660646461593,303.11285004362674,-1.2532146025325475,17.7616853538407,19.014899956373245,1.2532146025325475,0.15825,0.19525
all_years,0.6,1000,307.69354880207874,306.11277733209033,-1.5807714699884396,17.707451197921255,19.288222667909693,1.5807714699884396,0.04,0.085
all_years,0.7,1000,305.6541631700527,304.26564059754344,-1.3885225725092627,17.589836829947256,18.978359402456523,1.3885225725092627,0.08,0.134
all_years,0.8,1000,303.39572966009007,302.2544164914844,-1.1413131686057476,17.7052703399099,18.846583508515646,1.1413131686057476,0.182,0.201
all_years,0.9,1000,300.72081695241565,299.8185657533889,-0.9022511990267397,18.044183047584387,18.946434246611126,0.9022511990267397,0.331,0.361
replay_development_2022_2024,all,3000,305.15418131446455,302.2901881922429,-2.8639931222216126,16.35748535220212,19.22147847442373,2.8639931222216126,0.13533333333333333,0.23166666666666666
replay_development_2022_2024,0.6,750,308.3654507851574,305.16194686565126,-3.2035039195062005,16.410549214842554,19.614053134348758,3.2035039195062005,0.044,0.11066666666666666
replay_development_2022_2024,0.7,750,306.4080671355287,303.4241694197728,-2.983897715755955,16.299932864471284,19.28383058022724,2.983897715755955,0.068,0.16933333333333334
replay_development_2022_2024,0.8,750,304.264214939662,301.48934383124015,-2.7748711084218862,16.329118393671326,19.10398950209321,2.7748711084218862,0.14933333333333335,0.24
replay_development_2022_2024,0.9,750,301.57899239751004,299.0852926523076,-2.4936997452024103,16.390340935823318,18.884040681025727,2.4936997452024103,0.28,0.4066666666666667
temporal_check_2025,all,1000,302.00171464124355,305.5808355977782,3.579120956534649,21.97428535875644,18.39516440222179,-3.579120956534649,0.227,0.086
temporal_check_2025,0.6,250,305.6778428528427,308.9652687314075,3.2874258785648425,21.598157147157355,18.31073126859251,-3.2874258785648425,0.028,0.008
temporal_check_2025,0.7,250,303.39245127362483,306.79005413085565,3.3976028572308152,21.45954872637518,18.061945869144367,-3.3976028572308152,0.116,0.028
temporal_check_2025,0.8,250,300.7902738213744,304.549634472217,3.7593606508426665,21.83372617862563,18.07436552778296,-3.7593606508426665,0.28,0.084
temporal_check_2025,0.9,250,298.1462906171324,302.01838505663267,3.8720944395002714,23.005709382867597,19.133614943367323,-3.8720944395002714,0.484,0.224
2022,all,1000,301.4396177821366,299.9356289883276,-1.5039887938090266,11.26238221786337,12.766371011672396,1.5039887938090266,0.261,0.354
2022,0.6,250,304.25333665906635,302.3694793726458,-1.8838572864205627,11.046663340933629,12.930520627354191,1.8838572864205627,0.092,0.216
2022,0.7,250,302.71657835370036,300.99179272584547,-1.7247856278549099,10.939421646299627,12.664207274154535,1.7247856278549099,0.148,0.296
2022,0.8,250,300.46456419314234,299.1136284078507,-1.3509357852916302,11.319435806857673,12.670371592149301,1.3509357852916302,0.316,0.36
2022,0.9,250,298.32399192263745,297.2676154469685,-1.0563764756690044,11.744008077362547,12.800384553031552,1.0563764756690044,0.488,0.544
2023,all,1000,309.89416651181614,303.7163209328401,-6.177845578975989,15.781833488183853,21.959679067159843,6.177845578975989,0.035,0.177
2023,0.6,250,313.2903076988863,306.7496599521223,-6.540647746764116,16.017692301113662,22.558340047877778,6.540647746764116,0.012,0.08
2023,0.7,250,311.1611010742285,304.94245305565505,-6.21864801857342,15.230898925771523,21.449546944344945,6.21864801857342,0.02,0.132
2023,0.8,250,309.12917889274786,302.95961649389477,-6.169562398853062,15.89882110725217,22.068383506105235,6.169562398853062,0.032,0.172
2023,0.9,250,305.99607838140196,300.2135542296886,-5.782524151713359,15.979921618598055,21.76244577031141,5.782524151713359,0.076,0.324
2024,all,1000,304.1287596494409,303.21861465556105,-0.9101449938798225,22.028240350559134,22.93838534443896,0.9101449938798225,0.11,0.164
2024,0.6,250,307.55270799751963,306.36670127218576,-1.1860067253339222,22.167292002480377,23.3532987278143,1.1860067253339222,0.028,0.036
2024,0.7,250,305.3465219786573,304.3382624778177,-1.0082595008395354,22.7294780213427,23.737737522182236,1.0082595008395354,0.036,0.08
2024,0.8,250,303.19890173309585,302.3947865919749,-0.8041151411209657,21.769098266904134,22.573213408025097,0.8041151411209657,0.1,0.188
2024,0.9,250,300.4169068884906,299.77470828026577,-0.6421986082248671,21.447093111509346,22.08929171973421,0.6421986082248671,0.276,0.352
2025,all,1000,302.00171464124355,305.5808355977782,3.579120956534649,21.97428535875644,18.39516440222179,-3.579120956534649,0.227,0.086
2025,0.6,250,305.6778428528427,308.9652687314075,3.2874258785648425,21.598157147157355,18.31073126859251,-3.2874258785648425,0.028,0.008
2025,0.7,250,303.39245127362483,306.79005413085565,3.3976028572308152,21.45954872637518,18.061945869144367,-3.3976028572308152,0.116,0.028
2025,0.8,250,300.7902738213744,304.549634472217,3.7593606508426665,21.83372617862563,18.07436552778296,-3.7593606508426665,0.28,0.084
2025,0.9,250,298.1462906171324,302.01838505663267,3.8720944395002714,23.005709382867597,19.133614943367323,-3.8720944395002714,0.484,0.224
