method,period,player_years,mean_actual_residual,empirical_le_q5,coverage_error_q5,empirical_le_q10,coverage_error_q10,empirical_le_q25,coverage_error_q25,empirical_le_q75,coverage_error_q75,empirical_le_q90,coverage_error_q90,empirical_le_q95,coverage_error_q95,central_50_coverage,central_80_coverage,central_90_coverage
v1,all_years,526,-0.478377180487499,0.055133079847908745,0.005133079847908742,0.09505703422053231,-0.004942965779467692,0.1920152091254753,-0.05798479087452471,0.7072243346007605,-0.04277566539923949,0.8745247148288974,-0.025475285171102646,0.9372623574144486,-0.012737642585551323,0.5152091254752852,0.779467680608365,0.8821292775665399
v1,replay_development_2022_2024,389,-0.4797593751579033,0.061696658097686374,0.011696658097686372,0.10539845758354756,0.005398457583547553,0.20051413881748073,-0.04948586118251927,0.6683804627249358,-0.08161953727506421,0.8688946015424165,-0.031105398457583533,0.9460154241645244,-0.003984575835475512,0.46786632390745503,0.7634961439588689,0.884318766066838
v1,temporal_check_2025,137,-0.47445255474452597,0.0364963503649635,-0.013503649635036502,0.06569343065693431,-0.034306569343065696,0.1678832116788321,-0.0821167883211679,0.8175182481751825,0.06751824817518248,0.8905109489051095,-0.00948905109489051,0.9124087591240876,-0.03759124087591237,0.6496350364963503,0.8248175182481752,0.8759124087591241
v1,2022,126,-0.6106469410096816,0.05555555555555555,0.00555555555555555,0.1111111111111111,0.0111111111111111,0.1984126984126984,-0.0515873015873016,0.6111111111111112,-0.13888888888888884,0.8412698412698413,-0.058730158730158744,0.9444444444444444,-0.005555555555555536,0.4126984126984127,0.7301587301587301,0.8888888888888888
v1,2023,131,-0.2738544606452595,0.04580152671755725,-0.004198473282442751,0.08396946564885496,-0.016030534351145043,0.183206106870229,-0.06679389312977099,0.7175572519083969,-0.03244274809160308,0.8778625954198473,-0.022137404580152675,0.9389312977099237,-0.011068702290076282,0.5343511450381679,0.7938931297709924,0.8931297709923665
v1,2024,132,-0.5591662729142086,0.08333333333333333,0.033333333333333326,0.12121212121212122,0.02121212121212121,0.2196969696969697,-0.030303030303030304,0.6742424242424242,-0.0757575757575758,0.8863636363636364,-0.013636363636363669,0.9545454545454546,0.00454545454545463,0.45454545454545453,0.7651515151515151,0.8712121212121212
v1,2025,137,-0.47445255474452597,0.0364963503649635,-0.013503649635036502,0.06569343065693431,-0.034306569343065696,0.1678832116788321,-0.0821167883211679,0.8175182481751825,0.06751824817518248,0.8905109489051095,-0.00948905109489051,0.9124087591240876,-0.03759124087591237,0.6496350364963503,0.8248175182481752,0.8759124087591241
v2,all_years,527,-0.2715131452888797,0.05502846299810247,0.005028462998102466,0.08538899430740038,-0.014611005692599627,0.19734345351043645,-0.052656546489563555,0.7362428842504743,-0.01375711574952565,0.889943074003795,-0.010056925996205002,0.9354838709677419,-0.014516129032258074,0.538899430740038,0.8045540796963947,0.8804554079696395
v2,replay_development_2022_2024,389,-0.22242673282838152,0.061696658097686374,0.011696658097686372,0.09254498714652956,-0.007455012853470444,0.19794344473007713,-0.052056555269922866,0.7017994858611826,-0.04820051413881743,0.8817480719794345,-0.018251928020565522,0.9357326478149101,-0.014267352185089899,0.5038560411311054,0.7892030848329049,0.8740359897172236
v2,temporal_check_2025,138,-0.40987991664492174,0.036231884057971016,-0.013768115942028987,0.06521739130434782,-0.03478260869565218,0.1956521739130435,-0.05434782608695651,0.8333333333333334,0.08333333333333337,0.9130434782608695,0.01304347826086949,0.9347826086956522,-0.015217391304347738,0.6376811594202898,0.8478260869565217,0.8985507246376812
v2,2022,126,-0.14896352139036337,0.031746031746031744,-0.01825396825396826,0.047619047619047616,-0.05238095238095239,0.15873015873015872,-0.09126984126984128,0.6587301587301587,-0.09126984126984128,0.8888888888888888,-0.011111111111111183,0.9444444444444444,-0.005555555555555536,0.5,0.8412698412698413,0.9126984126984127
v2,2023,131,-0.04919225905530009,0.06870229007633588,0.01870229007633588,0.10687022900763359,0.00687022900763358,0.21374045801526717,-0.03625954198473283,0.7404580152671756,-0.009541984732824416,0.8473282442748091,-0.052671755725190894,0.916030534351145,-0.033969465648854946,0.5267175572519084,0.7404580152671756,0.8473282442748091
v2,2024,132,-0.4644727987788661,0.08333333333333333,0.033333333333333326,0.12121212121212122,0.02121212121212121,0.2196969696969697,-0.030303030303030304,0.7045454545454546,-0.045454545454545414,0.9090909090909091,0.009090909090909038,0.946969696969697,-0.003030303030302939,0.48484848484848486,0.7878787878787878,0.8636363636363636
v2,2025,138,-0.40987991664492174,0.036231884057971016,-0.013768115942028987,0.06521739130434782,-0.03478260869565218,0.1956521739130435,-0.05434782608695651,0.8333333333333334,0.08333333333333337,0.9130434782608695,0.01304347826086949,0.9347826086956522,-0.015217391304347738,0.6376811594202898,0.8478260869565217,0.8985507246376812
