period,chance_level,paired_rosters,roster_changed_rate,v1_actual_cap_feasible_rate,v2_actual_cap_feasible_rate,v2_only_feasible_rosters,v1_only_feasible_rosters,v1_mean_managed_forecast_season_points,v2_mean_managed_forecast_season_points,mean_managed_forecast_season_points_effect_v2_minus_v1,v1_mean_heldout_cap_probability,v2_mean_heldout_cap_probability,mean_heldout_cap_probability_effect_v2_minus_v1,v1_mean_heldout_salary_spend_mean,v2_mean_heldout_salary_spend_mean,mean_heldout_salary_spend_mean_effect_v2_minus_v1,v1_mean_heldout_salary_spend_p90,v2_mean_heldout_salary_spend_p90,mean_heldout_salary_spend_p90_effect_v2_minus_v1,v1_mean_heldout_salary_spend_p95,v2_mean_heldout_salary_spend_p95,mean_heldout_salary_spend_p95_effect_v2_minus_v1,v1_mean_actual_cap_overage,v2_mean_actual_cap_overage,mean_actual_cap_overage_effect_v2_minus_v1,v1_mean_actual_salary_spend,v2_mean_actual_salary_spend,mean_actual_salary_spend_effect_v2_minus_v1,v1_mean_raw_actual_points_audit_only,v2_mean_raw_actual_points_audit_only,mean_raw_actual_points_audit_only_effect_v2_minus_v1,mean_actual_cap_feasible_effect_v2_minus_v1
all_years,all,4000,0.79325,0.14625,0.14925,175,163,1589.8106311035156,1590.9236632080078,1.1130321044921876,0.7418987499999999,0.7331937499999999,-0.008705000000000001,292.3935496250439,292.47536895949213,0.0818193344482789,302.31922185284196,302.7904414978266,0.4712196449846031,305.0999941590786,305.71979284309003,0.6197986840113985,25.7265,26.4325,0.706,322.12775,322.78725,0.6595,1586.437219543457,1589.757234008789,3.320014465332031,0.003
all_years,0.6,1000,0.79,0.112,0.115,44,41,1592.602635620117,1593.974605102539,1.371969482421875,0.61455,0.6087400000000001,-0.0058099999999999975,295.63634050023256,295.71203316093863,0.07569266070604522,305.61131537259814,306.05324265353687,0.4419272809386258,308.4105599021077,308.99136848675016,0.5808085846424096,28.54,29.23,0.69,325.401,326.071,0.67,1588.8295793457032,1592.3884379882813,3.558858642578125,0.003
all_years,0.7,1000,0.805,0.144,0.136,37,45,1591.18758203125,1591.8921490478515,0.7045670166015625,0.7029000000000001,0.692175,-0.010725,293.64272010902465,293.7923452193892,0.149625110364556,303.5957551969647,304.1089882347345,0.5132330377697949,306.3406106264413,307.05750120376945,0.7168905773282033,26.725,27.685,0.96,323.244,324.293,1.049,1587.7368189697265,1590.8241394042968,3.0873204345703127,-0.008
all_years,0.8,1000,0.8,0.156,0.166,46,36,1588.7444066162109,1590.38737890625,1.6429722900390624,0.786215,0.7741399999999999,-0.012074999999999999,291.48163154747243,291.5938115127641,0.11217996529162025,301.38892811012266,301.8857140530705,0.49678594294786477,304.1887828019023,304.82216376565094,0.6333809637486918,24.841,25.533,0.692,321.101,321.786,0.685,1586.4542600097657,1591.3871180419922,4.932858032226562,0.01
all_years,0.9,1000,0.778,0.173,0.18,48,41,1586.7079001464845,1587.4405197753906,0.73261962890625,0.86393,0.85772,-0.006209999999999999,288.81350634344574,288.8032859448767,-0.010220398569105896,298.68088873168233,299.11382104996443,0.43293231828212714,301.46002330586316,302.00813791618947,0.5481146103262889,22.8,23.282,0.482,318.765,318.999,0.234,1582.7282198486328,1584.429240600586,1.7010207519531246,0.007
development_2022_2024,all,3000,0.7906666666666666,0.155,0.155,134,134,1576.4929354654948,1578.5722997233072,2.0793642578125,0.75039,0.7402150000000002,-0.010175,292.3366951803694,292.4110813873875,0.0743862070180981,301.8929420042078,302.4554389281869,0.5624969239791241,304.5953284879863,305.3257731203377,0.7304446323513972,25.269333333333332,26.362666666666666,1.0933333333333333,321.51166666666666,322.577,1.0653333333333332,1588.7885194091798,1591.6482927652994,2.8597733561197916,0.0
development_2022_2024,0.6,750,0.792,0.12133333333333333,0.11733333333333333,34,37,1578.7630935872396,1581.1439990234376,2.3809054361979167,0.6250466666666666,0.6170666666666667,-0.007979999999999996,295.47408702273924,295.58857126555364,0.11448424281438369,305.0779683318774,305.66426168478324,0.5862933529059102,307.80059753146963,308.53989679679074,0.7392992653210961,28.028,29.261333333333333,1.2333333333333334,324.776,326.0226666666667,1.2466666666666666,1591.831119954427,1594.6085315755208,2.77741162109375,-0.004
development_2022_2024,0.7,750,0.8,0.14933333333333335,0.14,27,34,1577.5769855143228,1579.6795764973958,2.1025909830729166,0.71274,0.6986333333333333,-0.014106666666666668,293.54916460172973,293.74283566320423,0.19367106147448174,303.1357802514076,303.7843218746662,0.6485416232585917,305.7973395129362,306.68425087540146,0.8869113624652212,26.309333333333335,27.741333333333333,1.432,322.708,324.216,1.508,1590.118185546875,1592.602748046875,2.4845625,-0.009333333333333334
development_2022_2024,0.8,750,0.788,0.168,0.17333333333333334,34,30,1575.7492104492187,1577.9375548502603,2.188344401041667,0.7926933333333334,0.7808533333333335,-0.011839999999999998,291.5024040790335,291.5458516499575,0.043447570923964576,301.0356536179225,301.5621104490121,0.5264568310896556,303.76138455561,304.43329360612233,0.671909050512312,24.492,25.22,0.728,320.5933333333333,321.26,0.6666666666666666,1589.1464794921876,1593.4816525065105,4.335173014322918,0.005333333333333333
development_2022_2024,0.9,750,0.7826666666666666,0.18133333333333335,0.18933333333333333,39,33,1573.882452311198,1575.5280685221355,1.6456162109375,0.8710800000000001,0.8643066666666667,-0.006773333333333333,288.82112501797513,288.7670669708347,-0.05405804714043756,298.32236581562364,298.8110617042859,0.4886958886623388,301.0219923519293,301.6456512030363,0.6236588511069602,22.248,23.228,0.98,317.96933333333334,318.8093333333333,0.84,1584.0582926432292,1585.9002389322916,1.8419462890624994,0.008
