period,method,player_origins,selected_slots,mean_residual,mae,rmse,positive_residual_rate,selection_weighted_mean_residual,selection_weighted_mae
all_years,v1,518,49920,-0.3880325323061974,4.309983622409207,6.306778673469869,0.3996138996138996,1.4274021438241808,5.383876190802645
all_years,v2,518,49920,-0.19455050161098936,4.468844438632236,6.315219957805275,0.37065637065637064,1.5805348814471794,5.6180988290577965
replay_development_2022_2024,v1,384,36962,-0.45573138472554686,4.478731858632387,6.450437155571426,0.40625,1.3333052773374459,5.500611134230952
replay_development_2022_2024,v2,384,36962,-0.210929154920542,4.513089049500585,6.402365039064848,0.3828125,1.6359478783971162,5.762755840377581
temporal_check_2025,v1,134,12958,-0.19402985074627074,3.82640658726218,5.875677973643569,0.3805970149253731,1.6958084086090786,5.050896025731098
temporal_check_2025,v2,134,12958,-0.14761465929107725,4.342053911964729,6.058551884713419,0.3358208955223881,1.422472279713613,5.2054724629209
2022,v1,121,12099,-0.8950215763591892,4.869920109463591,6.598850550254855,0.34710743801652894,0.9318356692354332,5.693118705329881
2022,v2,121,12099,-0.4461590683754592,4.6154317873500394,6.132283211615739,0.38016528925619836,1.1774541410990877,5.752471335083182
2023,v1,131,12021,-0.14421696735829057,3.939594293929275,5.7599308058461025,0.3893129770992366,1.329266246427754,5.208120577029781
2023,v2,131,12021,0.07667888291670266,4.443088705403114,6.525961393694142,0.366412213740458,1.933106450426979,5.994781108590705
2024,v1,132,12842,-0.36220316872130304,4.655195817916723,6.942643877963077,0.4772727272727273,1.7153278578538498,5.593032866468091
2024,v2,132,12842,-0.28073092331928506,4.488744911598954,6.519797157868781,0.4015151515151515,1.789753557668091,5.555253619568283
2025,v1,134,12958,-0.19402985074627074,3.82640658726218,5.875677973643569,0.3805970149253731,1.6958084086090786,5.050896025731098
2025,v2,134,12958,-0.14761465929107725,4.342053911964729,6.058551884713419,0.3358208955223881,1.422472279713613,5.2054724629209
