method,pos,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,variant,recency_half_life,uses_recency,removed_families,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count,feature_count_total,total_match_weight,complexity_score
compact_adp,QB,144.0,2.597089194337316,3.6665795868715887,0.6613568738764032,0.7638888888888888,0.47039930728905843,0.13913572001304803,23.16050578816904,35.11161799019166,7.171829338727455,0.7569444444444444,0.4419160614788653,0.13153956355170648,0.22916666666666666,0.2022549192246862,0.1794128168449589,0.49467649467649466,0.0625,0.08390485399439292,0.06246619264554511,0.37530864197530867,0.13194444444444445,0.1329264130145006,0.11613984332922511,0.5313684210526316,0.04861111111111111,0.015662684075157734,0.04112205957369722,0.8321167883211679,0.4082578400874781,-0.1662326179567559,-4.708208907145596,68.15125687725437,0.05000000000000002,1.562336938521723,2.4159829183524457,0.47164837360769735,0.9027777777777778,0.1527777777777778,0.11724769759441747,0.11118703144106047,0.7078986587183308,9.169272299299811,0.1419982855504919,0.5093852707625702,compact_adp,,0,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp,RB,360.0,2.1001037616468263,2.944428773456536,-0.009408499647998357,0.8194444444444444,0.5061246023468742,0.03253729852788101,23.18381175609211,33.019963699118115,-0.5629482013620941,0.8055555555555556,0.5075163452562581,0.03063110158841581,0.21388888888888888,0.20314998052157576,0.17057956129818455,0.4696893212794273,0.09722222222222222,0.10850444952954738,0.08915396991839779,0.5207912087912088,0.12777777777777777,0.12123948634616488,0.10713197483944019,0.6804901689282747,0.044444444444444446,0.03852255479109739,0.04078175695590779,0.7043968023255814,0.6034343524888994,0.00705458118246797,-0.3104540275847806,68.35003782548421,0.05000000000000002,1.6743342016946756,2.5359372831183022,0.03193917691202913,0.9138888888888889,0.1527777777777778,0.1509237753664344,0.12584619967281116,0.6290909090909091,7.0152023534024615,0.26786970722936887,0.3075685525450025,compact_adp,,0,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp,TE,144.0,1.3967849201274143,2.001277115002308,-0.11830626264614658,0.8263888888888888,0.5227434668537537,0.06667225948375166,16.010438734661946,23.103048272801658,0.08897469781550302,0.8402777777777778,0.5053017818863272,0.04478289782919251,0.11805555555555555,0.13497273045447702,0.10422926018450682,0.5678554886521537,0.041666666666666664,0.045967742571262744,0.039540178288923866,0.6570048309178744,0.09027777777777778,0.1106631742706436,0.08276400998678562,0.5725190839694656,0.013888888888888888,0.015231420963594318,0.013927725680239431,0.5492957746478874,0.5512532227406419,0.030781287677839404,-1.1668271763220526,65.60895577532318,0.05000000000000002,1.4484578985692016,2.1472288069574197,0.1936829187349543,0.9305555555555556,0.09027777777777778,0.1097251204851979,0.08269914745218442,0.532002348796242,7.450454312746475,0.24040133538135006,0.34861678848017114,compact_adp,,0,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp,WR,432.0,1.7195468763769552,2.4039886535766755,-0.192789203013307,0.8078703703703703,0.5163129485197996,0.04519271032298233,19.238868335646046,27.638298709529213,0.3314735418069568,0.8055555555555556,0.4953905460719274,0.020702591694026273,0.16898148148148148,0.16875856081525645,0.14164057466823274,0.512267714732705,0.05324074074074074,0.06291901314401326,0.051671869510095066,0.4157542255766982,0.09722222222222222,0.11352302649695754,0.08484946881248501,0.6831501831501832,0.02546296296296296,0.02848970119133824,0.023885264648230736,0.7881667026560139,0.6010977149800167,0.025627870091039156,-0.6101160853328079,66.73966514782961,0.05000000000000002,1.4795142794682847,2.180572575596587,0.23904834736728714,0.8981481481481481,0.125,0.10159746876755898,0.10925537646597405,0.5902900254752107,6.861595148761815,0.27165981120707733,0.2864474676864242,compact_adp,,0,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp__r12,QB,144.0,2.594358177681522,3.6665098510577447,0.6614212858935268,0.7569444444444444,0.46944671796677656,0.12283316329665672,23.04653236682154,34.99933378373121,6.712326984685536,0.7777777777777778,0.4461880735834658,0.1293433596405964,0.22916666666666666,0.2060597567649154,0.17958545780996582,0.49413049413049415,0.0625,0.08964488601784694,0.06219480527890145,0.4148148148148148,0.13194444444444445,0.13365845160137313,0.11744246395482305,0.5073684210526316,0.04861111111111111,0.017652330005969705,0.04009407384551911,0.8498435870698644,0.4009388847452323,-0.1818141628486456,-4.844355744038373,67.62197178116108,0.05000000000000001,1.5395950490894856,2.387122189555678,0.4586546004231767,0.8888888888888888,0.1527777777777778,0.11812159434622657,0.10833977086906588,0.7060357675111774,8.240421199121764,0.19956402619533886,0.42148595486851914,compact_adp,12.0,1,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp__r12,RB,360.0,2.098160711495661,2.944480011516231,-0.009481626009725784,0.8138888888888889,0.5043371635325005,0.03385087408322718,23.187209374040236,33.01321729397713,-0.8380526636322521,0.8138888888888889,0.5084816973098351,0.02899001050107894,0.21388888888888888,0.20411626570248684,0.1703246504058343,0.4865770272130696,0.09722222222222222,0.10599137805465729,0.08845313455381319,0.5527912087912088,0.12777777777777777,0.12064496389513904,0.107012821511893,0.6829133204098587,0.044444444444444446,0.03840687672018051,0.04016217315367478,0.7276526162790697,0.6111513266440979,0.023851778691708014,-0.24008931170857106,63.89951441582624,0.05000000000000002,1.6704964103601248,2.53367150521709,0.009007170852979545,0.9194444444444444,0.1527777777777778,0.15217632064266876,0.12556528123407754,0.6315350223546945,6.049158281532408,0.3464179753444738,0.22424167694469752,compact_adp,12.0,1,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp__r12,TE,144.0,1.397469316193748,2.001266626162548,-0.11811652011577214,0.8333333333333334,0.5211933360545621,0.06595143705751749,15.991253604467184,23.021267691547646,-0.06910013995604675,0.8333333333333334,0.504949518938499,0.035893859966267976,0.11805555555555555,0.13484132961035136,0.10446860137266396,0.5613710050949514,0.041666666666666664,0.04343695795673108,0.03981185772246919,0.6038647342995169,0.09027777777777778,0.11129200544367003,0.08299693424672493,0.5672342924251321,0.013888888888888888,0.015661842757835345,0.013975332086394565,0.5404929577464789,0.5559916163891103,0.04117434289848083,-1.1860334737502702,61.45941995811765,0.05000000000000002,1.4466273871717361,2.1683269280253508,0.1093344997462106,0.9375,0.09027777777777778,0.1150691571390614,0.08300293977497523,0.5466823253082795,6.409682771169361,0.31716720626293093,0.2559722326748984,compact_adp,12.0,1,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp__r12,WR,432.0,1.718788301939857,2.404007164144947,-0.19285083378873416,0.8032407407407407,0.5151586463059044,0.04247092829904836,19.23656169333453,27.62411235857633,0.10380968292270111,0.7986111111111112,0.496755553424529,0.020575834189141717,0.16898148148148148,0.16678750053977062,0.14128721575173145,0.5124585034532758,0.05324074074074074,0.059122150069147804,0.051899289493997795,0.4025725523546295,0.09722222222222222,0.10930469660768895,0.08411705667253061,0.6963369963369963,0.02546296296296296,0.029096878929602936,0.0239279109334974,0.7879507665730944,0.6043659951618597,0.04109026694935185,-0.5344376134862628,62.25087643355682,0.05000000000000002,1.4755248404714592,2.182088238368308,0.2242965945861263,0.9027777777777778,0.125,0.10188704228651656,0.10905287529278318,0.5943562610229277,5.935604790396384,0.3465285372367693,0.207188817219885,compact_adp,12.0,1,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp_no_disagreement,QB,144.0,2.5971452720018777,3.6664009669892965,0.6611529002695673,0.75,0.4699465951327999,0.12858646742287883,23.12305302389486,35.05510882105695,7.158724945819326,0.7708333333333334,0.44131656435386657,0.13606976189130227,0.22916666666666666,0.2016560994975338,0.179401780595583,0.5017745017745018,0.0625,0.08206939081836039,0.06250909579511855,0.3662551440329218,0.13194444444444445,0.13272293202966043,0.11556657655994816,0.5621052631578948,0.04861111111111111,0.015945935073335346,0.041256019475112454,0.8023983315954119,0.4124940723393875,-0.14446185997910135,-4.671403169998392,67.05195794204336,0.05000000000000002,1.5624921712901643,2.4159927564943815,0.46295657059254175,0.9027777777777778,0.1527777777777778,0.11859494793313008,0.11085114316298238,0.7097615499254843,9.307416069419283,0.1372584264006587,0.52643995269151,compact_adp_no_disagreement,,0,"exp_interaction,market_gap,disagreement,room_hierarchy",8,10,8,8,34,42.5,34
compact_adp_no_disagreement,RB,360.0,2.0995411824468975,2.9443476516628113,-0.009181288988909091,0.8194444444444444,0.5057958767482185,0.037475492777287095,23.179787110441694,33.02632326964537,-0.5487275700783844,0.8111111111111111,0.5077827605320684,0.03430296752255446,0.21388888888888888,0.2023863056937652,0.17037549457013232,0.4763434445413244,0.09722222222222222,0.10875278583232685,0.08884499852315508,0.5335384615384615,0.12777777777777777,0.12066499189651438,0.10716635189373605,0.6788978122403766,0.044444444444444446,0.03967420321536655,0.040597382212957854,0.7323764534883721,0.6069911259912687,0.010748025319125403,-0.32315600099888236,67.95325857218525,0.05000000000000002,1.6780566939412558,2.54053211966657,0.019325761036261508,0.9166666666666666,0.1527777777777778,0.15227181856085312,0.1259363292322885,0.6256929955290611,7.027390462623698,0.2680005917063144,0.3103756915634136,compact_adp_no_disagreement,,0,"exp_interaction,market_gap,disagreement,room_hierarchy",8,10,8,8,34,42.5,34
