method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,variant,recency_half_life,uses_recency,removed_families,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count,feature_count_total,total_match_weight,complexity_score,selection_loss,max_position_composite_delta,max_position_metric_delta,position_guardrail_pass,aggregate_guardrail_pass,guardrail_pass,mean_loss_delta_to_best,paired_se_to_best,within_one_se,selected
no_exp_interaction__r12,1080.0,1.8751269805361126,2.619406416427509,-0.15822055221451223,0.8268518518518518,0.5192404582863887,0.04384441307819298,20.44065233267064,29.13393107486715,-0.488142847793987,0.8175925925925925,0.5069522671006016,0.03454597998826142,0.18333333333333332,0.18260911575373637,0.149256049752811,0.5545076616505188,0.075,0.08291952922617919,0.06979987451461474,0.5510077979213782,0.11574074074074074,0.12092843036244913,0.0976616626826273,0.6946261780104712,0.028703703703703703,0.028152735465998904,0.026932788858084197,0.7080783541929334,0.5613539192197524,-0.01533020290083696,-1.2054764179382278,61.87883348177808,0.050000000000000024,1.5113618319003275,2.2743340008133606,0.15250540792688055,0.912962962962963,0.1287037037037037,0.12323172438375352,0.10955368013583737,0.5980856122753232,5.2432819660959895,0.38455770847498627,0.13210956937775473,no_exp_interaction,12.0,1,exp_interaction,13,16,13,13,55,58.25,55,0.9987508333878433,-0.00044039812221274843,0.00074673258417568,True,True,True,0.0,0.0,1,1
no_exp_interaction,1080.0,1.8763943489059274,2.619518786761931,-0.15819226643789733,0.8287037037037037,0.5206181875873758,0.04667300131144292,20.444661814280845,29.165617625909235,-0.2670094614564511,0.812962962962963,0.5072072916696676,0.03436273859488104,0.18333333333333332,0.1814600245565818,0.14964873742920073,0.5461016056254151,0.075,0.0835398015010899,0.06989743961751317,0.5523301078856634,0.11574074074074074,0.12184285854732159,0.09791241251674981,0.6925151832460733,0.028703703703703703,0.02750712568797176,0.026840099049798106,0.719886835388542,0.5558497510287544,-0.029684477133849085,-1.2358349920014833,64.24441426251956,0.05000000000000002,1.5120678567493508,2.271076869963112,0.17003115899823815,0.9111111111111111,0.1287037037037037,0.12184987014356088,0.10956890229615428,0.5984449422396195,5.855163108853264,0.3176382072508463,0.17613857273649344,no_exp_interaction,,0,exp_interaction,13,16,13,13,55,58.25,55,0.9991966525560498,-0.0006796324294090494,0.00027683383007293116,True,True,True,0.000445819168206431,0.000551433348444834,1,0
no_receiver_team_pass__r12,1080.0,1.8764753843653883,2.6193635039401095,-0.15821278781985684,0.8296296296296296,0.5195246349853475,0.04268252167713493,20.443900863811184,29.12590334424462,-0.5226407580275279,0.8166666666666667,0.5074282004145815,0.03411636957221481,0.18333333333333332,0.18282276897761487,0.14958000131961646,0.5476190476190477,0.075,0.08330243352984697,0.06958357179784792,0.5632175385261805,0.11574074074074074,0.1202172722586231,0.09772915059185744,0.6943706806282722,0.028703703703703703,0.02836377926157758,0.026873940149155714,0.706202527753006,0.5635798047294995,-0.012329628769114741,-1.2186084239237378,59.76573266727443,0.05000000000000002,1.5106462787100732,2.2766621582333153,0.14360062683734176,0.9185185185185185,0.1287037037037037,0.12403401559893994,0.10920219839110622,0.6080168808630035,5.251320403582459,0.38171666669288346,0.13159666375358667,no_receiver_team_pass,12.0,1,receiver_team_pass,14,17,13,13,57,61.25,57,0.9988858094393495,0.00028174501120870055,0.0014488504749972098,True,True,True,0.00013497605150610754,0.00029181901150148793,1,0
no_disagreement__r12,1080.0,1.8757707682610325,2.6193889783912723,-0.15828462642784816,0.825925925925926,0.5194702980681855,0.044320360812650506,20.446311455099682,29.131649998271104,-0.5038311274898716,0.8148148148148148,0.5075769662203211,0.03549172536816203,0.18333333333333332,0.18164844496122484,0.14936782848904126,0.5516102063721111,0.075,0.08252229339747769,0.06964345328045056,0.5555431975185061,0.11574074074074074,0.12000164009349155,0.09786405188598717,0.6912251308900523,0.028703703703703703,0.02777088419713961,0.02685800282210972,0.7068483040683908,0.5592883772193128,-0.02477426487657977,-1.2237061019514308,59.34260572722015,0.050000000000000024,1.5129233389958028,2.275102762869269,0.15295989967636023,0.9148148148148149,0.1287037037037037,0.1234499358472558,0.10935545018629088,0.6035825961972187,5.305154904405613,0.37601049778124057,0.13524330803856627,no_disagreement,12.0,1,disagreement,12,15,12,12,51,57.25,51,0.9993010327794153,0.0002691814442317142,0.0007173172015335627,True,True,True,0.0005501993915718322,0.0005322664086539216,0,0
no_disagreement,1080.0,1.8769739169084183,2.619495353608259,-0.1582618238997035,0.8287037037037037,0.5206644165432568,0.04485487852348946,20.451585440589607,29.16948361390605,-0.27880217562693127,0.8185185185185185,0.5074655802776546,0.03561641543843308,0.18333333333333332,0.18080222797695372,0.1495160092003017,0.5490448704734419,0.075,0.0829082684466351,0.06995309241159745,0.5414426772451464,0.11574074074074074,0.12091949224906023,0.09815601868187475,0.6848418848167539,0.028703703703703703,0.02706267566778146,0.026925340351878907,0.6974384206156401,0.5574060461589135,-0.022403854370016886,-1.252641297901611,61.21459935324837,0.05000000000000003,1.5145656554574773,2.2723927463185554,0.17190969204421,0.9175925925925926,0.1287037037037037,0.1220311524054856,0.10939914427561087,0.6029556800892973,5.914806720596752,0.3099671168284236,0.17949691261474526,no_disagreement,,0,disagreement,12,15,12,12,51,57.25,51,0.999962094044553,0.00020648464933015198,0.0006599894433128028,True,True,True,0.0012112606567097114,0.0006423616181436947,0,0
no_market__r12,1080.0,1.877265139268677,2.619392281466577,-0.15834358550586886,0.825925925925926,0.5199674647887049,0.04314159325379424,20.45417703160568,29.118493382202068,-0.5544427295109072,0.8185185185185185,0.5073478264617937,0.03129670602762541,0.18333333333333332,0.18278206053946075,0.1497460032628386,0.544441008726723,0.075,0.08267523257777207,0.06991191970706499,0.543370531024852,0.11574074074074074,0.11987478980155522,0.09799211667326983,0.687882722513089,0.028703703703703703,0.027546768986334947,0.026792897122181,0.7147052492389064,0.5628802880705335,-0.015503013977206768,-1.2257124139782967,59.628626287851546,0.05000000000000002,1.515199353303904,2.2858192769803485,0.13874881762084088,0.9148148148148149,0.1287037037037037,0.12413262667108903,0.10957077910340339,0.5974128242570662,5.332657465759935,0.37128048936625696,0.13636650644355916,no_market,12.0,1,market_all,12,15,12,12,51,57.25,51,1.00019550643383,0.002499598535333103,0.005659925916640329,True,True,True,0.0014446730459864398,0.0007834515794215159,0,0
no_market,1080.0,1.8783826751428676,2.619490195581722,-0.15833304818766308,0.8277777777777777,0.5210970002551547,0.04454185678789818,20.45902796015553,29.15435384554576,-0.3363377842856915,0.8138888888888889,0.5076783472960208,0.03143184340537036,0.18333333333333332,0.1815597386487746,0.1497647025172049,0.5421619826381732,0.075,0.08323571253964536,0.07006043186323561,0.5418752085418752,0.11574074074074074,0.12062593250752543,0.09823477106613329,0.6844397905759162,0.028703703703703703,0.026915187997192638,0.02682239337928172,0.7135213259940343,0.5556470401384082,-0.025930806410727945,-1.2566696099488004,61.50311814193289,0.050000000000000024,1.5167613314753445,2.283480516767027,0.156923942155972,0.9138888888888889,0.1287037037037037,0.12263778381672108,0.10963835143645102,0.5970687849295484,5.939654323589356,0.3057862880794524,0.18065740006127023,no_market,,0,market_all,12,15,12,12,51,57.25,51,1.0008167875515843,0.0027314169419156986,0.006450336957674496,True,True,True,0.002065954163740782,0.0009307619686188265,0,0
no_adp_rank__r12,1080.0,1.8757827039632162,2.619358514616431,-0.15828872398102073,0.8277777777777777,0.5193460136999241,0.04217487021288174,20.44805864565656,29.129195430153953,-0.531400339680127,0.8138888888888889,0.507178092352705,0.03227760898859999,0.18333333333333332,0.18236846387853142,0.1495441948225281,0.5476763095810715,0.075,0.08249057908925181,0.06985190768614899,0.5460522250645707,0.11574074074074074,0.1198540398316741,0.09797586976559557,0.6875141361256545,0.028703703703703703,0.027603430403176605,0.026916728221863435,0.6991912420431132,0.5638574289609338,-0.011780407523973833,-1.2223042819295777,59.95287088702306,0.05000000000000002,1.5151014770859028,2.280434424951871,0.15209734663936963,0.9166666666666666,0.1287037037037037,0.12299268104585903,0.1094885925675164,0.5989113066613659,5.2780473969882005,0.3783580914720268,0.13305438070708334,no_adp_rank,12.0,1,adp_rank,13,16,13,13,55,60.25,55,0.9998109518095756,0.0027877672209557502,0.006706945034168577,True,True,True,0.0010601184217321191,0.0003996570153269254,0,0
no_market_gap__r12,1080.0,1.8762000648269055,2.619405245443225,-0.15832455927432557,0.8268518518518518,0.5196599421254422,0.04262819512279464,20.458498654987178,29.133195434533732,-0.5463991786262248,0.8166666666666667,0.5075101101229054,0.03396900849213169,0.18333333333333332,0.18247061337953963,0.14940569199375953,0.5534082319796606,0.075,0.08279945543331425,0.06992440221403863,0.5451130142488168,0.11574074074074074,0.12025034706461613,0.09781441069171733,0.6912,0.028703703703703703,0.027870782364456947,0.02680869945204812,0.7089701405332267,0.5593504112576095,-0.020297056724728556,-1.2225055867945858,59.551649715580886,0.050000000000000024,1.5157040803388218,2.283242253981511,0.14653206836399255,0.9157407407407407,0.1287037037037037,0.1237764157911778,0.10966677840966299,0.5976727650823018,5.3081540518470725,0.37461803303036817,0.1349624509969892,no_market_gap,12.0,1,market_gap,13,16,13,13,55,59.25,55,1.0001878209832482,0.0012634393133021948,0.0029893395027293934,True,True,True,0.0014369875954048225,0.0006907301194803678,0,0
no_adp_rank,1080.0,1.87712085840841,2.619458555149937,-0.15828040780383748,0.8296296296296296,0.5206205609222827,0.045653124470168116,20.455207548481383,29.165873734042112,-0.3094485650148136,0.8148148148148148,0.5071676047674741,0.03257445995475727,0.18333333333333332,0.18082310314191524,0.14959690642289694,0.5452369499988547,0.075,0.08304479643640676,0.06998433361113608,0.5441243712848651,0.11574074074074074,0.12070815744641981,0.09829736968064097,0.682730890052356,0.028703703703703703,0.0270467782010782,0.02690266293861469,0.6974999231218673,0.5576456373900561,-0.021964915569676887,-1.2526213223479716,61.98518076127072,0.050000000000000024,1.5167830619741962,2.2784659558951508,0.17030686860006874,0.9157407407407407,0.1287037037037037,0.12162702456312971,0.1095683559468183,0.5986513658361302,5.8847518257587,0.3124075766854966,0.1769216448365086,no_adp_rank,,0,adp_rank,13,16,13,13,55,60.25,55,1.0005351874690094,0.003064600414223184,0.00725429106839659,True,True,True,0.0017843540811659801,0.0007375191600999592,0,0
