method,variant,recency_half_life,uses_recency,removed_families,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count,feature_count_total,total_match_weight,complexity_score
full,full,,0,,14,17,14,14,59,62.25,59
full__r12,full,12.0,1,,14,17,14,14,59,62.25,59
no_exp_interaction,no_exp_interaction,,0,exp_interaction,13,16,13,13,55,58.25,55
no_exp_interaction__r12,no_exp_interaction,12.0,1,exp_interaction,13,16,13,13,55,58.25,55
no_adp_rank,no_adp_rank,,0,adp_rank,13,16,13,13,55,60.25,55
no_adp_rank__r12,no_adp_rank,12.0,1,adp_rank,13,16,13,13,55,60.25,55
no_market_gap,no_market_gap,,0,market_gap,13,16,13,13,55,59.25,55
no_market_gap__r12,no_market_gap,12.0,1,market_gap,13,16,13,13,55,59.25,55
no_market,no_market,,0,market_all,12,15,12,12,51,57.25,51
no_market__r12,no_market,12.0,1,market_all,12,15,12,12,51,57.25,51
no_disagreement,no_disagreement,,0,disagreement,12,15,12,12,51,57.25,51
no_disagreement__r12,no_disagreement,12.0,1,disagreement,12,15,12,12,51,57.25,51
no_component_ranks,no_component_ranks,,0,component_ranks,12,15,13,13,53,56.25,53
no_component_ranks__r12,no_component_ranks,12.0,1,component_ranks,12,15,13,13,53,56.25,53
compact_room_hierarchy,compact_room_hierarchy,,0,room_hierarchy,12,14,12,12,50,54.5,50
compact_room_hierarchy__r12,compact_room_hierarchy,12.0,1,room_hierarchy,12,14,12,12,50,54.5,50
no_concentration,no_concentration,,0,concentration,14,16,13,13,56,60.75,56
no_concentration__r12,no_concentration,12.0,1,concentration,14,16,13,13,56,60.75,56
no_receiver_team_pass,no_receiver_team_pass,,0,receiver_team_pass,14,17,13,13,57,61.25,57
no_receiver_team_pass__r12,no_receiver_team_pass,12.0,1,receiver_team_pass,14,17,13,13,57,61.25,57
compact_adp,compact_adp,,0,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_adp__r12,compact_adp,12.0,1,"exp_interaction,market_gap,room_hierarchy",10,12,10,10,42,47.5,42
compact_gap,compact_gap,,0,"exp_interaction,adp_rank,room_hierarchy",10,12,10,10,42,48.5,42
compact_gap__r12,compact_gap,12.0,1,"exp_interaction,adp_rank,room_hierarchy",10,12,10,10,42,48.5,42
compact_adp_no_disagreement,compact_adp_no_disagreement,,0,"exp_interaction,market_gap,disagreement,room_hierarchy",8,10,8,8,34,42.5,34
compact_adp_no_disagreement__r12,compact_adp_no_disagreement,12.0,1,"exp_interaction,market_gap,disagreement,room_hierarchy",8,10,8,8,34,42.5,34
role_core_adp,role_core_adp,,0,"exp_interaction,market_gap,disagreement,component_ranks,room_hierarchy,receiver_team_pass",6,8,6,6,26,35.5,26
role_core_adp__r12,role_core_adp,12.0,1,"exp_interaction,market_gap,disagreement,component_ranks,room_hierarchy,receiver_team_pass",6,8,6,6,26,35.5,26
protected_core,protected_core,,0,"exp_interaction,market_all,disagreement,component_ranks,room_hierarchy,concentration,receiver_team_pass",5,6,4,4,19,32.0,19
protected_core__r12,protected_core,12.0,1,"exp_interaction,market_all,disagreement,component_ranks,room_hierarchy,concentration,receiver_team_pass",5,6,4,4,19,32.0,19
