variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
incumbent,random_forest,position,WR,1503,9,2.7146975863807308
incumbent,random_forest,history_depth,other_no_history,23,7,2.220961134407403
incumbent,random_forest,history_depth,rookie,518,9,3.232625601982514
incumbent,random_forest,history_depth,second_year,558,9,2.9371007449221267
incumbent,random_forest,history_depth,veteran_with_history,2523,9,2.81677376853826
incumbent,random_forest_full_columns,pooled,all,3622,9,2.9079617471989865
incumbent,random_forest_full_columns,recent,2023_2025,1226,3,2.920171336598099
incumbent,random_forest_full_columns,season,2017,402,1,2.8843258426504623
incumbent,random_forest_full_columns,season,2018,365,1,3.002672484403495
incumbent,random_forest_full_columns,season,2019,385,1,2.929792181418317
incumbent,random_forest_full_columns,season,2020,409,1,3.122227637271187
incumbent,random_forest_full_columns,season,2021,413,1,2.8077743581218284
incumbent,random_forest_full_columns,season,2022,422,1,2.6622627397511636
incumbent,random_forest_full_columns,season,2023,404,1,2.97787764637554
incumbent,random_forest_full_columns,season,2024,406,1,3.0080953423743257
incumbent,random_forest_full_columns,season,2025,416,1,2.772752548730457
incumbent,random_forest_full_columns,position,QB,306,8,4.096476972928783
incumbent,random_forest_full_columns,position,RB,1011,9,3.314992791318136
incumbent,random_forest_full_columns,position,TE,802,9,2.038007560951929
incumbent,random_forest_full_columns,position,WR,1503,9,2.711737138606649
incumbent,random_forest_full_columns,history_depth,other_no_history,23,7,2.1593334434996647
incumbent,random_forest_full_columns,history_depth,rookie,518,9,3.228465923984292
incumbent,random_forest_full_columns,history_depth,second_year,558,9,2.94011294741344
incumbent,random_forest_full_columns,history_depth,veteran_with_history,2523,9,2.836449163568967
rank_gap,controlled_equal_thirds,pooled,all,3622,9,2.88539751502927
rank_gap,controlled_equal_thirds,recent,2023_2025,1226,3,2.896475430409856
rank_gap,controlled_equal_thirds,season,2017,402,1,2.8690457667684757
rank_gap,controlled_equal_thirds,season,2018,365,1,3.014826366784543
rank_gap,controlled_equal_thirds,season,2019,385,1,2.907945150799343
rank_gap,controlled_equal_thirds,season,2020,409,1,3.0912755895550066
rank_gap,controlled_equal_thirds,season,2021,413,1,2.796307007873625
rank_gap,controlled_equal_thirds,season,2022,422,1,2.598503077071532
rank_gap,controlled_equal_thirds,season,2023,404,1,2.9639624049346156
rank_gap,controlled_equal_thirds,season,2024,406,1,2.977521375853256
rank_gap,controlled_equal_thirds,season,2025,416,1,2.7460618454809222
rank_gap,controlled_equal_thirds,position,QB,306,8,3.9934141919117967
rank_gap,controlled_equal_thirds,position,RB,1011,9,3.3009434929673858
rank_gap,controlled_equal_thirds,position,TE,802,9,1.9975124999368707
rank_gap,controlled_equal_thirds,position,WR,1503,9,2.7125575302877856
rank_gap,controlled_equal_thirds,history_depth,other_no_history,23,7,2.2107069868086078
rank_gap,controlled_equal_thirds,history_depth,rookie,518,9,3.2362018237307644
rank_gap,controlled_equal_thirds,history_depth,second_year,558,9,2.931598153125874
rank_gap,controlled_equal_thirds,history_depth,veteran_with_history,2523,9,2.8029489047002856
rank_gap,equal_thirds,pooled,all,3622,9,2.884523858672732
rank_gap,equal_thirds,recent,2023_2025,1226,3,2.894124292898054
rank_gap,equal_thirds,season,2017,402,1,2.874312995805788
rank_gap,equal_thirds,season,2018,365,1,3.0168384820314893
rank_gap,equal_thirds,season,2019,385,1,2.906755996267546
rank_gap,equal_thirds,season,2020,409,1,3.0916538862680376
rank_gap,equal_thirds,season,2021,413,1,2.789757391481179
rank_gap,equal_thirds,season,2022,422,1,2.5978910641754203
rank_gap,equal_thirds,season,2023,404,1,2.96515258509712
rank_gap,equal_thirds,season,2024,406,1,2.9765594638577273
rank_gap,equal_thirds,season,2025,416,1,2.73851577286504
rank_gap,equal_thirds,position,QB,306,8,3.99129719688315
rank_gap,equal_thirds,position,RB,1011,9,3.296016105700369
rank_gap,equal_thirds,position,TE,802,9,1.9993735676010311
rank_gap,equal_thirds,position,WR,1503,9,2.7142508974910053
rank_gap,equal_thirds,history_depth,other_no_history,23,7,2.2251165878604033
rank_gap,equal_thirds,history_depth,rookie,518,9,3.2400274748587212
rank_gap,equal_thirds,history_depth,second_year,558,9,2.929815964506371
rank_gap,equal_thirds,history_depth,veteran_with_history,2523,9,2.801058145106838
rank_gap,lasso,pooled,all,3622,9,2.9487559840329447
rank_gap,lasso,recent,2023_2025,1226,3,2.9604160614937363
rank_gap,lasso,season,2017,402,1,2.9428357925214494
rank_gap,lasso,season,2018,365,1,3.109275437141126
rank_gap,lasso,season,2019,385,1,3.0377761227827333
rank_gap,lasso,season,2020,409,1,3.118533645431916
rank_gap,lasso,season,2021,413,1,2.8512114459894318
rank_gap,lasso,season,2022,422,1,2.599281739113328
rank_gap,lasso,season,2023,404,1,3.003316393259885
rank_gap,lasso,season,2024,406,1,2.9985414899744116
rank_gap,lasso,season,2025,416,1,2.879908117934824
rank_gap,lasso,position,QB,306,8,4.1622676794274325
rank_gap,lasso,position,RB,1011,9,3.347292221725421
rank_gap,lasso,position,TE,802,9,2.0407009192321968
rank_gap,lasso,position,WR,1503,9,2.769124197715623
rank_gap,lasso,history_depth,other_no_history,23,7,2.2525666632327135
rank_gap,lasso,history_depth,rookie,518,9,3.326142248155344
