season,etr_ranked_players,leave_etr_out_comparable_players,mean_all_minus_without_etr,median_absolute_all_minus_without_etr,maximum_absolute_all_minus_without_etr
2024,236,236,-0.07115330519866975,0.06865027263392026,0.30729166666666663
2025,238,238,-0.040017969789784225,0.03430009883864593,0.22884715701617114
2026,243,242,-0.048442160001355844,0.03594854070660519,0.286875
