method,primary,added_total_weight,added_features,weight_match_actual_rb_red_zone_carry_room_share_profile,weight_match_actual_rb_goal_line_carry_room_share_profile,weight_match_actual_rb_third_fourth_target_room_share_profile
production,0,0.0,,0.0,0.0,0.0
rb_scoring_role_w050,0,0.5,"match_actual_rb_red_zone_carry_room_share_profile,match_actual_rb_goal_line_carry_room_share_profile",0.25,0.25,0.0
rb_passing_down_w050,0,0.5,match_actual_rb_third_fourth_target_room_share_profile,0.0,0.0,0.5
rb_dual_role_w050,1,0.5,"match_actual_rb_goal_line_carry_room_share_profile,match_actual_rb_third_fourth_target_room_share_profile",0.0,0.25,0.25
rb_dual_role_w100,0,1.0,"match_actual_rb_goal_line_carry_room_share_profile,match_actual_rb_third_fourth_target_room_share_profile",0.0,0.5,0.5
