period,candidate,baseline,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
development_2017_2022,beta_context_only,production_hybrid,score_crps,576,4,-0.6351912155385233,-2.2054382802884076,0.9350558492113608,0.7776
development_2017_2022,beta_context_only,production_hybrid,zero_player_weeks_crps,576,4,-0.1423724256915811,-0.2905122262460215,-0.014284251648702704,0.9822
development_2017_2022,beta_context_only,production_hybrid,zero_active_players_crps,576,4,0.0013471532751012725,-0.0031447940402560756,0.005839100590458621,0.2598
development_2017_2022,beta_scored_full,production_hybrid,score_crps,576,4,0.8241845155364751,-0.4956495702168975,2.1440186012898477,0.0612
development_2017_2022,beta_scored_full,production_hybrid,zero_player_weeks_crps,576,4,0.051979406380358965,-0.10140856990107804,0.17184654282934866,0.2476
development_2017_2022,beta_scored_full,production_hybrid,zero_active_players_crps,576,4,0.00022356009777681218,-0.005781279669867624,0.006192336847752699,0.3816
development_2017_2022,beta_scored_v2_era,production_hybrid,score_crps,576,4,2.60981863113925,-2.829341749620429,8.048979011898929,0.1928
development_2017_2022,beta_scored_v2_era,production_hybrid,zero_player_weeks_crps,576,4,-0.27693730813485606,-0.6974189193160445,0.14354430304633242,0.8618
development_2017_2022,beta_scored_v2_era,production_hybrid,zero_active_players_crps,576,4,0.01356022446243851,-0.001702579451195986,0.028823028376073007,0.0588
temporal_2023_2025,beta_context_only,production_hybrid,score_crps,432,3,0.23777515051786843,-0.04749123260585719,0.6325705203883063,0.0356
temporal_2023_2025,beta_context_only,production_hybrid,zero_player_weeks_crps,432,3,0.011665579713421054,-0.13434657344111697,0.17498068161952637,0.4038
temporal_2023_2025,beta_context_only,production_hybrid,zero_active_players_crps,432,3,0.0041638441046569575,-0.001792154194396215,0.009707132975260414,0.0342
temporal_2023_2025,beta_scored_full,production_hybrid,score_crps,432,3,0.34043569726785067,0.052683772559469856,0.5050909020880502,0.0
temporal_2023_2025,beta_scored_full,production_hybrid,zero_player_weeks_crps,432,3,-0.06480585106115781,-0.10394569679542826,-0.013296951482325563,1.0
temporal_2023_2025,beta_scored_full,production_hybrid,zero_active_players_crps,432,3,0.003325065958156507,9.27772051022792e-06,0.0054397583007812465,0.0
temporal_2023_2025,beta_scored_v2_era,production_hybrid,score_crps,432,3,0.45928593003478607,-0.14278273187853546,1.362660109007984,0.1484
temporal_2023_2025,beta_scored_v2_era,production_hybrid,zero_player_weeks_crps,432,3,0.18890999374075676,-0.09948961234387053,0.4793538223078219,0.1468
temporal_2023_2025,beta_scored_v2_era,production_hybrid,zero_active_players_crps,432,3,0.008484169288917823,0.006328535668643904,0.009891368724681713,0.0
