period,matcher,n,score_crps,score_bias,score_coverage_80,mean_interval_width,zero_player_weeks_crps,zero_player_weeks_bias,zero_active_players_crps
all_2017_2025,beta_context_only,1008,90.27375877603998,-11.403338598826576,0.75,373.65704322693836,8.168104356769112,-2.2977843915343916,0.21565022544255333
all_2017_2025,beta_scored_full,1008,91.15168514240423,-10.551696414039249,0.7529761904761905,374.84871954539466,8.246389076192541,-2.96854332010582,0.21464869584986773
all_2017_2025,beta_scored_v2_era,1008,92.22298330822025,-21.012024531288752,0.753968253968254,373.11190519787016,8.167172029956097,-0.21600890790343924,0.2244806912000007
all_2017_2025,production_hybrid,1008,90.5348215489829,-6.034637330070375,0.7410714285714286,375.3868518163288,8.244460494429976,-2.9004991319444446,0.21309591895478533
development_2017_2022,beta_context_only,576,90.43303513530654,-8.352785958184135,0.75,373.37107471889914,8.482879827051988,-5.6450376157407405,0.19851945947717736
development_2017_2022,beta_scored_full,576,91.89241086638154,-8.536994086371529,0.7534722222222222,376.80480836232505,8.677231659123926,-6.324110243055555,0.1973958662998529
development_2017_2022,beta_scored_v2_era,576,93.67804498198431,-22.424288431803387,0.7569444444444444,375.9999059041341,8.348314944608711,-3.2039116753472228,0.21073253066451458
development_2017_2022,production_hybrid,576,91.06822635084505,-2.027052561442057,0.7465277777777778,377.3781840854221,8.625252252743568,-6.200597692418982,0.19717230620207613
recent_2020_2025,beta_context_only,864,90.4378551101061,-1.6850485625090423,0.7476851851851852,372.20980279710557,8.332777368678968,-2.3194595148533956,0.21075730657381284
recent_2020_2025,beta_scored_full,864,91.13033416406577,-0.3876123781557436,0.7511574074074074,373.5387922216345,8.408534493465973,-3.0084786120756175,0.20983065695429046
recent_2020_2025,beta_scored_v2_era,864,91.10005853934129,-8.658569759792751,0.7523148148148148,370.9054750089292,8.267722769529241,-0.36277488425925924,0.21619138992372364
recent_2020_2025,production_hybrid,864,90.77993544126447,3.8497259351942272,0.7349537037037037,373.35215266192404,8.426698386423872,-2.99461383584105,0.20898408458066087
temporal_2023_2025,beta_context_only,432,90.06139029701788,-15.470742119683159,0.75,374.0383345709906,7.748403729725276,2.165219907407407,0.23849124672972127
temporal_2023_2025,beta_scored_full,432,90.16405084376785,-13.237966184262875,0.7523148148148148,372.2406011228208,7.671932298950697,1.5055459104938276,0.2376524685832208
temporal_2023_2025,beta_scored_v2_era,432,90.28290107653481,-19.129005997269243,0.75,369.26123758951826,7.925648143752612,3.7678614486882713,0.24281157191398212
temporal_2023_2025,production_hybrid,432,89.8236151465,-11.378083688241464,0.7337962962962963,372.7317421242043,7.736738150011855,1.4996322820216048,0.2343274026250643
