arm,templates,projection_context_rows,legacy_oos_centers,dk_preseason_fallback_centers,beta_expert_fallback_centers,scoring_context_unavailable_rows,template_eligible_rows,missing_active_match_features
production_hybrid,5298,0,2696,2602,0,0,5297,0
beta_context_only,5298,5298,2696,2602,0,39,5258,0
beta_scored_full,5298,5298,2696,0,2602,39,5258,0
beta_scored_v2_era,2696,2696,2696,0,0,39,2656,0
