scope,method,severity,probability_bin,n,predicted_rate,observed_rate
all,wr_ppg225_both025,q90,3,264,0.0011953498731354039,0.011363636363636364
all,wr_ppg225_both025,q90,4,265,0.008496500417126391,0.011320754716981131
all,wr_ppg225_both025,q90,5,265,0.014399298899928708,0.01509433962264151
all,wr_ppg225_both025,q90,6,264,0.023542358156903493,0.056818181818181816
all,wr_ppg225_both025,q90,7,265,0.0374651450335083,0.045283018867924525
all,wr_ppg225_both025,q90,8,264,0.05779766949363344,0.14772727272727273
all,wr_ppg225_both025,q90,9,265,0.0792656504877626,0.18490566037735848
all,wr_ppg225_both025,q90,10,265,0.13331667649576856,0.21509433962264152
all,wr_ppg225_both025,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_both025,q95,2,265,0.0,0.0037735849056603774
all,wr_ppg225_both025,q95,3,264,0.0,0.0
all,wr_ppg225_both025,q95,4,265,0.0,0.0037735849056603774
all,wr_ppg225_both025,q95,5,265,0.0005198259633181459,0.0
all,wr_ppg225_both025,q95,6,264,0.007705885444070614,0.003787878787878788
all,wr_ppg225_both025,q95,7,265,0.01286337775673678,0.01509433962264151
all,wr_ppg225_both025,q95,8,264,0.024543632121543927,0.03787878787878788
all,wr_ppg225_both025,q95,9,265,0.049526109757819,0.1169811320754717
all,wr_ppg225_both025,q95,10,265,0.11151795131753268,0.21132075471698114
all,wr_ppg225_tdrate050,q90,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050,q90,2,265,0.0,0.0
all,wr_ppg225_tdrate050,q90,3,264,0.0014141412251380977,0.011363636363636364
all,wr_ppg225_tdrate050,q90,4,265,0.008455565221329326,0.01509433962264151
all,wr_ppg225_tdrate050,q90,5,265,0.01423458157912559,0.011320754716981131
all,wr_ppg225_tdrate050,q90,6,264,0.023670330003499225,0.041666666666666664
all,wr_ppg225_tdrate050,q90,7,265,0.0375628389619554,0.06792452830188679
all,wr_ppg225_tdrate050,q90,8,264,0.05737445711578544,0.14772727272727273
all,wr_ppg225_tdrate050,q90,9,265,0.07911214614615364,0.18867924528301888
all,wr_ppg225_tdrate050,q90,10,265,0.13314838069657844,0.2037735849056604
all,wr_ppg225_tdrate050,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050,q95,2,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050,q95,3,264,0.0,0.0
all,wr_ppg225_tdrate050,q95,4,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050,q95,5,265,0.0005607806822889678,0.0037735849056603774
all,wr_ppg225_tdrate050,q95,6,264,0.00768454390128511,0.003787878787878788
all,wr_ppg225_tdrate050,q95,7,265,0.012878671026313113,0.01509433962264151
all,wr_ppg225_tdrate050,q95,8,264,0.02483808298027963,0.041666666666666664
all,wr_ppg225_tdrate050,q95,9,265,0.04938124970916084,0.10566037735849057
all,wr_ppg225_tdrate050,q95,10,265,0.11172141771745958,0.21509433962264152
all,wr_ppg225_tdrate050__te_ypr050,q90,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050__te_ypr050,q90,2,265,0.0,0.0
all,wr_ppg225_tdrate050__te_ypr050,q90,3,264,0.0012700029098937319,0.011363636363636364
all,wr_ppg225_tdrate050__te_ypr050,q90,4,265,0.008374094499570429,0.01509433962264151
all,wr_ppg225_tdrate050__te_ypr050,q90,5,265,0.014210253335030459,0.01509433962264151
all,wr_ppg225_tdrate050__te_ypr050,q90,6,264,0.02378914038862034,0.041666666666666664
all,wr_ppg225_tdrate050__te_ypr050,q90,7,265,0.03758015265708228,0.07169811320754717
all,wr_ppg225_tdrate050__te_ypr050,q90,8,264,0.05709943165758196,0.13636363636363635
all,wr_ppg225_tdrate050__te_ypr050,q90,9,265,0.07891846420019406,0.19245283018867926
all,wr_ppg225_tdrate050__te_ypr050,q90,10,265,0.13323363199103214,0.2037735849056604
all,wr_ppg225_tdrate050__te_ypr050,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050__te_ypr050,q95,2,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050__te_ypr050,q95,3,264,0.0,0.0
all,wr_ppg225_tdrate050__te_ypr050,q95,4,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050__te_ypr050,q95,5,265,0.00045924911088383353,0.0037735849056603774
all,wr_ppg225_tdrate050__te_ypr050,q95,6,264,0.0077122452173604104,0.003787878787878788
all,wr_ppg225_tdrate050__te_ypr050,q95,7,265,0.012783628969202467,0.01509433962264151
all,wr_ppg225_tdrate050__te_ypr050,q95,8,264,0.024753435293523585,0.041666666666666664
all,wr_ppg225_tdrate050__te_ypr050,q95,9,265,0.049244393704263305,0.10566037735849057
all,wr_ppg225_tdrate050__te_ypr050,q95,10,265,0.11174689411785006,0.21509433962264152
core,flatter_w025_all,q90,1,108,0.010359743450869145,0.037037037037037035
core,flatter_w025_all,q90,2,108,0.02554243260485909,0.07407407407407407
core,flatter_w025_all,q90,3,108,0.03790715007046485,0.1111111111111111
core,flatter_w025_all,q90,4,108,0.04894057994073555,0.1111111111111111
core,flatter_w025_all,q90,5,108,0.059621197139460444,0.2037037037037037
core,flatter_w025_all,q90,6,108,0.06891459712416681,0.19444444444444445
core,flatter_w025_all,q90,7,108,0.07798631325878917,0.18518518518518517
core,flatter_w025_all,q90,8,108,0.09114584832179233,0.24074074074074073
core,flatter_w025_all,q90,9,108,0.1094070117710878,0.14814814814814814
core,flatter_w025_all,q90,10,108,0.16584236082748396,0.25925925925925924
core,flatter_w025_all,q95,1,108,0.0,0.009259259259259259
core,flatter_w025_all,q95,2,108,0.001989500437302404,0.009259259259259259
core,flatter_w025_all,q95,3,108,0.010672375060750812,0.018518518518518517
core,flatter_w025_all,q95,4,108,0.016586467083273677,0.037037037037037035
core,flatter_w025_all,q95,5,108,0.025012256923986835,0.07407407407407407
core,flatter_w025_all,q95,6,108,0.03657000189850212,0.08333333333333333
core,flatter_w025_all,q95,7,108,0.049890279117780996,0.1111111111111111
core,flatter_w025_all,q95,8,108,0.0655510030092186,0.16666666666666666
core,flatter_w025_all,q95,9,108,0.08592122175119597,0.2037037037037037
core,flatter_w025_all,q95,10,108,0.1487119876273786,0.24074074074074073
core,production,q90,1,108,0.008996857776696456,0.037037037037037035
core,production,q90,2,108,0.02452335850146671,0.06481481481481481
core,production,q90,3,108,0.03620419763644237,0.12037037037037036
core,production,q90,4,108,0.04732817609926103,0.1388888888888889
core,production,q90,5,108,0.05877598470933762,0.18518518518518517
core,production,q90,6,108,0.0680713890535381,0.19444444444444445
core,production,q90,7,108,0.07891525038161007,0.16666666666666666
core,production,q90,8,108,0.09179078157946752,0.26851851851851855
core,production,q90,9,108,0.11170298135475364,0.1388888888888889
core,production,q90,10,108,0.17109382633347656,0.25
core,production,q95,1,108,0.0,0.009259259259259259
core,production,q95,2,108,0.0015648639547645388,0.009259259259259259
core,production,q95,3,108,0.008929120582767593,0.009259259259259259
core,production,q95,4,108,0.014970976354770446,0.05555555555555555
core,production,q95,5,108,0.023626894103116164,0.05555555555555555
core,production,q95,6,108,0.035175101588945934,0.10185185185185185
core,production,q95,7,108,0.04955320819866901,0.12037037037037036
core,production,q95,8,108,0.06617118601167371,0.12962962962962962
core,production,q95,9,108,0.0886513792744336,0.25925925925925924
core,production,q95,10,108,0.15377615225669164,0.2037037037037037
core,te_ypr050,q90,1,108,0.009061167711114858,0.037037037037037035
core,te_ypr050,q90,2,108,0.024404000154460228,0.07407407407407407
core,te_ypr050,q90,3,108,0.036286463362474666,0.10185185185185185
core,te_ypr050,q90,4,108,0.04706469873150456,0.14814814814814814
core,te_ypr050,q90,5,108,0.058478023663030225,0.16666666666666666
core,te_ypr050,q90,6,108,0.06744257296216193,0.18518518518518517
core,te_ypr050,q90,7,108,0.07872429840087919,0.19444444444444445
core,te_ypr050,q90,8,108,0.09202588063408525,0.26851851851851855
core,te_ypr050,q90,9,108,0.11184232407549786,0.14814814814814814
core,te_ypr050,q90,10,108,0.17100836401423686,0.24074074074074073
core,te_ypr050,q95,1,108,0.0,0.009259259259259259
core,te_ypr050,q95,2,108,0.0015128054007269298,0.009259259259259259
core,te_ypr050,q95,3,108,0.008953802283202875,0.009259259259259259
core,te_ypr050,q95,4,108,0.014696703013322703,0.05555555555555555
core,te_ypr050,q95,5,108,0.02345056787700283,0.06481481481481481
core,te_ypr050,q95,6,108,0.035068344577893006,0.10185185185185185
core,te_ypr050,q95,7,108,0.04937449566523466,0.1111111111111111
core,te_ypr050,q95,8,108,0.06598120178898668,0.1388888888888889
core,te_ypr050,q95,9,108,0.08881913839340362,0.25
core,te_ypr050,q95,10,108,0.1536972185505529,0.2037037037037037
core,wr_ppg225_both025,q90,1,108,0.00845198242231977,0.037037037037037035
core,wr_ppg225_both025,q90,2,108,0.024214000326429504,0.1111111111111111
core,wr_ppg225_both025,q90,3,108,0.03615201968301012,0.07407407407407407
core,wr_ppg225_both025,q90,4,108,0.0482287543788607,0.12962962962962962
core,wr_ppg225_both025,q90,5,108,0.059086592089794276,0.2222222222222222
core,wr_ppg225_both025,q90,6,108,0.06860235374836358,0.1388888888888889
core,wr_ppg225_both025,q90,7,108,0.0792367758798307,0.17592592592592593
core,wr_ppg225_both025,q90,8,108,0.09197262108613433,0.2777777777777778
core,wr_ppg225_both025,q90,9,108,0.1119114009692656,0.14814814814814814
core,wr_ppg225_both025,q90,10,108,0.17108381087941205,0.25
core,wr_ppg225_both025,q95,1,108,0.0,0.009259259259259259
core,wr_ppg225_both025,q95,2,108,0.0012762727591660453,0.009259259259259259
core,wr_ppg225_both025,q95,3,108,0.008996863340351713,0.009259259259259259
core,wr_ppg225_both025,q95,4,108,0.015518001452881527,0.037037037037037035
core,wr_ppg225_both025,q95,5,108,0.024221536753140455,0.046296296296296294
core,wr_ppg225_both025,q95,6,108,0.035713062176277066,0.12037037037037036
core,wr_ppg225_both025,q95,7,108,0.049198767298792856,0.12962962962962962
core,wr_ppg225_both025,q95,8,108,0.06538671421514902,0.1388888888888889
core,wr_ppg225_both025,q95,9,108,0.08772483629521527,0.25925925925925924
core,wr_ppg225_both025,q95,10,108,0.1538234175542179,0.19444444444444445
core,wr_ppg225_tdrate050,q90,1,108,0.008690977592258555,0.037037037037037035
core,wr_ppg225_tdrate050,q90,2,108,0.024545358863938042,0.09259259259259259
core,wr_ppg225_tdrate050,q90,3,108,0.03640652672502182,0.08333333333333333
core,wr_ppg225_tdrate050,q90,4,108,0.04811707961936933,0.16666666666666666
core,wr_ppg225_tdrate050,q90,5,108,0.058383457685311634,0.18518518518518517
core,wr_ppg225_tdrate050,q90,6,108,0.06831851830366004,0.14814814814814814
core,wr_ppg225_tdrate050,q90,7,108,0.07902563595952973,0.16666666666666666
core,wr_ppg225_tdrate050,q90,8,108,0.09174745666391575,0.3055555555555556
core,wr_ppg225_tdrate050,q90,9,108,0.11159617355405622,0.12962962962962962
core,wr_ppg225_tdrate050,q90,10,108,0.17107627923481328,0.25
core,wr_ppg225_tdrate050,q95,1,108,0.0,0.009259259259259259
core,wr_ppg225_tdrate050,q95,2,108,0.0014518424440644112,0.009259259259259259
core,wr_ppg225_tdrate050,q95,3,108,0.009211882550162618,0.027777777777777776
core,wr_ppg225_tdrate050,q95,4,108,0.01566261022096485,0.018518518518518517
core,wr_ppg225_tdrate050,q95,5,108,0.024894449417611868,0.05555555555555555
core,wr_ppg225_tdrate050,q95,6,108,0.03566993510076687,0.12037037037037036
core,wr_ppg225_tdrate050,q95,7,108,0.04914486651166254,0.1388888888888889
core,wr_ppg225_tdrate050,q95,8,108,0.06538445282561799,0.12037037037037036
core,wr_ppg225_tdrate050,q95,9,108,0.08796352672381609,0.25
core,wr_ppg225_tdrate050,q95,10,108,0.15389962050212236,0.2037037037037037
core,wr_ppg225_tdrate050__te_ypr050,q90,1,108,0.00875485484620362,0.037037037037037035
core,wr_ppg225_tdrate050__te_ypr050,q90,2,108,0.024426433197404902,0.10185185185185185
core,wr_ppg225_tdrate050__te_ypr050,q90,3,108,0.03649411878149445,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q90,4,108,0.047846901368528864,0.17592592592592593
core,wr_ppg225_tdrate050__te_ypr050,q90,5,108,0.05810838549571704,0.16666666666666666
core,wr_ppg225_tdrate050__te_ypr050,q90,6,108,0.06760050726984998,0.14814814814814814
core,wr_ppg225_tdrate050__te_ypr050,q90,7,108,0.07887373424305959,0.19444444444444445
core,wr_ppg225_tdrate050__te_ypr050,q90,8,108,0.0920004173281417,0.2962962962962963
core,wr_ppg225_tdrate050__te_ypr050,q90,9,108,0.11175020080585985,0.1388888888888889
core,wr_ppg225_tdrate050__te_ypr050,q90,10,108,0.17098690114901002,0.24074074074074073
core,wr_ppg225_tdrate050__te_ypr050,q95,1,108,0.0,0.009259259259259259
core,wr_ppg225_tdrate050__te_ypr050,q95,2,108,0.0013997838900268024,0.009259259259259259
core,wr_ppg225_tdrate050__te_ypr050,q95,3,108,0.009203277442283244,0.018518518518518517
core,wr_ppg225_tdrate050__te_ypr050,q95,4,108,0.015402252943927141,0.027777777777777776
core,wr_ppg225_tdrate050__te_ypr050,q95,5,108,0.024716620692844807,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q95,6,108,0.03558462260558537,0.12037037037037036
core,wr_ppg225_tdrate050__te_ypr050,q95,7,108,0.04902500297630247,0.12962962962962962
core,wr_ppg225_tdrate050__te_ypr050,q95,8,108,0.06512623315228282,0.12037037037037036
core,wr_ppg225_tdrate050__te_ypr050,q95,9,108,0.08814010102204686,0.25
core,wr_ppg225_tdrate050__te_ypr050,q95,10,108,0.15382068679598357,0.2037037037037037
