scope,method,severity,probability_bin,n,predicted_rate,observed_rate
all,flatter_w025_all,q90,1,265,0.0,0.007547169811320755
all,flatter_w025_all,q90,2,265,0.0,0.0
all,flatter_w025_all,q90,3,264,0.0019717398213092313,0.007575757575757576
all,flatter_w025_all,q90,4,265,0.01007674774416408,0.01509433962264151
all,flatter_w025_all,q90,5,265,0.015341202117692725,0.01509433962264151
all,flatter_w025_all,q90,6,264,0.024239335313205337,0.041666666666666664
all,flatter_w025_all,q90,7,265,0.03781923713266917,0.06037735849056604
all,flatter_w025_all,q90,8,264,0.05786708356430164,0.14393939393939395
all,flatter_w025_all,q90,9,265,0.07805816880411846,0.18867924528301888
all,flatter_w025_all,q90,10,265,0.12982002951212693,0.21509433962264152
all,flatter_w025_all,q95,1,265,0.0,0.007547169811320755
all,flatter_w025_all,q95,2,265,0.0,0.0037735849056603774
all,flatter_w025_all,q95,3,264,0.0,0.0
all,flatter_w025_all,q95,4,265,0.0,0.0
all,flatter_w025_all,q95,5,265,0.0011559872691308847,0.0037735849056603774
all,flatter_w025_all,q95,6,264,0.009337039037329463,0.003787878787878788
all,flatter_w025_all,q95,7,265,0.012724086860531007,0.01509433962264151
all,flatter_w025_all,q95,8,264,0.024582357638494694,0.041666666666666664
all,flatter_w025_all,q95,9,265,0.049461605490941266,0.1169811320754717
all,flatter_w025_all,q95,10,265,0.10853307476758867,0.20754716981132076
all,production,q90,1,265,0.0,0.007547169811320755
all,production,q90,2,265,0.0,0.0
all,production,q90,3,264,0.0014259312200773058,0.007575757575757576
all,production,q90,4,265,0.008715722413689475,0.018867924528301886
all,production,q90,5,265,0.014648901743095875,0.011320754716981131
all,production,q90,6,264,0.023835745134885858,0.030303030303030304
all,production,q90,7,265,0.03729249583041185,0.07924528301886792
all,production,q90,8,264,0.05742083391428104,0.14015151515151514
all,production,q90,9,265,0.078988664013414,0.19245283018867926
all,production,q90,10,265,0.13315690385632045,0.20754716981132076
all,production,q95,1,265,0.0,0.007547169811320755
all,production,q95,2,265,0.0,0.0037735849056603774
all,production,q95,3,264,0.0,0.0
all,production,q95,4,265,0.0,0.0
all,production,q95,5,265,0.0008732232258913515,0.0
all,production,q95,6,264,0.007796349970759569,0.011363636363636364
all,production,q95,7,265,0.012608374747472915,0.018867924528301886
all,production,q95,8,264,0.02402199173130278,0.03787878787878788
all,production,q95,9,265,0.04971147606951565,0.1018867924528302
all,production,q95,10,265,0.11203375760614184,0.2188679245283019
all,te_ypr050,q90,1,265,0.0,0.007547169811320755
all,te_ypr050,q90,2,265,0.0,0.0
all,te_ypr050,q90,3,264,0.0012801507407632611,0.007575757575757576
all,te_ypr050,q90,4,265,0.008633421490522448,0.018867924528301886
all,te_ypr050,q90,5,265,0.014631849515871041,0.01509433962264151
all,te_ypr050,q90,6,264,0.023949125903413308,0.030303030303030304
all,te_ypr050,q90,7,265,0.037330943649499446,0.07547169811320754
all,te_ypr050,q90,8,264,0.057121334000003916,0.13636363636363635
all,te_ypr050,q90,9,265,0.0787936496451324,0.2037735849056604
all,te_ypr050,q90,10,265,0.1332473348280075,0.2
all,te_ypr050,q95,1,265,0.0,0.007547169811320755
all,te_ypr050,q95,2,265,0.0,0.0037735849056603774
all,te_ypr050,q95,3,264,0.0,0.0
all,te_ypr050,q95,4,265,0.0,0.0
all,te_ypr050,q95,5,265,0.0007673884677589903,0.0
all,te_ypr050,q95,6,264,0.007828962606983117,0.011363636363636364
all,te_ypr050,q95,7,265,0.012514022650098475,0.01509433962264151
all,te_ypr050,q95,8,264,0.023934167817760994,0.041666666666666664
all,te_ypr050,q95,9,265,0.049571427740726544,0.1018867924528302
all,te_ypr050,q95,10,265,0.11206431101157452,0.2188679245283019
all,wr_ppg225_both025,q90,1,265,0.0,0.007547169811320755
all,wr_ppg225_both025,q90,2,265,0.0,0.0
