year,source_roster_block_id,player,raw_player,player_key,pos,clearing_price,observed_actual_salary,price_source,salary_missing_filled_one,actionable,event_source,is_synthetic_contract_fill,preauction_score,raw_nominal_salary
2022,1,Josh Allen,Josh Allen,joshallen,QB,41.0,41.0,observed,False,True,historical_forecast_matched,False,19.43817710876465,43.0
2022,1,Kyle Pitts,Kyle Pitts,kylepitts,TE,38.0,38.0,observed,False,True,historical_forecast_matched,False,11.55323600769043,28.0
2022,1,Diontae Johnson,Diontae Johnson,diontaejohnson,WR,35.0,35.0,observed,False,True,historical_forecast_matched,False,11.610716819763184,32.0
2022,1,Deandre Hopkins,DeAndre Hopkins,deandrehopkins,WR,13.0,13.0,observed,False,True,historical_forecast_matched,False,9.990307807922363,6.0
2022,1,Christian Kirk,Christian Kirk,christiankirk,WR,11.0,11.0,observed,False,True,historical_forecast_matched,False,9.427196502685547,8.0
2022,1,Rashod Bateman,Rashod Bateman,rashodbateman,WR,21.0,21.0,observed,False,True,historical_forecast_matched,False,9.633731842041016,11.0
2022,1,Antonio Gibson,Antonio Gibson,antoniogibson,RB,27.0,27.0,observed,False,False,historical_opponent_only,False,12.350625,
2022,1,Devonta Smith,DeVonta Smith,devontasmith,WR,11.0,11.0,observed,False,True,historical_forecast_matched,False,10.023614883422852,8.0
2022,1,Aj Dillon,AJ Dillon,ajdillon,RB,36.0,36.0,observed,False,True,historical_forecast_matched,False,10.621748924255371,11.0
2022,1,Dameon Pierce,Dameon Pierce,dameonpierce,RB,34.0,34.0,observed,False,True,historical_forecast_matched,False,9.038881301879883,8.0
2022,1,Rhamondre Stevenson,Rhamondre Stevenson,rhamondrestevenson,RB,25.0,25.0,observed,False,True,historical_forecast_matched,False,9.702605247497559,7.0
2022,1,Dj Chark,DJ Chark,djchark,WR,1.0,1.0,observed,False,True,historical_forecast_matched,False,9.109689712524414,2.0
2022,1,Mike Davis,Mike Davis,mikedavis,RB,2.0,2.0,observed,False,True,historical_forecast_matched,False,7.045876502990723,2.0
2022,2,Najee Harris,Najee Harris,najeeharris,RB,92.0,92.0,observed,False,True,historical_forecast_matched,False,15.562064170837402,85.0
2022,2,Jerry Jeudy,Jerry Jeudy,jerryjeudy,WR,29.0,29.0,observed,False,True,historical_forecast_matched,False,9.698941230773926,19.0
2022,2,Brandin Cooks,Brandin Cooks,brandincooks,WR,35.0,35.0,observed,False,True,historical_forecast_matched,False,10.482514381408691,26.0
