year,player,player_key,pos,target_feature_match,pool_size,min_donor_season,max_donor_season,zero_active_share,mean_distance,max_donor_is_causal
2022,Dalton Schultz,daltonschultz,TE,True,80,2008,2021,0.0,0.7213288561176365,True
2022,Dalvin Cook,dalvincook,RB,True,80,2008,2021,0.0,0.8546722060861788,True
2022,Dameon Pierce,dameonpierce,RB,True,80,2008,2021,0.0,1.0031317604996786,True
2022,Damien Harris,damienharris,RB,True,80,2008,2021,0.0,1.0033168762723812,True
2022,Damien Williams,damienwilliams,RB,False,80,2008,2021,0.0,1.6736476814624788,True
2022,Dan Arnold,danarnold,TE,True,80,2008,2021,0.0,0.8578691003245218,True
2022,Dandre Swift,dandreswift,RB,True,80,2008,2021,0.0,0.8781523821466035,True
2022,Daniel Bellinger,danielbellinger,TE,True,80,2008,2021,0.0,0.8706726544496339,True
2022,Daniel Jones,danieljones,QB,True,80,2008,2021,0.0,1.1380905739661775,True
2022,Danny Gray,dannygray,WR,False,80,2008,2021,0.0,1.698811073789973,True
2022,Darius Slayton,dariusslayton,WR,False,80,2008,2021,0.0,1.4411613356802744,True
2022,Darnell Mooney,darnellmooney,WR,True,80,2008,2021,0.0,0.5321768836450571,True
2022,Darrell Henderson,darrellhenderson,RB,True,80,2008,2021,0.0,0.7897843072424171,True
2022,Darrel Williams,darrelwilliams,RB,True,80,2008,2021,0.0,1.1057008124350225,True
2022,Darren Waller,darrenwaller,TE,True,80,2008,2021,0.0,0.7179127518214242,True
2022,Davante Adams,davanteadams,WR,True,80,2008,2021,0.0,0.6307880550115561,True
2022,David Bell,davidbell,WR,True,80,2008,2021,0.0,0.6424968883968468,True
2022,David Montgomery,davidmontgomery,RB,True,80,2008,2021,0.0,0.773658044347453,True
2022,David Njoku,davidnjoku,TE,True,80,2008,2021,0.0,0.8010891012215497,True
2022,Davis Mills,davismills,QB,True,80,2008,2021,0.0,1.1514503036263997,True
2022,Dawson Knox,dawsonknox,TE,True,80,2008,2021,0.0,0.7114021892714529,True
2022,Deandre Hopkins,deandrehopkins,WR,True,80,2008,2021,0.0,0.6327539602621307,True
2022,Deebo Samuel,deebosamuel,WR,True,80,2008,2021,0.0,0.6149047981262423,True
