year,order_regime,price_rule,policy_mode,nominal_buffer,failure_reason,failed_paths
2022,position_run,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,4
2022,position_run,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,3
2022,position_run,plus_one,operational,10.0,forced_opponent_only_event,1
2022,position_run,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,4
2022,position_run,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,3
2022,position_run,plus_one,strict,10.0,forced_opponent_only_event,1
2022,star_late,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,3
2022,star_late,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,3
2022,tier_early,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,6
2022,tier_early,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,6
2022,tier_early,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,6
2022,tier_early,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,6
2022,uniform,clearing,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2022,uniform,clearing,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2023,position_run,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,3
2023,position_run,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,4
2023,position_run,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,3
2023,position_run,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,4
2023,star_late,clearing,operational,5.0,both_buy_and_pass_continuations_infeasible,2
2023,star_late,clearing,operational,10.0,both_buy_and_pass_continuations_infeasible,1
2023,star_late,clearing,strict,5.0,both_buy_and_pass_continuations_infeasible,2
2023,star_late,clearing,strict,10.0,both_buy_and_pass_continuations_infeasible,1
2023,star_late,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2023,star_late,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,2
2023,star_late,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2023,star_late,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,2
2023,tier_early,clearing,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2023,tier_early,clearing,operational,10.0,forced_opponent_only_event,1
2023,tier_early,clearing,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2023,tier_early,clearing,strict,10.0,forced_opponent_only_event,1
2023,tier_early,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,3
2023,tier_early,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,4
2023,tier_early,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,3
2023,tier_early,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,4
2024,position_run,clearing,operational,10.0,both_buy_and_pass_continuations_infeasible,1
2024,position_run,clearing,strict,10.0,both_buy_and_pass_continuations_infeasible,1
2024,position_run,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,7
2024,position_run,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,6
2024,position_run,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,7
2024,position_run,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,6
2024,tier_early,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2024,tier_early,plus_one,operational,5.0,forced_opponent_only_event,2
2024,tier_early,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,2
2024,tier_early,plus_one,operational,10.0,forced_opponent_only_event,1
2024,tier_early,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2024,tier_early,plus_one,strict,5.0,forced_opponent_only_event,2
2024,tier_early,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,2
2024,tier_early,plus_one,strict,10.0,forced_opponent_only_event,1
2024,uniform,clearing,operational,10.0,both_buy_and_pass_continuations_infeasible,1
2024,uniform,clearing,strict,10.0,both_buy_and_pass_continuations_infeasible,1
2024,uniform,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,2
2024,uniform,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,3
2024,uniform,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,2
2024,uniform,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,3
2025,position_run,clearing,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2025,position_run,clearing,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2025,position_run,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,5
2025,position_run,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,5
2025,position_run,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,5
2025,position_run,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,5
2025,star_late,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,1
2025,star_late,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,1
2025,tier_early,clearing,operational,5.0,both_buy_and_pass_continuations_infeasible,2
2025,tier_early,clearing,operational,10.0,both_buy_and_pass_continuations_infeasible,1
2025,tier_early,clearing,strict,5.0,both_buy_and_pass_continuations_infeasible,2
2025,tier_early,clearing,strict,10.0,both_buy_and_pass_continuations_infeasible,2
2025,tier_early,plus_one,operational,5.0,both_buy_and_pass_continuations_infeasible,7
2025,tier_early,plus_one,operational,10.0,both_buy_and_pass_continuations_infeasible,7
2025,tier_early,plus_one,strict,5.0,both_buy_and_pass_continuations_infeasible,7
2025,tier_early,plus_one,strict,10.0,both_buy_and_pass_continuations_infeasible,7
