year,raw_skill_rows,keeper_skill_rows,keeper_skill_spend,historical_nonkeeper_events,synthetic_contract_fill_events,modeled_open_slots,forecast_matched_events,opponent_only_events,historical_opponent_only_events,historical_opponent_only_spend,historical_opponent_only_max_price,historical_nonkeeper_known_spend,historical_nonkeeper_replay_spend,modeled_initial_market_budget
2022,156,20,690.0,136,0,136,125,11,11,61.0,27.0,2820.0,2827.0,2886.0
2023,155,21,871.0,134,1,135,131,4,3,7.0,5.0,2684.0,2684.0,2705.0
2024,155,18,563.0,137,1,138,132,6,5,8.0,4.0,2967.0,2967.0,3013.0
2025,156,15,407.0,141,0,141,134,7,7,7.0,1.0,3143.0,3143.0,3169.0
