order_regime,price_rule,policy_mode,paired_paths,completion_rate_5,completion_rate_10,completion_rate_diff_5_minus_10,complete_5_only_rate,complete_10_only_rate,paired_completion_rate,paired_clean_rate,mean_points_diff_completed_5_minus_10,mean_points_diff_clean_5_minus_10,mean_points_diff_clean_equal_origin_5_minus_10,mean_failure_penalized_diff_5_minus_10,median_points_diff_completed_5_minus_10,pooled_path_se_completed_points_diff,pooled_path_se_clean_points_diff,randomization_se_clean_equal_origin,minimum_clean_paths_per_origin,win_rate_5_completed,mean_ppg_diff_5_minus_10,mean_forecast_ev_diff_5_minus_10,mean_relax_events_5,mean_relax_events_10,mean_top_n_relax_events_5,mean_top_n_relax_events_10,generic_repair_path_rate_5,generic_repair_path_rate_10,mean_paid_spend_diff_5_minus_10
position_run,clearing,operational,8,0.875,1.0,-0.125,0.0,0.125,0.875,0.875,-61.454275948660715,-61.454275948660715,-61.454275948660715,-234.802490234375,0.0,37.74320585933816,37.74320585933816,37.74320585933816,7,0.0,-3.8408922467912987,8.750749860491071,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
position_run,clearing,strict,8,0.875,1.0,-0.125,0.0,0.125,0.875,0.875,-61.454275948660715,-61.454275948660715,-61.454275948660715,-234.802490234375,0.0,37.74320585933816,37.74320585933816,37.74320585933816,7,0.0,-3.8408922467912987,8.750749860491071,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
position_run,plus_one,operational,8,0.375,0.375,0.0,0.125,0.125,0.25,0.25,20.5799560546875,20.5799560546875,20.5799560546875,9.997482299804688,20.5799560546875,20.5799560546875,20.5799560546875,20.5799560546875,2,0.5,1.286247253417983,4.8699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position_run,plus_one,strict,8,0.375,0.375,0.0,0.125,0.125,0.25,0.25,20.5799560546875,20.5799560546875,20.5799560546875,9.997482299804688,20.5799560546875,20.5799560546875,20.5799560546875,20.5799560546875,2,0.5,1.286247253417983,4.8699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
star_late,clearing,operational,8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-42.46003723144531,-42.46003723144531,-42.46003723144531,-42.46003723144531,-53.97003173828125,28.445983661728622,28.445983661728622,28.445983661728626,8,0.375,-2.6537523269653285,-7.688446044921875,0.0,0.0,0.0,0.0,0.0,0.0,-8.875
star_late,clearing,strict,8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-42.46003723144531,-42.46003723144531,-42.46003723144531,-42.46003723144531,-53.97003173828125,28.445983661728622,28.445983661728622,28.445983661728626,8,0.375,-2.6537523269653285,-7.688446044921875,0.0,0.0,0.0,0.0,0.0,0.0,-8.875
star_late,plus_one,operational,8,0.875,1.0,-0.125,0.0,0.125,0.875,0.875,-39.222900390625,-39.222900390625,-39.222900390625,-227.52752685546875,-44.02001953125,48.53156801322853,48.53156801322853,48.53156801322854,7,0.2857142857142857,-2.4514312744140545,8.893868582589286,0.0,0.0,0.0,0.0,0.0,0.0,-0.2857142857142857
star_late,plus_one,strict,8,0.875,1.0,-0.125,0.0,0.125,0.875,0.875,-39.222900390625,-39.222900390625,-39.222900390625,-227.52752685546875,-44.02001953125,48.53156801322853,48.53156801322853,48.53156801322854,7,0.2857142857142857,-2.4514312744140545,8.893868582589286,0.0,0.0,0.0,0.0,0.0,0.0,-0.2857142857142857
tier_early,clearing,operational,8,0.75,0.875,-0.125,0.0,0.125,0.75,0.625,22.666666666666668,27.2,27.2,-184.78749084472656,0.0,19.62902437533657,23.390622698523206,23.390622698523206,5,0.3333333333333333,1.416666666666669,-10.4161376953125,0.0,0.125,0.0,0.0,0.0,0.0,0.16666666666666666
tier_early,clearing,strict,8,0.75,0.75,0.0,0.125,0.125,0.625,0.625,27.2,27.2,27.2,10.547515869140625,0.0,23.390622698523206,23.390622698523206,23.390622698523206,5,0.4,1.7000000000000028,-11.397119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.2
