year,trial,order_regime,price_rule,policy_mode,complete_5,clean_policy_path_5,actual_points_5,failure_penalized_points_5,actual_ppg_5,final_forecast_ev_5,paid_spend_5,unused_personal_budget_5,events_seen_5,forced_buys_5,nominal_relaxation_events_5,top_n_relaxation_events_5,generic_repair_buys_5,synthetic_contract_fill_buys_5,synthetic_contract_fill_events_seen_5,complete_10,clean_policy_path_10,actual_points_10,failure_penalized_points_10,actual_ppg_10,final_forecast_ev_10,paid_spend_10,unused_personal_budget_10,events_seen_10,forced_buys_10,nominal_relaxation_events_10,top_n_relaxation_events_10,generic_repair_buys_10,synthetic_contract_fill_buys_10,synthetic_contract_fill_events_seen_10,paired_complete,paired_clean,actual_points_diff_5_minus_10,failure_penalized_points_diff_5_minus_10,actual_ppg_diff_5_minus_10,final_forecast_ev_diff_5_minus_10,paid_spend_diff_5_minus_10,unused_personal_budget_diff_5_minus_10,events_seen_diff_5_minus_10,forced_buys_diff_5_minus_10,nominal_relaxation_events_diff_5_minus_10,top_n_relaxation_events_diff_5_minus_10,generic_repair_buys_diff_5_minus_10,synthetic_contract_fill_buys_diff_5_minus_10,synthetic_contract_fill_events_seen_diff_5_minus_10,points_win_5
2022,0,uniform,plus_one,strict,True,True,1540.0999755859375,1540.0999755859375,96.2562484741211,1539.8642578125,282.0,16.0,116,0,0,0,0,0,0,True,True,1540.0999755859375,1540.0999755859375,96.2562484741211,1539.8642578125,282.0,16.0,116,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,1,position_run,clearing,operational,True,True,1582.239990234375,1582.239990234375,98.88999938964844,1579.189697265625,298.0,0.0,107,0,0,0,0,0,0,True,True,1599.840087890625,1599.840087890625,99.99000549316406,1584.824462890625,297.0,1.0,113,0,0,0,0,0,0,True,True,-17.60009765625,-17.60009765625,-1.100006103515625,-5.634765625,1.0,-1.0,-6,0,0,0,0,0,0,False
2022,1,position_run,clearing,strict,True,True,1582.239990234375,1582.239990234375,98.88999938964844,1579.189697265625,298.0,0.0,107,0,0,0,0,0,0,True,True,1599.840087890625,1599.840087890625,99.99000549316406,1584.824462890625,297.0,1.0,113,0,0,0,0,0,0,True,True,-17.60009765625,-17.60009765625,-1.100006103515625,-5.634765625,1.0,-1.0,-6,0,0,0,0,0,0,False
2022,1,position_run,plus_one,operational,False,False,,0.0,,,292.0,6.0,98,0,0,0,0,0,0,False,False,,0.0,,,296.0,2.0,126,0,0,0,0,0,0,False,False,,0.0,,,-4.0,4.0,-28,0,0,0,0,0,0,False
2022,1,position_run,plus_one,strict,False,False,,0.0,,,292.0,6.0,98,0,0,0,0,0,0,False,False,,0.0,,,296.0,2.0,126,0,0,0,0,0,0,False,False,,0.0,,,-4.0,4.0,-28,0,0,0,0,0,0,False
2022,1,star_late,clearing,operational,True,True,1445.199951171875,1445.199951171875,90.32499694824219,1529.927001953125,274.0,24.0,118,0,0,0,0,0,0,True,True,1399.760009765625,1399.760009765625,87.48500061035156,1549.431396484375,284.0,14.0,118,0,0,0,0,0,0,True,True,45.43994140625,45.43994140625,2.839996337890625,-19.50439453125,-10.0,10.0,0,0,0,0,0,0,0,True
2022,1,star_late,clearing,strict,True,True,1445.199951171875,1445.199951171875,90.32499694824219,1529.927001953125,274.0,24.0,118,0,0,0,0,0,0,True,True,1399.760009765625,1399.760009765625,87.48500061035156,1549.431396484375,284.0,14.0,118,0,0,0,0,0,0,True,True,45.43994140625,45.43994140625,2.839996337890625,-19.50439453125,-10.0,10.0,0,0,0,0,0,0,0,True
2022,1,star_late,plus_one,operational,True,True,1412.10009765625,1412.10009765625,88.25625610351562,1554.31298828125,289.0,9.0,132,0,0,0,0,0,0,True,True,1572.5999755859375,1572.5999755859375,98.2874984741211,1550.2044677734375,286.0,12.0,123,0,0,0,0,0,0,True,True,-160.4998779296875,-160.4998779296875,-10.031242370605469,4.1085205078125,3.0,-3.0,9,0,0,0,0,0,0,False
2022,1,star_late,plus_one,strict,True,True,1412.10009765625,1412.10009765625,88.25625610351562,1554.31298828125,289.0,9.0,132,0,0,0,0,0,0,True,True,1572.5999755859375,1572.5999755859375,98.2874984741211,1550.2044677734375,286.0,12.0,123,0,0,0,0,0,0,True,True,-160.4998779296875,-160.4998779296875,-10.031242370605469,4.1085205078125,3.0,-3.0,9,0,0,0,0,0,0,False
2022,1,tier_early,clearing,operational,True,True,1587.3599853515625,1587.3599853515625,99.20999908447266,1599.7916259765625,297.0,1.0,99,0,0,0,0,0,0,True,True,1583.06005859375,1583.06005859375,98.94125366210938,1598.8111572265625,295.0,3.0,97,0,0,0,0,0,0,True,True,4.2999267578125,4.2999267578125,0.26874542236328125,0.98046875,2.0,-2.0,2,0,0,0,0,0,0,True
