path_id,year,trial,order_regime,price_rule,nominal_buffer,policy_mode,status,failure_reason,complete,clean_policy_path,roster,roster_size,paid_spend,historical_clearing_spend,unused_personal_budget,events_seen,completion_nomination,forced_buys,nominal_relaxation_events,top_n_relaxation_events,generic_repair_buys,synthetic_contract_fill_buys,synthetic_contract_fill_events_seen,final_forecast_ev,actual_points,failure_penalized_points,actual_ppg,drafted_only_points,actual_waiver_starts,outcome_salary_missing_players,raw_outcome_missing_players,qb_count,rb_count,wr_count,te_count
2022_0_tier_early_clearing_strict_buffer5,2022,0,tier_early,clearing,5.0,strict,complete,,True,True,Aj Brown|Amari Cooper|Darrell Henderson|Derrick Henry|Devonta Smith|Drake London|Josh Jacobs|Justin Herbert|Kenneth Gainwell|Kenny Golladay|Robert Woods|Tyreek Hill|Zach Ertz,13,297.0,297.0,1.0,128,128.0,0,0,0,0,0,0,1567.142578125,1875.280029296875,1875.280029296875,117.20500183105469,1847.6400146484375,31.0,0.0,0.0,1,4,7,1
2022_0_tier_early_clearing_strict_buffer10,2022,0,tier_early,clearing,10.0,strict,complete,,True,True,Breece Hall|Dawson Knox|Derrick Henry|Drake London|Ezekiel Elliott|Hunter Henry|Justin Herbert|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Rondale Moore|Treylon Burks|Tyreek Hill,13,298.0,298.0,0.0,133,133.0,0,0,0,0,0,0,1577.8056640625,1559.380126953125,1559.380126953125,97.46125793457031,1523.1400146484375,62.0,0.0,0.0,1,4,6,2
2022_0_tier_early_clearing_operational_buffer5,2022,0,tier_early,clearing,5.0,operational,complete,,True,True,Aj Brown|Amari Cooper|Darrell Henderson|Derrick Henry|Devonta Smith|Drake London|Josh Jacobs|Justin Herbert|Kenneth Gainwell|Kenny Golladay|Robert Woods|Tyreek Hill|Zach Ertz,13,297.0,297.0,1.0,128,128.0,0,0,0,0,0,0,1567.142578125,1875.280029296875,1875.280029296875,117.20500183105469,1847.6400146484375,31.0,0.0,0.0,1,4,7,1
2022_0_tier_early_clearing_operational_buffer10,2022,0,tier_early,clearing,10.0,operational,complete,,True,True,Breece Hall|Dawson Knox|Derrick Henry|Drake London|Ezekiel Elliott|Hunter Henry|Justin Herbert|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Rondale Moore|Treylon Burks|Tyreek Hill,13,298.0,298.0,0.0,133,133.0,0,0,0,0,0,0,1577.8056640625,1559.380126953125,1559.380126953125,97.46125793457031,1523.1400146484375,62.0,0.0,0.0,1,4,6,2
2022_0_tier_early_plus_one_strict_buffer5,2022,0,tier_early,plus_one,5.0,strict,failed,both_buy_and_pass_continuations_infeasible,False,False,Chase Edmonds|Derrick Henry|Devin Singletary|Drake London|Kyle Pitts|Lamar Jackson|Miles Sanders|Robert Woods|Tyreek Hill,9,293.0,284.0,5.0,103,,0,0,0,0,0,0,,,0.0,,,,,,1,4,3,1
2022_0_tier_early_plus_one_strict_buffer10,2022,0,tier_early,plus_one,10.0,strict,failed,both_buy_and_pass_continuations_infeasible,False,False,Breece Hall|Derrick Henry|Drake London|Ezekiel Elliott|Lamar Jackson|Treylon Burks|Tyreek Hill,7,290.0,283.0,8.0,103,,0,0,0,0,0,0,,,0.0,,,,,,1,3,3,0
2022_0_tier_early_plus_one_operational_buffer5,2022,0,tier_early,plus_one,5.0,operational,failed,both_buy_and_pass_continuations_infeasible,False,False,Chase Edmonds|Derrick Henry|Devin Singletary|Drake London|Kyle Pitts|Lamar Jackson|Miles Sanders|Robert Woods|Tyreek Hill,9,293.0,284.0,5.0,103,,0,0,0,0,0,0,,,0.0,,,,,,1,4,3,1
2022_0_tier_early_plus_one_operational_buffer10,2022,0,tier_early,plus_one,10.0,operational,failed,both_buy_and_pass_continuations_infeasible,False,False,Breece Hall|Derrick Henry|Drake London|Ezekiel Elliott|Lamar Jackson|Treylon Burks|Tyreek Hill,7,290.0,283.0,8.0,103,,0,0,0,0,0,0,,,0.0,,,,,,1,3,3,0
2022_1_tier_early_clearing_strict_buffer5,2022,1,tier_early,clearing,5.0,strict,complete,,True,True,Brandon Aiyuk|Breece Hall|Chase Claypool|Dallas Goedert|Drake London|Ezekiel Elliott|Kenneth Gainwell|Russell Gage|Russell Wilson|Tee Higgins|Travis Etienne|Travis Kelce|Tyler Lockett,13,297.0,297.0,1.0,99,99.0,0,0,0,0,0,0,1599.7916259765625,1587.3599853515625,1587.3599853515625,99.20999908447266,1546.8599853515625,41.0,0.0,0.0,1,4,6,2
2022_1_tier_early_clearing_strict_buffer10,2022,1,tier_early,clearing,10.0,strict,complete,,True,True,Breece Hall|Derrick Henry|Dj Chark|Drake London|Kenneth Gainwell|Marvin Jones|Michael Pittman|Miles Sanders|Robert Woods|Russell Gage|Russell Wilson|Travis Kelce|Treylon Burks,13,295.0,295.0,3.0,97,97.0,0,0,0,0,0,0,1598.8111572265625,1583.06005859375,1583.06005859375,98.94125366210938,1460.6600341796875,54.0,0.0,0.0,1,4,7,1
2022_1_tier_early_clearing_operational_buffer5,2022,1,tier_early,clearing,5.0,operational,complete,,True,True,Brandon Aiyuk|Breece Hall|Chase Claypool|Dallas Goedert|Drake London|Ezekiel Elliott|Kenneth Gainwell|Russell Gage|Russell Wilson|Tee Higgins|Travis Etienne|Travis Kelce|Tyler Lockett,13,297.0,297.0,1.0,99,99.0,0,0,0,0,0,0,1599.7916259765625,1587.3599853515625,1587.3599853515625,99.20999908447266,1546.8599853515625,41.0,0.0,0.0,1,4,6,2
2022_1_tier_early_clearing_operational_buffer10,2022,1,tier_early,clearing,10.0,operational,complete,,True,True,Breece Hall|Derrick Henry|Dj Chark|Drake London|Kenneth Gainwell|Marvin Jones|Michael Pittman|Miles Sanders|Robert Woods|Russell Gage|Russell Wilson|Travis Kelce|Treylon Burks,13,295.0,295.0,3.0,97,97.0,0,0,0,0,0,0,1598.8111572265625,1583.06005859375,1583.06005859375,98.94125366210938,1460.6600341796875,54.0,0.0,0.0,1,4,7,1
2022_1_tier_early_plus_one_strict_buffer5,2022,1,tier_early,plus_one,5.0,strict,failed,both_buy_and_pass_continuations_infeasible,False,False,Breece Hall|Derrick Henry|Dj Chark|Drake London|Kenneth Gainwell|Miles Sanders|Robert Woods|Rondale Moore|Russell Wilson|Tee Higgins|Travis Kelce,11,296.0,285.0,2.0,113,,0,0,0,0,0,0,,,0.0,,,,,,1,4,5,1
2022_1_tier_early_plus_one_strict_buffer10,2022,1,tier_early,plus_one,10.0,strict,failed,both_buy_and_pass_continuations_infeasible,False,False,Amari Cooper|Breece Hall|Darrell Henderson|Derrick Henry|Dj Chark|Michael Pittman|Miles Sanders|Rondale Moore|Russell Wilson|Travis Kelce,10,294.0,284.0,4.0,117,,0,0,0,0,0,0,,,0.0,,,,,,1,4,4,1
2022_1_tier_early_plus_one_operational_buffer5,2022,1,tier_early,plus_one,5.0,operational,failed,both_buy_and_pass_continuations_infeasible,False,False,Breece Hall|Derrick Henry|Dj Chark|Drake London|Kenneth Gainwell|Miles Sanders|Robert Woods|Rondale Moore|Russell Wilson|Tee Higgins|Travis Kelce,11,296.0,285.0,2.0,113,,0,0,0,0,0,0,,,0.0,,,,,,1,4,5,1
2022_1_tier_early_plus_one_operational_buffer10,2022,1,tier_early,plus_one,10.0,operational,failed,both_buy_and_pass_continuations_infeasible,False,False,Amari Cooper|Breece Hall|Darrell Henderson|Derrick Henry|Dj Chark|Michael Pittman|Miles Sanders|Rondale Moore|Russell Wilson|Travis Kelce,10,294.0,284.0,4.0,117,,0,0,0,0,0,0,,,0.0,,,,,,1,4,4,1
2022_2_tier_early_clearing_strict_buffer5,2022,2,tier_early,clearing,5.0,strict,complete,,True,True,Aaron Rodgers|Cordarrelle Patterson|Derrick Henry|George Kittle|James Robinson|Keenan Allen|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Michael Gallup|Russell Gage|Travis Kelce|Tyreek Hill,13,298.0,298.0,0.0,98,98.0,0,0,0,0,0,0,1582.415771484375,1606.260009765625,1606.260009765625,100.39125061035156,1619.800048828125,47.0,0.0,0.0,1,4,6,2
2022_2_tier_early_clearing_strict_buffer10,2022,2,tier_early,clearing,10.0,strict,complete,,True,True,Aaron Rodgers|Cordarrelle Patterson|Derrick Henry|George Kittle|James Robinson|Keenan Allen|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Michael Gallup|Russell Gage|Travis Kelce|Tyreek Hill,13,298.0,298.0,0.0,98,98.0,0,0,0,0,0,0,1582.415771484375,1606.260009765625,1606.260009765625,100.39125061035156,1619.800048828125,47.0,0.0,0.0,1,4,6,2
2022_2_tier_early_clearing_operational_buffer5,2022,2,tier_early,clearing,5.0,operational,complete,,True,True,Aaron Rodgers|Cordarrelle Patterson|Derrick Henry|George Kittle|James Robinson|Keenan Allen|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Michael Gallup|Russell Gage|Travis Kelce|Tyreek Hill,13,298.0,298.0,0.0,98,98.0,0,0,0,0,0,0,1582.415771484375,1606.260009765625,1606.260009765625,100.39125061035156,1619.800048828125,47.0,0.0,0.0,1,4,6,2
2022_2_tier_early_clearing_operational_buffer10,2022,2,tier_early,clearing,10.0,operational,complete,,True,True,Aaron Rodgers|Cordarrelle Patterson|Derrick Henry|George Kittle|James Robinson|Keenan Allen|Kenneth Gainwell|Kenny Golladay|Marvin Jones|Michael Gallup|Russell Gage|Travis Kelce|Tyreek Hill,13,298.0,298.0,0.0,98,98.0,0,0,0,0,0,0,1582.415771484375,1606.260009765625,1606.260009765625,100.39125061035156,1619.800048828125,47.0,0.0,0.0,1,4,6,2
2022_2_tier_early_plus_one_strict_buffer5,2022,2,tier_early,plus_one,5.0,strict,complete,,True,True,Alvin Kamara|Chase Claypool|Darrell Henderson|Davante Adams|Dj Chark|Ezekiel Elliott|Jalen Hurts|Jaylen Waddle|Kenneth Gainwell|Rondale Moore|Russell Gage|Treylon Burks|Zach Ertz,13,296.0,283.0,2.0,106,106.0,0,0,0,0,0,0,1567.3876953125,1570.60009765625,1570.60009765625,98.16250610351562,1544.3800048828125,46.0,0.0,0.0,1,4,7,1
2022_2_tier_early_plus_one_strict_buffer10,2022,2,tier_early,plus_one,10.0,strict,failed,both_buy_and_pass_continuations_infeasible,False,False,Alvin Kamara|Chase Claypool|Darrell Henderson|Davante Adams|Ezekiel Elliott|Jalen Hurts|Jaylen Waddle|Kenneth Gainwell|Marvin Jones|Russell Gage|Tj Hockenson|Treylon Burks,12,297.0,285.0,1.0,136,,0,0,0,0,0,0,,,0.0,,,,,,1,4,6,1
