"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Bijan Robinson","ATL","rb","5","17","316.9","58","0","0","0","0","0","0","300.3087","1348.9156","11.0741","76.8077","62.0599","423.0087","2.0479","4.7305","2.156","0.5211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Jahmyr Gibbs","DET","rb","8","17","315.7","57","0","0","0","0","0","0","242.7024","1137.0486","11.303","84.865","69.0162","490.2694","2.8109","4.0264","1.8546","0.5787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Saquon Barkley","PHI","rb","9","17","294.9","52","0","0","0","0","0","0","323.5803","1522.4611","12.9276","41.949","34.0199","240.4864","1.3467","4.743","2.1276","0.5434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","10","17","334.4","50","0","0","0","0","0","0","2.82","16.8328","0.117","171.9662","123.1897","1423.9979","11.0479","1.3661","0.7497","0.4594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Christian McCaffrey","SF","rb","14","17","282.7","48","0","0","0","0","0","0","242.1143","1096.6912","8.3159","75.4531","60.6346","474.9003","2.6406","3.9281","1.8013","0.4915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Bucky Irving","TB","rb","9","17","276.4","46","0","0","0","0","0","0","257.2002","1213.7756","8.1635","65.9559","55.469","384.1745","2.1663","4.0764","1.8603","0.5043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ashton Jeanty","LV","rb","8","17","276.4","46","0","0","0","0","0","0","253.793","1128.3211","8.5048","71.5343","58.3377","419.1717","2.2011","4.0613","1.8571","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","De'Von Achane","MIA","rb","12","17","271","45","0","0","0","0","0","0","195.918","892.9747","6.7285","85.7462","71.4272","503.7793","3.3654","3.4197","1.5906","0.4521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Derrick Henry","BLT","rb","7","17","267.6","44","0","0","0","0","0","0","298.5817","1441.4766","11.8457","32.6238","27.2297","192.3208","1.1546","4.3317","1.9385","0.4743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Justin Jefferson","MIN","wr","6","17","299.6","40","0","0","0","0","0","0","0","0","0","177.6043","114.9931","1386.9453","7.5247","0","0","0.3964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
