"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"422","Odell Beckham Jr.","NYG","wr","8","17","13.5","0","0","0","0","0","0","0","0","0","0","8.2856","5.0876","62.0792","0.3732","0.0548","0.0303","0.0221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","Xavier Restrepo","TEN","wr","9","17","12.5","0","0","0","0","0","0","0","0","0","0","7.9638","4.8205","57.4938","0.3129","0.052","0.0287","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424","Brayden Willis","SF","te","8","4","2.4","0","0","0","0","0","0","0","0","0","0","1.328","1.0003","9.9661","0.0717","0.0108","0.006","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"425","Kaden Wetjen","PIT","wr","9","17","10.6","0","0","0","0","0","0","0","0.7854","4.6955","0.041","5.866","3.7257","44.416","0.2894","0.0508","0.0268","0.0158","1023.9174","0.4495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"426","Dylan Drummond","ATL","wr","11","17","10","0","0","0","0","0","0","0","0","0","0","5.9911","3.9373","44.7773","0.2688","0.0424","0.0234","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"427","Reggie Virgil","ARZ","wr","14","17","9.7","0","0","0","0","0","0","0","0","0","0","5.9551","3.8143","44.5581","0.2444","0.0411","0.0227","0.0144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"428","Nick Westbrook-Ikhine","IND","wr","13","17","9.2","0","0","0","0","0","0","0","0","0","0","5.5728","3.5798","40.2056","0.2608","0.0386","0.0213","0.0152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"429","Myles Price","MIN","wr","6","17","9.2","0","0","0","0","0","0","0","0","0","0","5.5503","3.5898","41.839","0.2354","0.0387","0.0214","0.0141","1491.051","0.5665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"430","Jahdae Walker","CHI","wr","10","17","9.2","0","0","0","0","0","0","0","0","0","0","5.646","3.3967","41.7128","0.271","0.0366","0.0202","0.0147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"431","Malachi Corley","CLV","wr","11","17","8.9","0","0","0","0","0","0","0","10.1771","58.3792","0.5219","0","0","0","0","0.1376","0.0606","0.0101","816.5689","0.2087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
