"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","17","326.2","74","0","0","0","0","0","0","291.3467","1325.7413","10.6575","93.7559","77.8573","647.3251","4.5287","2.3575","1.1787","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","12","17","257.4","51","0","0","0","0","0","0","277.3262","1229.3856","7.5738","70.8411","57.7564","445.1894","2.9253","4.2572","2.1286","0.1131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Breece Hall","NYJ","rb","12","17","251.9","49","0","0","0","0","0","0","243.0982","1113.3972","6.5637","78.6559","63.8301","530.718","2.7565","2.0055","1.0027","0.3129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","14","17","241.8","46","0","0","0","0","0","0","289.7174","1251.0201","8.6716","60.6975","50.6887","321.4004","1.4498","3.2773","1.6386","0.0618","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Kyren Williams","LA","rb","6","17","231.7","43","0","0","0","0","0","0","267.1688","1198.3275","8.3869","52.9004","44.5498","279.2933","1.9562","2.4815","1.2407","0.4284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Derrick Henry","BLT","rb","14","17","227","41","0","0","0","0","0","0","305.0469","1287.1847","10.876","28.2863","23.6853","176.3775","0.7766","2.3592","1.1796","0.0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","CeeDee Lamb","DAL","wr","7","17","251.8","41","0","0","0","0","0","0","12.1549","64.4804","0.5843","152.6799","107.3112","1381.1057","8.3721","1.3531","0.6766","0.284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Jahmyr Gibbs","DET","rb","5","17","226","41","0","0","0","0","0","0","195.2641","942.1546","7.8221","70.0693","57.6971","433.7962","2.2639","2.3446","1.1723","0.1005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tyreek Hill","MIA","wr","6","17","250.1","40","0","0","0","0","0","0","5.6513","21.6304","0.2787","148.8945","101.1409","1436.7444","8.6327","0.9453","0.4727","0.3346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Ja'Marr Chase","CIN","wr","12","17","243.7","38","0","0","0","0","0","0","2.9957","15.5399","0.1004","164.3872","112.8451","1358.8653","8.2936","1.5027","0.7514","0.0932","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
