family,feature_name,training_coverage,current_coverage,first_available_season
consensus_core,expert_ppg_team_game_median,0.943769219505052,0.9587217043941412,2008
consensus_core,expert_ppg_active_median,0.1108507834236345,0.7576564580559254,2024
consensus_core,expert_ppg_team_game_std,0.943769219505052,0.9587217043941412,2008
consensus_core,expert_ppg_team_game_iqr,0.943769219505052,0.9587217043941412,2008
consensus_core,expert_points_iqr,0.943769219505052,0.9587217043941412,2008
consensus_core,projection_provider_count,0.9543124908478547,0.9747003994673769,2008
consensus_core,configured_projection_provider_count,0.9543124908478547,0.9747003994673769,2008
consensus_core,proj_games,0.1108507834236345,0.7576564580559254,2024
consensus_core,proj_pass_attempts,0.8412651925611363,0.7789613848202397,2008
consensus_core,proj_passing_yards,0.9537267535510323,0.9587217043941412,2008
consensus_core,proj_passing_tds,0.9537267535510323,0.9587217043941412,2008
consensus_core,proj_interceptions,0.9537267535510323,0.9587217043941412,2008
consensus_core,proj_rush_attempts,0.8412651925611363,0.7789613848202397,2008
consensus_core,proj_rushing_yards,0.9537267535510323,0.966711051930759,2008
consensus_core,proj_rushing_tds,0.9537267535510323,0.966711051930759,2008
consensus_core,proj_targets,0.11158295504466247,0.6338215712383488,2024
consensus_core,proj_receptions,0.943769219505052,0.9573901464713716,2008
consensus_core,proj_receiving_yards,0.9537267535510323,0.9653794940079894,2008
consensus_core,proj_receiving_tds,0.9537267535510323,0.9653794940079894,2008
consensus_core,projected_pass_point_share,0.9241470200615024,0.8308921438082557,2008
consensus_core,projected_rush_point_share,0.9241470200615024,0.8308921438082557,2008
consensus_core,projected_receiving_point_share,0.9241470200615024,0.8308921438082557,2008
shape,proj_total_touches,0.8412651925611363,0.7789613848202397,2008
shape,proj_total_opportunities,0.11158295504466247,0.6338215712383488,2024
shape,proj_pass_yards_per_attempt,0.10308976424073803,0.09587217043941411,2008
shape,proj_pass_td_rate,0.10308976424073803,0.09587217043941411,2008
shape,proj_interception_rate,0.10308976424073803,0.09587217043941411,2008
shape,proj_rush_yards_per_attempt,0.44823546639332257,0.39280958721704395,2008
shape,proj_rush_td_rate,0.44823546639332257,0.39280958721704395,2008
shape,proj_receiving_yards_per_reception,0.815785620149363,0.715046604527297,2008
shape,proj_receiving_td_rate,0.815785620149363,0.715046604527297,2008
shape,proj_catch_rate,0.09562161370625274,0.5179760319573902,2024
causal_stack,causal_provider_stack_global,0.943769219505052,0.9587217043941412,2008
causal_stack,causal_provider_stack_position,0.943769219505052,0.9587217043941412,2008
causal_stack,causal_provider_stack_minus_median,0.943769219505052,0.9587217043941412,2008
causal_stack,causal_provider_weighted_std,0.6186850197686338,0.8668442077230359,2015
causal_stack,causal_provider_eligible_count,1.0,1.0,2006
room_disagreement,projection_room_share_std,0.5958412651925611,0.7456724367509987,2014
room_disagreement,projection_room_share_range,0.9409869673451458,0.952063914780293,2008
room_disagreement,projection_room_rank_std,0.5958412651925611,0.7456724367509987,2014
room_disagreement,projection_room_gap_std,0.5958412651925611,0.7456724367509987,2014
room_disagreement,projection_room_leader_vote_share,0.9409869673451458,0.952063914780293,2008
room_disagreement,projection_room_provider_count,0.943769219505052,0.9587217043941412,2008
active_alignment,projection_active_ppg_std,0.05374139698345292,0.6098535286284953,2025
active_alignment,projection_active_provider_count,0.1108507834236345,0.7576564580559254,2024
active_alignment,projection_active_minus_team_game,0.1108507834236345,0.7576564580559254,2024
active_alignment,projection_projected_games_std,0.05374139698345292,0.6098535286284953,2025
