method,reference,pooled_rmse,reference_rmse,pooled_delta,mean_season_delta,season_wins,season_count,bootstrap_95_low,bootstrap_95_high
no_prior_hybrid,full_prediction,3.1158682682375862,3.1229683424927983,-0.0071000742552120855,-0.007497020549112745,6,9,-0.01690283360816707,0.002045111700459252
limited_history_hybrid,full_prediction,3.1111064726271738,3.1229683424927983,-0.011861869865624541,-0.012357179335403985,5,9,-0.02761190108137754,0.001347025000855417
causal_router_min_25,full_prediction,3.1133111116812002,3.1229683424927983,-0.009657230811598083,-0.009751166676504022,5,9,-0.023363087931154183,0.00134299104861984
causal_router_min_50,full_prediction,3.115770351390395,3.1229683424927983,-0.007197991102403378,-0.0073820771684503204,5,9,-0.01986441887198298,0.002846580120948134
causal_router_min_100,full_prediction,3.1174242521993287,3.1229683424927983,-0.0055440902934695835,-0.005677415664040847,4,9,-0.017855954653890657,0.004385890187652761
