scenario,stage,arm,branch,paths,completion_rate,failures,mean_spend,mean_unused,median_unused,p90_unused,max_unused,cap_legal_rate,position_legal_rate,top_n_legal_rate,mean_bounded_swaps,mean_bounded_rebuilds
early_brown_tuten_gibbs,early,baseline,buy,48,0.9791666666666666,1,257.4468085106383,40.5531914893617,41.0,62.999999999999986,95.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,baseline,pass,48,0.9791666666666666,1,229.95744680851064,68.04255319148936,59.0,104.8,132.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,bounded,buy,48,1.0,0,276.5833333333333,21.416666666666668,21.0,39.300000000000004,60.0,1.0,1.0,1.0,7.291666666666667,0.041666666666666664
early_brown_tuten_gibbs,early,bounded,pass,48,1.0,0,274.4583333333333,23.541666666666668,22.0,38.60000000000001,70.0,1.0,1.0,1.0,9.25,0.041666666666666664
late_cap_squeeze_pitts,late_cap_squeeze,baseline,buy,48,1.0,0,296.5208333333333,1.4791666666666667,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,baseline,pass,48,1.0,0,294.2708333333333,3.7291666666666665,4.0,7.0,10.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,buy,48,1.0,0,296.5208333333333,1.4791666666666667,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,pass,48,0.9791666666666666,1,294.48936170212767,3.5106382978723403,3.0,6.0,8.0,1.0,1.0,1.0,0.851063829787234,0.06382978723404255
middle_balanced_bowers,middle,baseline,buy,48,1.0,0,269.9375,28.0625,28.0,48.60000000000001,58.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,baseline,pass,48,1.0,0,252.39583333333334,45.604166666666664,39.5,73.30000000000001,96.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,bounded,buy,48,1.0,0,283.6666666666667,14.333333333333334,13.0,26.0,43.0,1.0,1.0,1.0,4.645833333333333,0.0625
middle_balanced_bowers,middle,bounded,pass,48,1.0,0,279.3958333333333,18.604166666666668,18.0,33.300000000000004,43.0,1.0,1.0,1.0,5.395833333333333,0.041666666666666664
