scenario,stage,candidate,candidate_price,fixed_count,fixed_spend,variation,arm,recommendation,gain,lcb80,buy_completion,pass_completion,paired_rate,runtime_seconds
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,0,baseline,TARGET,46.92618472287149,40.18393799166429,97.91666666666669,100.0,97.91666666666669,0.8059274999977788
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,0,bounded,TARGET,18.66213834285736,10.748931360391754,100.0,100.0,100.0,1.773867700001574
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,0,baseline,TARGET,11.340054353078203,6.809679509593098,100.0,100.0,100.0,0.7825982000067597
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,0,bounded,WATCH,1.3379764159520466,-3.083075872220655,100.0,100.0,100.0,1.0354851999945822
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,0,baseline,PASS,-8.10080143177148,-10.768086247443351,97.91666666666669,100.0,97.91666666666669,0.5236390999998548
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,0,bounded,PASS,-11.748884305809485,-14.618563323171044,97.91666666666669,100.0,97.91666666666669,0.5106032999974559
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,1,baseline,TARGET,39.97148501873016,33.54550463959846,100.0,100.0,100.0,0.9536380999998072
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,1,bounded,TARGET,14.678375045458475,9.3430667515338,100.0,100.0,100.0,1.4853264999983369
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,1,baseline,PASS,-1.0702840487162273,-5.563195699168591,100.0,100.0,100.0,0.8906216999967
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,1,bounded,PASS,-5.86989152431488,-10.512950860569443,100.0,100.0,100.0,0.9699209000027622
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,1,baseline,PASS,-8.828010866136262,-11.70176167800604,95.83333333333331,100.0,95.83333333333331,0.5165350000024773
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,1,bounded,PASS,-10.089728225361217,-13.096303511796393,95.83333333333331,100.0,95.83333333333331,0.4712502000038512
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,2,baseline,TARGET,13.990533283262542,7.449308447499739,97.91666666666669,97.91666666666669,97.91666666666669,1.0155429000005824
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,2,bounded,PASS,-1.0861571629842122,-6.507229113628936,100.0,100.0,100.0,1.4223312000031
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,2,baseline,TARGET,8.557803750038147,3.4238795797646477,100.0,100.0,100.0,0.7806668999983231
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,2,bounded,PASS,-0.9261993567148848,-5.71071231169041,100.0,100.0,100.0,0.9875709999978426
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,2,baseline,PASS,-9.30551501115163,-12.256343731164211,100.0,100.0,100.0,0.4966818999964744
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,2,bounded,PASS,-9.465778480876576,-12.4543919048822,100.0,97.91666666666669,97.91666666666669,0.5056890999985626
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,14,baseline,TARGET,18.997053514827385,12.702864537628944,97.91666666666669,97.91666666666669,97.91666666666669,0.882037000003038
early_brown_tuten_gibbs,early,Jahmyr Gibbs,110,2,45.0,14,bounded,WATCH,0.6571534872055053,-4.813414953597223,100.0,100.0,100.0,1.512329100005445
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,14,baseline,TARGET,21.12437816460928,16.471611498559714,100.0,100.0,100.0,0.7367204999973183
middle_balanced_bowers,middle,Brock Bowers,51,6,169.0,14,bounded,TARGET,4.4290434916814165,0.3047805986443519,100.0,100.0,100.0,1.0681130999946618
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,14,baseline,PASS,-5.606174638777069,-10.212607062909,97.91666666666669,100.0,97.91666666666669,0.5143874000059441
late_cap_squeeze_pitts,late_cap_squeeze,Kyle Pitts,11,7,274.0,14,bounded,PASS,-7.197956594553861,-12.106656851365742,97.91666666666669,100.0,97.91666666666669,0.5067456000033417
