scenario,stage,arm,branch,paths,completion_rate,failures,mean_spend,mean_unused,median_unused,p90_unused,max_unused,cap_legal_rate,position_legal_rate,top_n_legal_rate,mean_bounded_swaps,mean_bounded_rebuilds
early_brown_tuten_gibbs,early,baseline,buy,192,0.984375,3,253.37566137566137,44.62433862433863,44.0,66.40000000000003,95.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,baseline,pass,192,0.9895833333333334,2,222.52105263157895,75.47894736842105,71.5,120.1,160.0,1.0,1.0,1.0,0.0,0.0
early_brown_tuten_gibbs,early,bounded,buy,192,1.0,0,276.1927083333333,21.807291666666668,20.5,40.0,77.0,1.0,1.0,1.0,7.645833333333333,0.03125
early_brown_tuten_gibbs,early,bounded,pass,192,1.0,0,272.421875,25.578125,25.0,42.900000000000006,81.0,1.0,1.0,1.0,9.791666666666666,0.15104166666666666
late_cap_squeeze_pitts,late_cap_squeeze,baseline,buy,192,0.9791666666666666,4,296.5691489361702,1.4308510638297873,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,baseline,pass,192,1.0,0,294.2083333333333,3.7916666666666665,4.0,7.0,11.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,buy,192,0.9791666666666666,4,296.5691489361702,1.4308510638297873,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,bounded,pass,192,0.9947916666666666,1,294.4083769633508,3.5916230366492146,3.0,6.0,11.0,1.0,1.0,1.0,0.9895287958115183,0.05759162303664921
middle_balanced_bowers,middle,baseline,buy,192,1.0,0,270.3333333333333,27.666666666666668,26.0,43.900000000000006,58.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,baseline,pass,192,1.0,0,252.96354166666666,45.036458333333336,41.0,74.0,102.0,1.0,1.0,1.0,0.0,0.0
middle_balanced_bowers,middle,bounded,buy,192,1.0,0,282.2395833333333,15.760416666666666,15.0,27.900000000000006,53.0,1.0,1.0,1.0,4.489583333333333,0.041666666666666664
middle_balanced_bowers,middle,bounded,pass,192,1.0,0,277.3020833333333,20.697916666666668,20.0,35.0,66.0,1.0,1.0,1.0,5.916666666666667,0.06770833333333333
