scenario,stage,branch,completion_rate_baseline,completion_rate_bounded,mean_unused_baseline,mean_unused_bounded,completion_delta,unused_delta
early_brown_tuten_gibbs,early,buy,0.9791666666666666,1.0,44.340425531914896,21.104166666666668,0.02083333333333337,-23.236258865248228
early_brown_tuten_gibbs,early,pass,0.9791666666666666,1.0,70.40425531914893,22.666666666666668,0.02083333333333337,-47.73758865248226
late_cap_squeeze_pitts,late_cap_squeeze,buy,0.9791666666666666,0.9791666666666666,1.3617021276595744,1.3617021276595744,0.0,0.0
late_cap_squeeze_pitts,late_cap_squeeze,pass,1.0,1.0,3.7916666666666665,3.625,0.0,-0.16666666666666652
middle_balanced_bowers,middle,buy,1.0,1.0,23.770833333333332,12.8125,0.0,-10.958333333333332
middle_balanced_bowers,middle,pass,1.0,1.0,47.25,19.145833333333332,0.0,-28.104166666666668
