season,position,source,source_table,source_position_depth,source_max_overall_rank,season_position_median_source_depth,is_shallow_source
2014,QB,fantasydata,FantasyData,89,639.0,89.0,True
2014,RB,fantasydata,FantasyData,139,639.0,139.0,True
2014,TE,fantasydata,FantasyData,122,639.0,122.0,True
2014,WR,fantasydata,FantasyData,227,639.0,227.0,True
2015,QB,fantasydata,FantasyData,120,857.0,120.0,True
2015,RB,fantasydata,FantasyData,190,704.0,190.0,True
2015,TE,fantasydata,FantasyData,157,704.0,157.0,True
2015,WR,fantasydata,FantasyData,274,704.0,274.0,True
2016,QB,fantasydata,FantasyData,107,676.0,71.5,False
2016,QB,ffa_projection,FFA_Projections,36,646.0,71.5,True
2016,RB,fantasydata,FantasyData,174,781.0,123.0,False
2016,RB,ffa_projection,FFA_Projections,72,297.0,123.0,True
2016,TE,fantasydata,FantasyData,146,676.0,91.0,False
2016,TE,ffa_projection,FFA_Projections,36,247.0,91.0,True
2016,WR,fantasydata,FantasyData,261,783.0,166.5,False
2016,WR,ffa_projection,FFA_Projections,72,257.0,166.5,True
2017,QB,fantasydata,FantasyData,138,599.0,87.0,False
2017,QB,ffa_projection,FFA_Projections,36,625.0,87.0,True
2017,RB,fantasydata,FantasyData,242,599.0,157.0,False
2017,RB,ffa_projection,FFA_Projections,72,257.0,157.0,True
2017,TE,fantasydata,FantasyData,223,1168.0,129.5,False
2017,TE,ffa_projection,FFA_Projections,36,227.0,129.5,True
2017,WR,fantasydata,FantasyData,430,599.0,251.0,False
2017,WR,ffa_projection,FFA_Projections,72,230.0,251.0,True
2018,QB,fantasydata,FantasyData,138,2327.0,87.0,False
2018,QB,ffa_projection,FFA_Projections,36,680.0,87.0,True
2018,RB,fantasydata,FantasyData,244,1734.0,158.5,False
2018,RB,ffa_projection,FFA_Projections,73,324.0,158.5,True
2018,TE,fantasydata,FantasyData,225,1734.0,130.0,False
2018,TE,ffa_projection,FFA_Projections,35,241.0,130.0,True
2018,WR,fantasydata,FantasyData,435,1734.0,253.5,False
2018,WR,ffa_projection,FFA_Projections,72,251.0,253.5,True
2019,QB,fantasydata,FantasyData,121,2042.0,79.0,False
2019,QB,ffa_projection,FFA_Projections,37,675.0,79.0,True
2019,RB,fantasydata,FantasyData,203,1723.0,137.5,False
2019,RB,ffa_projection,FFA_Projections,72,341.0,137.5,True
2019,TE,fantasydata,FantasyData,169,1723.0,102.0,False
2019,TE,ffa_projection,FFA_Projections,35,214.0,102.0,True
2019,WR,fantasydata,FantasyData,336,1723.0,203.5,False
2019,WR,ffa_projection,FFA_Projections,71,245.0,203.5,True
2020,QB,fantasydata,FantasyData,119,1877.0,78.0,False
2020,QB,ffa_projection,FFA_Projections,37,620.0,78.0,True
2020,RB,fantasydata,FantasyData,197,2130.0,134.5,False
2020,RB,ffa_projection,FFA_Projections,72,282.0,134.5,True
2020,TE,fantasydata,FantasyData,161,1877.0,98.0,False
2020,TE,ffa_projection,FFA_Projections,35,246.0,98.0,True
