variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
incumbent,controlled_equal_thirds,pooled,all,3622,9,2.8834481499708815
incumbent,controlled_equal_thirds,recent,2023_2025,1226,3,2.8924142206078898
incumbent,controlled_equal_thirds,source_era,2017_2023,2800,7,2.8897246987042293
incumbent,controlled_equal_thirds,source_era,2024_2025,822,2,2.861964878093618
incumbent,controlled_equal_thirds,season,2017,402,1,2.8826710890706955
incumbent,controlled_equal_thirds,season,2018,365,1,2.9906816640540232
incumbent,controlled_equal_thirds,season,2019,385,1,2.9124222269816173
incumbent,controlled_equal_thirds,season,2020,409,1,3.099183717520084
incumbent,controlled_equal_thirds,season,2021,413,1,2.799852535953403
incumbent,controlled_equal_thirds,season,2022,422,1,2.5853668401537617
incumbent,controlled_equal_thirds,season,2023,404,1,2.953399062463936
incumbent,controlled_equal_thirds,season,2024,406,1,2.976844752047048
incumbent,controlled_equal_thirds,season,2025,416,1,2.7452149877130987
incumbent,controlled_equal_thirds,position,QB,306,8,3.966690339445127
incumbent,controlled_equal_thirds,position,RB,1011,9,3.309166069685525
incumbent,controlled_equal_thirds,position,TE,802,9,2.004791825237457
incumbent,controlled_equal_thirds,position,WR,1503,9,2.705932608397309
incumbent,controlled_equal_thirds,history_depth,other_no_history,23,7,2.08345865504599
incumbent,controlled_equal_thirds,history_depth,rookie,518,9,3.2349805091399424
incumbent,controlled_equal_thirds,history_depth,second_year,558,9,2.9440253176259996
incumbent,controlled_equal_thirds,history_depth,veteran_with_history,2523,9,2.798362648767615
incumbent,controlled_equal_thirds,rank_availability,available,3577,9,2.892271764955328
incumbent,controlled_equal_thirds,rank_availability,unavailable,45,9,2.0647766338084415
incumbent,controlled_equal_thirds,coverage_band,complete,1602,9,3.3631751818730273
incumbent,controlled_equal_thirds,coverage_band,partial_high,1634,9,2.51662357751366
incumbent,controlled_equal_thirds,coverage_band,partial_low,341,2,2.064605564789523
incumbent,controlled_equal_thirds,coverage_band,unavailable,45,9,2.0647766338084415
incumbent,controlled_equal_thirds,coverage_completeness,complete,1602,9,3.3631751818730273
incumbent,controlled_equal_thirds,coverage_completeness,incomplete_or_unavailable,2020,9,2.4367402416885198
incumbent,controlled_equal_thirds,shallow_omission,no_omission,1602,9,3.3631751818730273
incumbent,controlled_equal_thirds,shallow_omission,omission,2020,9,2.4367402416885198
incumbent,equal_thirds,pooled,all,3622,9,2.8812865840264403
incumbent,equal_thirds,recent,2023_2025,1226,3,2.885716974343665
incumbent,equal_thirds,source_era,2017_2023,2800,7,2.8895065746601354
incumbent,equal_thirds,source_era,2024_2025,822,2,2.8531088929381716
incumbent,equal_thirds,season,2017,402,1,2.8822362114075073
incumbent,equal_thirds,season,2018,365,1,2.9922139570734583
incumbent,equal_thirds,season,2019,385,1,2.9134293029378995
incumbent,equal_thirds,season,2020,409,1,3.1032815614497378
incumbent,equal_thirds,season,2021,413,1,2.795645477342213
incumbent,equal_thirds,season,2022,422,1,2.5840098093178496
incumbent,equal_thirds,season,2023,404,1,2.9509509372232445
incumbent,equal_thirds,season,2024,406,1,2.9707426930564838
incumbent,equal_thirds,season,2025,416,1,2.733425849354299
incumbent,equal_thirds,position,QB,306,8,3.9643647281423324
incumbent,equal_thirds,position,RB,1011,9,3.303064756882298
incumbent,equal_thirds,position,TE,802,9,2.006156074747048
incumbent,equal_thirds,position,WR,1503,9,2.705552621690072
incumbent,equal_thirds,history_depth,other_no_history,23,7,2.1005083390406187
incumbent,equal_thirds,history_depth,rookie,518,9,3.2393550534353284
incumbent,equal_thirds,history_depth,second_year,558,9,2.9382685802352606
incumbent,equal_thirds,history_depth,veteran_with_history,2523,9,2.7953477253581283
incumbent,equal_thirds,rank_availability,available,3577,9,2.889719852415122
incumbent,equal_thirds,rank_availability,unavailable,45,9,2.1055193351696833
incumbent,equal_thirds,coverage_band,complete,1602,9,3.358197070423677
incumbent,equal_thirds,coverage_band,partial_high,1634,9,2.5163296002566793
incumbent,equal_thirds,coverage_band,partial_low,341,2,2.0669060318318317
incumbent,equal_thirds,coverage_band,unavailable,45,9,2.1055193351696833
incumbent,equal_thirds,coverage_completeness,complete,1602,9,3.358197070423677
incumbent,equal_thirds,coverage_completeness,incomplete_or_unavailable,2020,9,2.4376004026623033
incumbent,equal_thirds,shallow_omission,no_omission,1602,9,3.358197070423677
incumbent,equal_thirds,shallow_omission,omission,2020,9,2.4376004026623033
incumbent,lasso,pooled,all,3622,9,2.92867408639592
incumbent,lasso,recent,2023_2025,1226,3,2.909750965394049
incumbent,lasso,source_era,2017_2023,2800,7,2.943610018115041
incumbent,lasso,source_era,2024_2025,822,2,2.8772156233561548
incumbent,lasso,season,2017,402,1,2.921051868052364
incumbent,lasso,season,2018,365,1,3.0661876996631396
incumbent,lasso,season,2019,385,1,3.0485204576426366
incumbent,lasso,season,2020,409,1,3.161093172190865
incumbent,lasso,season,2021,413,1,2.8533368803955845
incumbent,lasso,season,2022,422,1,2.574596814763209
incumbent,lasso,season,2023,404,1,2.9748507764596157
incumbent,lasso,season,2024,406,1,2.969772867976992
incumbent,lasso,season,2025,416,1,2.783917700169079
incumbent,lasso,position,QB,306,8,4.054876626781752
incumbent,lasso,position,RB,1011,9,3.3563261092328944
incumbent,lasso,position,TE,802,9,2.039683728843499
incumbent,lasso,position,WR,1503,9,2.7431284446563535
incumbent,lasso,history_depth,other_no_history,23,7,1.9340396093651966
incumbent,lasso,history_depth,rookie,518,9,3.29292042769957
incumbent,lasso,history_depth,second_year,558,9,2.9688793962134548
incumbent,lasso,history_depth,veteran_with_history,2523,9,2.8466660091112077
incumbent,lasso,rank_availability,available,3577,9,2.937420342361364
incumbent,lasso,rank_availability,unavailable,45,9,2.1210483458462144
incumbent,lasso,coverage_band,complete,1602,9,3.3927061294184466
incumbent,lasso,coverage_band,partial_high,1634,9,2.5833331041092737
incumbent,lasso,coverage_band,partial_low,341,2,2.110924207641013
incumbent,lasso,coverage_band,unavailable,45,9,2.1210483458462144
incumbent,lasso,coverage_completeness,complete,1602,9,3.3927061294184466
incumbent,lasso,coverage_completeness,incomplete_or_unavailable,2020,9,2.5001606917427153
incumbent,lasso,shallow_omission,no_omission,1602,9,3.3927061294184466
incumbent,lasso,shallow_omission,omission,2020,9,2.5001606917427153
incumbent,lightgbm,pooled,all,3622,9,2.917700927869607
incumbent,lightgbm,recent,2023_2025,1226,3,2.9152546539667283
incumbent,lightgbm,source_era,2017_2023,2800,7,2.9274847178682566
incumbent,lightgbm,source_era,2024_2025,822,2,2.884125083399136
incumbent,lightgbm,season,2017,402,1,2.9453223293612876
incumbent,lightgbm,season,2018,365,1,3.0370408558377573
incumbent,lightgbm,season,2019,385,1,2.974886945886401
incumbent,lightgbm,season,2020,409,1,3.1031405054475187
incumbent,lightgbm,season,2021,413,1,2.822878634934764
incumbent,lightgbm,season,2022,422,1,2.6322426400108303
incumbent,lightgbm,season,2023,404,1,2.9775879777772496
incumbent,lightgbm,season,2024,406,1,3.009914295780357
incumbent,lightgbm,season,2025,416,1,2.755828949479369
incumbent,lightgbm,position,QB,306,8,4.036046205534536
incumbent,lightgbm,position,RB,1011,9,3.330247675339487
incumbent,lightgbm,position,TE,802,9,2.056177804382285
incumbent,lightgbm,position,WR,1503,9,2.735400984236496
incumbent,lightgbm,history_depth,other_no_history,23,7,2.2784984657272522
incumbent,lightgbm,history_depth,rookie,518,9,3.2533835916139973
incumbent,lightgbm,history_depth,second_year,558,9,2.986756098380045
incumbent,lightgbm,history_depth,veteran_with_history,2523,9,2.8333325631653605
incumbent,lightgbm,rank_availability,available,3577,9,2.925000990491304
