lock_version,model_run_id,forecast_origin,position,history_group,prior_rows,primary_rmse,projection_only_rmse,selected_source
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2024,WR,limited_history,369,3.0255234604901835,3.0268572282145234,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2024,TE,limited_history,164,2.1452247242496547,2.168140809796937,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2025,QB,limited_history,84,5.354930783853503,5.298553826372029,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2025,RB,limited_history,313,3.6207377661878706,3.69160171056593,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2025,WR,limited_history,421,3.0292932553613148,3.035750246622312,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2025,TE,limited_history,189,2.220319552858639,2.221875707289212,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2026,QB,limited_history,97,5.206683399076592,5.159438535424382,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2026,RB,limited_history,349,3.5934307076663714,3.648749600259314,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2026,WR,limited_history,473,2.985665831949243,2.9776960938863763,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2026,TE,limited_history,206,2.2334422826376086,2.245194631058207,conditional_ppg_primary_blend
