variant,season,lasso_weight,tree_weight,prior_rows,prior_seasons
incumbent,2017,0.0,1.0,0,0
incumbent,2018,0.0,1.0,407,1
incumbent,2019,0.2449582381928788,0.7550417618071212,812,2
incumbent,2020,0.252069446872697,0.747930553127303,1199,3
incumbent,2021,0.29173045007426857,0.7082695499257314,1618,4
incumbent,2022,0.28506201349716526,0.7149379865028347,2035,5
incumbent,2023,0.3388323663976393,0.6611676336023606,2460,6
incumbent,2024,0.3600956227735765,0.6399043772264235,2873,7
incumbent,2025,0.34982755420949785,0.6501724457905022,3280,8
gap_raw,2017,0.0,1.0,0,0
gap_raw,2018,0.0,1.0,407,1
gap_raw,2019,0.2640560458070753,0.7359439541929247,812,2
gap_raw,2020,0.2519422905591901,0.7480577094408098,1199,3
gap_raw,2021,0.25763826990192523,0.7423617300980747,1618,4
gap_raw,2022,0.2591201901872774,0.7408798098127226,2035,5
gap_raw,2023,0.3137705897793691,0.6862294102206309,2460,6
gap_raw,2024,0.3411464314546423,0.6588535685453577,2873,7
gap_raw,2025,0.3369096427756675,0.6630903572243325,3280,8
gap_shrunk,2017,0.0,1.0,0,0
gap_shrunk,2018,0.0,1.0,407,1
gap_shrunk,2019,0.2540107039028488,0.7459892960971513,812,2
gap_shrunk,2020,0.2450142383372561,0.7549857616627439,1199,3
gap_shrunk,2021,0.2410172857629592,0.7589827142370408,1618,4
gap_shrunk,2022,0.251056344600999,0.748943655399001,2035,5
gap_shrunk,2023,0.3066951563173433,0.6933048436826568,2460,6
gap_shrunk,2024,0.3333585544884695,0.6666414455115305,2873,7
gap_shrunk,2025,0.3309572913992798,0.6690427086007202,3280,8
