period,scope,scope_value,n_rows,mean_bull_gap_ppg,mean_residual,mean_absolute_error,plus3_rate,plus5_rate,spearman_gap_residual,spearman_gap_absolute_error
full_2017_2025,all,all,3073,0.6803692601181087,-0.12094870751860715,2.5225701294014096,0.15619915392124958,0.07061503416856492,0.0444892507964054,0.02890265096616799
full_2017_2025,position,QB,369,0.8328289444379329,0.10718085825606032,2.7095418332963077,0.1897018970189702,0.08672086720867209,0.10795095201245783,0.06262813715093672
full_2017_2025,position,RB,837,0.7187364682733246,0.009339597532857812,2.8211927153745493,0.1911589008363202,0.08960573476702509,-0.00987599068808823,0.0010036710254153383
full_2017_2025,position,TE,571,0.5280777895487948,-0.1767173696259798,1.8843507876029413,0.0893169877408056,0.043782837127845885,-0.014784644113128341,0.07611722900755942
full_2017_2025,position,WR,1296,0.6792793318427597,-0.24547587961399198,2.5576654850882843,0.15354938271604937,0.06558641975308642,0.08445216130701824,-0.02414732187976601
full_2017_2025,quartile,Q1,817,0.277251035989596,-0.16051143864407177,2.699988539424348,0.17747858017135862,0.08078335373317014,0.001681677468406205,0.09087171239698887
full_2017_2025,quartile,Q2,891,0.5466590838986801,0.06322634092033536,2.6879340310721647,0.186307519640853,0.08417508417508418,0.0784654139130361,0.12792792797377875
full_2017_2025,quartile,Q3,719,0.7823665683849464,-0.37153196837550634,2.394159711923098,0.12100139082058414,0.055632823365785816,0.1067604921722758,0.04799548144733155
full_2017_2025,quartile,Q4,646,1.261092621543263,-0.0460382621215215,2.2130299015214137,0.12693498452012383,0.05572755417956656,0.036915807301053184,0.13883017962131422
recent_2023_2025,all,all,1170,0.7276516868902247,-0.25989823642167054,2.4412449838703556,0.14188034188034188,0.06581196581196581,0.011069734709950542,0.0682200657879259
recent_2023_2025,position,QB,129,0.9161926052691167,-0.0431505915143619,2.5715277933794254,0.17054263565891473,0.08527131782945736,0.09995527728085869,0.07893559928443651
recent_2023_2025,position,RB,299,0.7822191387232553,-0.10141122871107724,2.844131423542558,0.19732441471571907,0.09364548494983277,0.047230365199434354,0.07037956499292945
recent_2023_2025,position,TE,262,0.5633142231548222,-0.11370801164414705,1.7478905217618643,0.0916030534351145,0.026717557251908396,-0.009226295626458969,0.15689039641210364
recent_2023_2025,position,WR,480,0.732691205493813,-0.4966688622346317,2.533722778003202,0.12708333333333333,0.06458333333333334,-0.007831902694670517,-0.04143296090241715
recent_2023_2025,quartile,Q1,319,0.3788954700272503,-0.20153734985434257,2.675123944362977,0.1724137931034483,0.07836990595611286,-0.01489046834248287,0.1229124884397452
recent_2023_2025,quartile,Q2,348,0.6169049786591496,0.03180681232942335,2.5709818152481145,0.1925287356321839,0.08045977011494253,0.07187270851747962,0.12494765249327922
recent_2023_2025,quartile,Q3,266,0.8158157210023899,-0.6164758887173406,2.4088891973420448,0.09398496240601503,0.05639097744360902,-0.0012060041985395968,0.14574734483016955
recent_2023_2025,quartile,Q4,237,1.2607379930921958,-0.36656838101960315,1.9722611589755226,0.08016877637130802,0.0379746835443038,0.04640328562233734,0.1976205199951682
