PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Jahmyr Gibbs,RB,DET,106.3450512528,,0,0,0,0,0,255,1266.5,12.9,,80.3,63.5,511.3,3.1,305.5
Bijan Robinson,RB,ATL,102.4274578093,,0,0,0,0,0,269.1,1289.5,8.5,,93.2,71.5,655.8,3.2,300.5
Christian McCaffrey,RB,SF,91.4166579225,,0,0,0,0,0,252.9,1039.4,9,,91.5,73.2,638.1,4.7,286.6
Ja'Marr Chase,WR,CIN,83.4453582188,,0,0,0,0,0,3.6,18.1,0.1,,165.4,114.5,1452.1,10.8,269.7
Jonathan Taylor,RB,IND,77.9547891248,,0,0,0,0,0,296,1378.5,11.7,,52.4,42.5,317.8,1.3,268.9
Puka Nacua,WR,LAR,76.4707993649,,0,0,0,0,0,13.5,87.5,0.7,,155.1,109.7,1399.6,8.7,260
Jaxon Smith-Njigba,WR,SEA,72.8390820912,,0,0,0,0,0,5,24,0.1,,153.1,107.9,1452.1,8.8,255
Amon-Ra St. Brown,WR,DET,66.0846269567,,0,0,0,0,0,2,13.5,0.1,,154.2,109,1317.6,9.6,245.8
Ashton Jeanty,RB,LV,60.7164052345,,0,0,0,0,0,275.2,1127,7.6,,81,60.5,445.7,2.3,246.9
James Cook III,RB,BUF,57.6689004178,,0,0,0,0,0,270.2,1284.7,10.3,,40.6,31.8,260.9,1.8,243.1
Saquon Barkley,RB,PHI,56.9890009084,,0,0,0,0,0,277.5,1220.8,8.8,,56.9,41.5,339.9,2.1,242.2
Justin Jefferson,WR,MIN,54.8202682598,,0,0,0,0,0,2.6,14.7,0.1,,154.5,103.3,1309.7,7.5,229.7
Kenneth Walker III,RB,KC,54.0284684769,,0,0,0,0,0,260.8,1158,8.7,,58.4,46.7,355.1,1.9,238.3
Omarion Hampton,RB,LAC,50.6690968266,,0,0,0,0,0,240.1,1039.5,8.8,,64.1,52,370.7,2.3,233.6
CeeDee Lamb,WR,DAL,49.1676561116,,0,0,0,0,0,3.9,24,0.1,,143.8,94.1,1243.4,7.9,221.8
Chase Brown,RB,CIN,48.9408177799,,0,0,0,0,0,232.9,997.1,7.1,,72.7,58.2,406.3,3.2,231.2
De'Von Achane,RB,MIA,47.4624650788,,0,0,0,0,0,226.1,1097.4,5,,72.8,58.6,437.7,2.7,229
Derrick Henry,RB,BAL,47.2603379255,,0,0,0,0,0,270.9,1280,11.8,,22.7,17.1,165.3,0.8,228.7
Jeremiyah Love,RB,ARZ,45.706309601,,0,0,0,0,0,234.3,1022.8,6.5,,77.7,58.7,437.3,2,226.4
Kyren Williams,RB,LAR,45.1430370736,,0,0,0,0,0,240.9,1109.4,10.8,,43.7,32,223.7,1.9,225.5
Malik Nabers,WR,NYG,44.0028034721,,0,0,0,0,0,3.9,21.5,0.1,,143.9,91.2,1189,7.9,214.7
Breece Hall,RB,NYJ,40.5333150428,,0,0,0,0,0,236.3,1022.6,6.6,,57.9,47.1,377.5,2.5,218.2
Josh Jacobs,RB,GB,38.4824457912,,0,0,0,0,0,243.7,1013.3,11,,40.2,30.8,241.7,1.3,214.7
A.J. Brown,WR,NE,36.9643012266,,0,0,0,0,0,1,4.1,0.1,,127.3,84.2,1193.9,7,204.5
Javonte Williams,RB,DAL,34.5684288062,,0,0,0,0,0,244.3,1072.1,9.4,,43.4,31.5,197,1.5,208.1
Nico Collins,WR,HOU,33.084806494,,0,0,0,0,0,2,10,0.1,,129.8,82.5,1159.4,6.7,199
Drake London,WR,ATL,29.7859720389,,0,0,0,0,0,0,0,0,,137.1,88,1107.8,6.6,194.4
Josh Allen,QB,BUF,29.0950371862,,325.1,487.7,3743.5,25.5,11.3,104.5,540.5,11.1,,0,0,0,0,361.1
George Pickens,WR,DAL,28.2446094205,,0,0,0,0,0,1,4.1,0,,118.3,75.7,1076.3,7.7,192.1
DeVonta Smith,WR,PHI,26.961458561,,0,0,0,0,0,1,4.1,0,,121,85.1,1088.5,6.4,190.2
Cam Skattebo,RB,NYG,26.6448636803,,0,0,0,0,0,220.5,926.5,6.6,,53,42.5,307.7,1.8,195.1
Travis Etienne Jr.,RB,NO,25.7370530107,,0,0,0,0,0,231.4,987.9,5.4,,52.7,39.5,317.8,1.8,193.5
Chris Olave,WR,NO,25.4637449164,,0,0,0,0,0,0,0,0,,134.8,85.5,1104,5.8,188
Zay Flowers,WR,BAL,23.9521940863,,0,0,0,0,0,10.5,56.6,0.3,,109.3,76.6,1062.5,5.6,185.6
Rashee Rice,WR,KC,22.9362134398,,0,0,0,0,0,5.4,28.6,0.5,,113.5,79.6,945.7,7.3,184
Emeka Egbuka,WR,TB,21.7204799753,,0,0,0,0,0,1.1,6.4,0,,129.1,70.6,1035.6,7.1,182.1
Ladd McConkey,WR,LAC,21.310925103,,0,0,0,0,0,1.6,7.8,0.1,,124,81.3,1021.4,6.2,181.4
Jaylen Waddle,WR,DEN,21.1350231931,,0,0,0,0,0,2.7,15.9,0.1,,122.7,79.4,1007.8,6.4,181.1
Quinshon Judkins,RB,CLE,20.882493927,,0,0,0,0,0,271.2,1054.6,6.8,,36,28.1,193.4,0.9,185.1
Brock Bowers,TE,LV,19.8082097232,,0,0,0,0,0,3.6,14.8,0.1,,129.1,93.7,980.4,7.3,190.8
Bucky Irving,RB,TB,18.8561236652,,0,0,0,0,0,221.1,905,5.5,,43.8,35.6,292.3,1.8,181.3
Trey McBride,TE,ARZ,18.0528500166,,0,0,0,0,0,0,0,0,,140.4,101.5,1003.7,5.8,185.9
Tee Higgins,WR,CIN,17.6853017263,,0,0,0,0,0,1,4.1,0,,108.9,69.8,926.1,7.9,175.3
Tetairoa McMillan,WR,CAR,16.8674725297,,0,0,0,0,0,1,3.8,0,,122.8,72.8,1010.3,6,173.8
Bhayshul Tuten,RB,JAX,16.7944729762,,0,0,0,0,0,220.2,921.7,6.6,,42.6,32.2,236.1,1,177.5
Luther Burden III,WR,CHI,16.3187210384,,0,0,0,0,0,8.7,47.2,0.2,,114.6,76.1,958.1,5.5,172.8
Garrett Wilson,WR,NYJ,16.1535205366,,0,0,0,0,0,2.3,11.7,0,,127.3,85.1,1017.3,4.5,172.5
Jameson Williams,WR,DET,15.6131789742,,0,0,0,0,0,6.5,41.9,0.7,,98.4,61.8,960.8,6,171.4
Jadarian Price,RB,SEA,15.4714591794,,0,0,0,0,0,220.8,924.2,7.2,,35.7,27,202.8,0.9,174.8
Terry McLaurin,WR,WAS,14.3735958128,,0,0,0,0,0,1,4,0,,110.6,75.3,984.1,5.4,168.9
D'Andre Swift,RB,CHI,14.0798128565,,0,0,0,0,0,195.7,875.9,6.8,,38.9,28.4,240.3,0.9,172
TreVeyon Henderson,RB,NE,13.6781506167,,0,0,0,0,0,174.2,757.9,6.1,,46.3,38.3,282.1,1.9,171.2
Mike Evans,WR,SF,13.2682294814,,0,0,0,0,0,0,0,0,,112.1,63.7,940.7,6.8,166.7
Christian Watson,WR,GB,13.1353519189,,0,0,0,0,0,2.7,16.3,0.1,,103.2,60.4,901.9,7.3,166.4
David Montgomery,RB,HOU,11.9869867743,,0,0,0,0,0,203.5,842.3,6.6,,36.5,30.8,221.8,1,167.4
Jaylen Warren,RB,PIT,11.2632482722,,0,0,0,0,0,173.7,755.4,4.2,,56.1,45.3,322.2,1.7,165.8
Tony Pollard,RB,TEN,10.6760163596,,0,0,0,0,0,217,931,5.5,,39,30,196.3,0.6,164.3
Davante Adams,WR,LAR,10.6563500021,,0,0,0,0,0,0,0,0,,103.9,57,801.7,8.7,160.9
Rhamondre Stevenson,RB,NE,10.0435812168,,0,0,0,0,0,157.9,674.6,6.3,,43.7,35.3,283.9,1.9,162.7
Lamar Jackson,QB,BAL,9.6982040426,,290.4,447.7,3584.5,25.1,10.1,119.9,641,3.8,,0,0,0,0,320.6
DJ Moore,WR,BUF,9.4511787414,,0,0,0,0,0,6,30.5,0.1,,102.3,64.1,853.9,6.2,158.3
Chuba Hubbard,RB,CAR,9.3440163949,,0,0,0,0,0,196.3,803,4.5,,45.3,35.8,258,1.6,160.6
Colston Loveland,TE,CHI,9.2164871847,,0,0,0,0,0,0,0,0,,110.2,74.7,851.3,5.9,157.9
Drake Maye,QB,NE,8.6625370088,,340.5,499.5,3915.9,25.9,10.8,88.2,473.5,3.6,,0,0,0,0,318.4
Rome Odunze,WR,CHI,8.31491675,,0,0,0,0,0,1.4,7.2,0,,112.9,56.5,863.3,6.7,155.5
Rico Dowdle,RB,PIT,8.2601608064,,0,0,0,0,0,194.6,846.7,4.8,,41.8,30.3,221.6,1.1,157.4
Jayden Daniels,QB,WAS,7.8405159227,,327.6,491.1,3646.3,21.8,10.9,120.9,648.7,4.9,,0,0,0,0,316.4
Parker Washington,WR,JAX,7.6118530504,,0,0,0,0,0,4.3,21.1,0,,111,65.8,864.2,5.4,153.8
Jonathon Brooks,RB,CAR,7.3610083354,,0,0,0,0,0,178.4,755.6,4.7,,45.2,35.1,256.7,1.3,154.8
Blake Corum,RB,LAR,6.3414401664,,0,0,0,0,0,169.1,780,7.3,,24.3,18.8,133.7,1.1,151.2
Tyler Warren,TE,IND,6.1614867753,,0,0,0,0,0,5.5,18,0.1,,101.1,76.5,796.6,4.8,149.1
