league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games
beta,production,1,Zay Flowers,2025,0.3051700953775981,0.04771806215786429,11.285747111762042,15.0
beta,production,2,Gabriel Davis,2022,0.40116923640060614,0.031165552897676613,11.635011971204257,14.0
beta,production,3,Terrelle Pryor,2017,0.4197124040979917,0.022250193537416238,11.688733230279823,8.0
beta,production,4,Keenan Allen,2015,0.4344431269692065,0.0190819620952571,13.1525,8.0
beta,production,5,Kenny Golladay,2019,0.4485045529397557,0.02318683901630232,11.908842647033422,15.0
beta,production,6,Chris Godwin,2019,0.46034476371928695,0.022493124886894388,11.510304758180384,14.0
beta,production,7,Stefon Diggs,2017,0.4986754648770809,0.018175870551136272,11.823189665647813,13.0
beta,production,8,Cooper Kupp,2019,0.5074800212152871,0.01995282596395763,11.442291050608773,15.0
beta,production,9,Diontae Johnson,2021,0.5077078095733143,0.022383421369820397,12.792722752163899,14.0
beta,production,10,Jeremy Maclin,2011,0.5484521508131335,0.0113431920201068,12.40625,12.0
beta,production,11,Jerry Jeudy,2022,0.5511448909129222,0.0212702354968334,11.369407888708215,13.0
beta,production,12,Percy Harvin,2011,0.5813398655177784,0.010457608002428375,11.84375,15.0
beta,ppg225_wr,1,Zay Flowers,2025,0.32685621692211536,0.04999999999999999,11.285747111762042,15.0
beta,ppg225_wr,2,Gabriel Davis,2022,0.44905022240328957,0.03195513053321122,11.635011971204257,14.0
beta,ppg225_wr,3,Terrelle Pryor,2017,0.4716224845313425,0.022579852957431295,11.688733230279823,8.0
beta,ppg225_wr,4,Chris Godwin,2019,0.4988727087451799,0.02362928516081215,11.510304758180384,14.0
beta,ppg225_wr,5,Kenny Golladay,2019,0.5169228396296266,0.022564172289080732,11.908842647033422,15.0
beta,ppg225_wr,6,Cooper Kupp,2019,0.5409069381733093,0.02123127521273466,11.442291050608773,15.0
beta,ppg225_wr,7,Stefon Diggs,2017,0.5606697779630312,0.017995774918581595,11.823189665647813,13.0
beta,ppg225_wr,8,Jerry Jeudy,2022,0.5791055707284025,0.022937757689378446,11.369407888708215,13.0
beta,ppg225_wr,9,Keenan Allen,2015,0.5961357151315707,0.01467398812960273,13.1525,8.0
beta,ppg225_wr,10,Jamison Crowder,2017,0.6081586543003048,0.015988181813025266,11.199566640663297,14.0
beta,ppg225_wr,11,Tyler Boyd,2019,0.6242417289785862,0.017249679912589976,10.999605518635045,15.0
beta,ppg225_wr,12,Christian Watson,2023,0.6366839577283838,0.02108153482267616,11.2096392854494,9.0
beta,ypr050_wr,1,Zay Flowers,2025,0.360195736839695,0.048879604434810965,11.285747111762042,15.0
beta,ypr050_wr,2,Terrelle Pryor,2017,0.4337061477807426,0.025413139166292505,11.688733230279823,8.0
beta,ypr050_wr,3,Chris Godwin,2019,0.48458702448041246,0.025029898949793603,11.510304758180384,14.0
beta,ypr050_wr,4,Gabriel Davis,2022,0.4984144540577039,0.02873667809062761,11.635011971204257,14.0
beta,ypr050_wr,5,Kenny Golladay,2019,0.5073497213063121,0.023623306229863198,11.908842647033422,15.0
beta,ypr050_wr,6,Cooper Kupp,2019,0.5102913939497694,0.02344811344669365,11.442291050608773,15.0
beta,ypr050_wr,7,Jeremy Maclin,2011,0.5642123542186857,0.012904394975787263,12.40625,12.0
beta,ypr050_wr,8,Jerry Jeudy,2022,0.5664332357053298,0.02422641142312822,11.369407888708215,13.0
beta,ypr050_wr,9,Keenan Allen,2015,0.5821527214260049,0.015552862728269853,13.1525,8.0
beta,ypr050_wr,10,Christian Watson,2023,0.6215721978240014,0.022420050915216323,11.2096392854494,9.0
beta,ypr050_wr,11,Ty Hilton,2014,0.6722052468709943,0.011807047325881606,13.54375,14.0
beta,ypr050_wr,12,Cooper Kupp,2020,0.6743349267093852,0.01661368910029585,12.776470603841194,15.0
beta,tdrate050_wr,1,Zay Flowers,2025,0.38650459126744735,0.04430503591029833,11.285747111762042,15.0
beta,tdrate050_wr,2,Terrelle Pryor,2017,0.4659997907951099,0.022760897664603433,11.688733230279823,8.0
beta,tdrate050_wr,3,Kenny Golladay,2019,0.48088119371313404,0.024604643010985507,11.908842647033422,15.0
beta,tdrate050_wr,4,Keenan Allen,2015,0.48593431450475005,0.019281566148862974,13.1525,8.0
beta,tdrate050_wr,5,Chris Godwin,2019,0.4906858929807518,0.02400451427467857,11.510304758180384,14.0
beta,tdrate050_wr,6,Gabriel Davis,2022,0.5129925256545482,0.02699524406915667,11.635011971204257,14.0
beta,tdrate050_wr,7,Diontae Johnson,2021,0.5668049120310161,0.022309606977402786,12.792722752163899,14.0
beta,tdrate050_wr,8,Cooper Kupp,2019,0.5674764006606972,0.01984302533502302,11.442291050608773,15.0
beta,tdrate050_wr,9,Jeremy Maclin,2011,0.5815473770769645,0.01207924232062651,12.40625,12.0
beta,tdrate050_wr,10,Cooper Kupp,2020,0.6299801152062934,0.01808382790610786,12.776470603841194,15.0
beta,tdrate050_wr,11,Xavier Worthy,2025,0.6534859653344718,0.02283566757731773,11.773504239832267,13.0
beta,tdrate050_wr,12,Nico Collins,2024,0.6541500041017883,0.021520432885089407,12.492809909543302,10.0
beta,both050_wr,1,Zay Flowers,2025,0.4415302327295443,0.045052725324823004,11.285747111762042,15.0
beta,both050_wr,2,Terrelle Pryor,2017,0.4799935344778608,0.025726227422027736,11.688733230279823,8.0
beta,both050_wr,3,Chris Godwin,2019,0.5149281537418773,0.026439440079875073,11.510304758180384,14.0
beta,both050_wr,4,Kenny Golladay,2019,0.5397263620796904,0.0248511869971282,11.908842647033422,15.0
beta,both050_wr,5,Cooper Kupp,2019,0.5702877733951794,0.023042457255591203,11.442291050608773,15.0
beta,both050_wr,6,Jeremy Maclin,2011,0.5973075804825166,0.01358806669826693,12.40625,12.0
beta,both050_wr,7,Gabriel Davis,2022,0.610237743311646,0.02485937752863268,11.635011971204257,14.0
beta,both050_wr,8,Keenan Allen,2015,0.6336439089615484,0.015683664521354487,13.1525,8.0
